gene,degree,degree_centrality,betweenness_centrality,component_id,component_size,is_isolate,degree_rank,betweenness_rank,top20pct_degree,top20pct_betweenness,core_by_preregistered_rule
TP53,221,0.17131782945736435,0.045510375933659114,1,1226,False,1,2,True,True,True
AKT1,215,0.16666666666666666,0.04449731714050828,1,1226,False,2,3,True,True,True
EGFR,176,0.13643410852713178,0.029541812974144887,1,1226,False,3,6,True,True,True
IL6,176,0.13643410852713178,0.02320084396256227,1,1226,False,3,9,True,True,True
TNF,170,0.13178294573643412,0.024111187275077217,1,1226,False,5,8,True,True,True
STAT3,163,0.1263565891472868,0.012870995799612709,1,1226,False,6,26,True,True,True
INS,151,0.11705426356589148,0.05302536292038781,1,1226,False,7,1,True,True,True
IL1B,150,0.11627906976744186,0.015229155789382106,1,1226,False,8,20,True,True,True
CTNNB1,144,0.11162790697674418,0.019526835466013536,1,1226,False,9,10,True,True,True
SRC,142,0.11007751937984496,0.017283806248393502,1,1226,False,10,13,True,True,True
JUN,140,0.10852713178294573,0.013589762548982615,1,1226,False,11,23,True,True,True
MYC,132,0.10232558139534884,0.010715025308996642,1,1226,False,12,30,True,True,True
HSP90AA1,131,0.10155038759689923,0.016643645767771685,1,1226,False,13,17,True,True,True
NFKB1,126,0.09767441860465116,0.00649347664324923,1,1226,False,14,62,True,True,True
BCL2,125,0.09689922480620156,0.008196693888840378,1,1226,False,15,46,True,True,True
ACTB,124,0.09612403100775194,0.02628342404180333,1,1226,False,16,7,True,True,True
MAPK3,123,0.09534883720930233,0.012485849254361431,1,1226,False,17,28,True,True,True
FN1,119,0.09224806201550388,0.014758004520481057,1,1226,False,18,22,True,True,True
ALB,117,0.09069767441860466,0.03337531397050489,1,1226,False,19,5,True,True,True
CASP3,116,0.08992248062015504,0.009207219391844414,1,1226,False,20,39,True,True,True
ESR1,113,0.08759689922480621,0.015667872265897716,1,1226,False,21,19,True,True,True
TLR4,111,0.08604651162790698,0.009054720550771106,1,1226,False,22,40,True,True,True
MAPK1,105,0.08139534883720931,0.008278842540093007,1,1226,False,23,45,True,True,True
