query_gene,status,reason
AADAT,accepted,exact preferredName
AANAT,accepted,exact preferredName
AASS,accepted,exact preferredName
ABAT,accepted,exact preferredName
ABCA1,accepted,exact preferredName
ABCA7,accepted,exact preferredName
ABCB1,accepted,exact preferredName
ABCB11,accepted,exact preferredName
ABCC1,accepted,exact preferredName
ABCC2,accepted,exact preferredName
ABCC5,accepted,exact preferredName
ABCC8,accepted,exact preferredName
ABCC9,accepted,exact preferredName
ABCG2,accepted,exact preferredName
ABCG4,accepted,exact preferredName
ABCG5,accepted,exact preferredName
ABCG8,accepted,exact preferredName
ABL1,accepted,exact preferredName
ACAA2,accepted,exact preferredName
ACACA,accepted,exact preferredName
ACACB,accepted,exact preferredName
ACADM,accepted,exact preferredName
ACE,accepted,exact preferredName
ACE2,accepted,exact preferredName
ACHE,accepted,exact preferredName
ACLY,accepted,exact preferredName
ACP1,accepted,exact preferredName
ACP3,accepted,reviewed alias -> ACPP
ACSL1,accepted,exact preferredName
ACSL4,accepted,exact preferredName
ACSS2,accepted,exact preferredName
ACTA1,accepted,exact preferredName
ACTA2,accepted,exact preferredName
ACTB,accepted,exact preferredName
ACTBL2,accepted,exact preferredName
ACTC1,accepted,exact preferredName
ACTG1,accepted,exact preferredName
ACTG2,accepted,exact preferredName
ACTR1A,accepted,exact preferredName
ACTR1B,accepted,exact preferredName
ACTR2,accepted,exact preferredName
ACTRT2,accepted,exact preferredName
ACTRT3,accepted,exact preferredName
ADA,accepted,exact preferredName
ADAM28,accepted,exact preferredName
ADAMTS4,accepted,exact preferredName
ADAMTS5,accepted,exact preferredName
ADCY1,accepted,exact preferredName
ADCY2,accepted,exact preferredName
ADH1A,accepted,exact preferredName
ADH1B,accepted,exact preferredName
ADH1C,accepted,exact preferredName
ADH4,accepted,exact preferredName
ADH5,accepted,exact preferredName
ADH6,accepted,exact preferredName
ADH7,accepted,exact preferredName
ADIPOQ,accepted,exact preferredName
ADK,accepted,exact preferredName
ADORA1,accepted,exact preferredName
ADORA2A,accepted,exact preferredName
ADORA2B,accepted,exact preferredName
ADRA1A,accepted,exact preferredName
ADRA1B,accepted,exact preferredName
ADRA2A,accepted,exact preferredName
ADRA2C,accepted,exact preferredName
ADRB1,accepted,exact preferredName
ADRB2,accepted,exact preferredName
ADRB3,accepted,exact preferredName
AFM,accepted,exact preferredName
AFP,accepted,exact preferredName
AGT,accepted,exact preferredName
AGTR1,accepted,exact preferredName
AGTR2,accepted,exact preferredName
AGXT,accepted,exact preferredName
AGXT2,accepted,exact preferredName
AHCYL1,accepted,exact preferredName
AHR,accepted,exact preferredName
AHSA1,accepted,exact preferredName
AHSP,accepted,exact preferredName
AIFM1,accepted,exact preferredName
AIMP2,accepted,exact preferredName
AKR1A1,accepted,exact preferredName
AKR1B1,accepted,exact preferredName
AKR1B10,accepted,exact preferredName
AKR1C1,accepted,exact preferredName
AKR1C2,accepted,exact preferredName
AKR1C3,accepted,exact preferredName
AKR1C4,accepted,exact preferredName
AKR1D1,accepted,exact preferredName
AKT1,accepted,exact preferredName
AKT2,accepted,exact preferredName
ALAD,accepted,exact preferredName
ALAS1,accepted,exact preferredName
ALAS2,accepted,exact preferredName
ALB,accepted,exact preferredName
ALDH1A1,accepted,exact preferredName
ALDH1A2,accepted,exact preferredName
ALDH1A3,accepted,exact preferredName
ALDH1B1,accepted,exact preferredName
ALDH2,accepted,exact preferredName
ALDH3A1,accepted,exact preferredName
ALDOA,accepted,exact preferredName
ALOX12,accepted,exact preferredName
ALOX5,accepted,exact preferredName
AMY1A,accepted,exact preferredName
AMY1B,accepted,exact preferredName
AMY2A,accepted,exact preferredName
AMY2B,accepted,exact preferredName
ANO1,accepted,exact preferredName
ANPEP,accepted,exact preferredName
ANXA5,accepted,exact preferredName
AOX1,accepted,exact preferredName
APAF1,accepted,exact preferredName
APCS,accepted,exact preferredName
APLP1,accepted,exact preferredName
APOA1,accepted,exact preferredName
APOA4,accepted,exact preferredName
APOB,accepted,exact preferredName
APOD,accepted,exact preferredName
APOE,accepted,exact preferredName
APOM,accepted,exact preferredName
APP,accepted,exact preferredName
APRT,accepted,exact preferredName
AQP1,accepted,exact preferredName
AQP3,accepted,exact preferredName
AQP4,excluded,no exact or reviewed protein mapping returned by STRING
AQP9,accepted,exact preferredName
AR,accepted,exact preferredName
ARF1,accepted,exact preferredName
ARF3,accepted,exact preferredName
ARF4,accepted,exact preferredName
ARF5,accepted,exact preferredName
ARF6,accepted,exact preferredName
ARG1,accepted,exact preferredName
ARL1,accepted,exact preferredName
ARRB2,accepted,exact preferredName
ARRDC3,accepted,exact preferredName
ASPA,accepted,exact preferredName
ATF1,accepted,exact preferredName
ATF2,accepted,exact preferredName
ATF3,accepted,exact preferredName
ATF4,accepted,exact preferredName
ATF5,accepted,exact preferredName
ATF6,accepted,exact preferredName
ATF7,accepted,exact preferredName
ATG12,accepted,exact preferredName
ATG5,accepted,exact preferredName
ATG7,accepted,exact preferredName
ATIC,accepted,exact preferredName
ATM,accepted,exact preferredName
ATOX1,accepted,exact preferredName
ATP1A1,accepted,exact preferredName
ATP1A2,accepted,exact preferredName
ATP1A3,accepted,exact preferredName
ATP1A4,accepted,exact preferredName
ATP2A1,accepted,exact preferredName
ATP2B3,accepted,exact preferredName
ATP2C2,accepted,exact preferredName
ATP5F1E,accepted,exact preferredName
ATP6,accepted,reviewed alias -> MT-ATP6
ATR,accepted,exact preferredName
AURKA,accepted,exact preferredName
AURKB,accepted,exact preferredName
AURKC,accepted,exact preferredName
AVPR1A,accepted,exact preferredName
AXIN1,accepted,exact preferredName
AXIN2,accepted,exact preferredName
AXL,accepted,exact preferredName
BACE1,accepted,exact preferredName
BAD,accepted,exact preferredName
BAK1,accepted,exact preferredName
BAX,accepted,exact preferredName
BCAT2,accepted,exact preferredName
BCHE,accepted,exact preferredName
BCL2,accepted,exact preferredName
BCL2L1,accepted,exact preferredName
BDNF,accepted,exact preferredName
BECN1,accepted,exact preferredName
BGLAP,accepted,exact preferredName
BHLHE40,accepted,exact preferredName
BID,accepted,exact preferredName
