"gene","D_E"
"GJA1",0.000128446445619601
"NFKBIE",0
"FKBP1A",0.000367396925605612
"CDK5",0.000348117516928759
"HSP90AA1",0.000781176350650004
"CTNNB1",0.00262517195452239
"FOSL1",5.14461500070729e-05
"GSK3B",0.000254805416997517
"NCF1",8.14327396577719e-05
"BCL2",0.00028337947071766
"MT-ATP6",9.5010961728148e-06
"CYBB",6.42615564472315e-05
"JUN",0.000712792808186147
"AXIN1",1.08355886352385e-05
"GLB1",8.47570012040277e-05
"EIF4EBP1",0
"EIF4E",1.3685843489597e-05
"AKT1",0.00346325271049452
"IL2",8.48661529537775e-05
"CHUK",1.55270045979483e-05
"BTK",0.000119272845312435
"GRIN2B",0.000317728868907574
"FN1",0.00237698824343124
"CD36",0.000286748685116911
"EIF2AK2",0.000116554297583948
"OPRM1",8.74989474437537e-05
"BAD",6.33634698421481e-06
"IL1B",0.000829865649814021
"GRIN1",6.96987215653699e-06
"HSP90AB1",4.19011535922609e-05
"HDAC2",2.26872919905086e-05
"CDH1",0.000350253039747228
"COL1A1",0.000181222784889745
"CLDN1",4.94148239504888e-06
"PTK2",8.5307122116185e-05
"CCNB1",1.05829380095956e-05
"APOA1",0.00156761777246528
"IKBKB",6.84471676271059e-06
"PLAT",2.05933169041828e-05
"ADA",5.3173443308685e-05
"ACE2",6.17806475236016e-05
"RARA",0.000182812715244118
"ACTC1",1.57742735648059e-05
"JAK2",0.000791453142699572
"NFKB1",0.000211104315194666
"TUBA1A",1.10247379909723e-05
"PIK3CD",0
"CCNA2",1.83133006516067e-05
"ICAM1",0.000172524776509531
"APOE",0.000621735352925756
"NDUFS3",7.91874029407724e-05
"APOB",0.000254184152158166
"GSTM1",0.000122658682697341
"COX5B",5.70133156496677e-06
"IGF1R",3.6000843736117e-05
"CYC1",4.87786738601059e-06
"COX5A",0
"MT-CYB",0.000203007681716216
"NFKBIA",5.47616073202084e-05
"CAV1",0.00188167408582673
"TXN",0.000162772847540738
"NRF1",1.38741902355743e-05
"ADRB2",0.000148693401879507
"IL1A",0.00038306531858312
"BMP2",1.27361599282505e-05
"PPARG",0.000681665233701723
"CYBA",0
"FGF2",4.67782227966396e-05
"BAK1",0
"EGFR",0.00376976574950694
"CDH5",6.33662563265247e-06
"NCF2",1.00748274538542e-05
"MAP2K1",0
"CSF2",1.26743081751979e-06
"KDR",2.14857653940692e-05
"MYD88",9.12615367376635e-06
"TLR4",0.000516160551537248
"FASLG",6.21033622971723e-06
"CASP8",8.23939107075233e-06
"HDAC1",0.00033891246936113
"HBA2",0
"AGT",0.000967403269813816
"MMP2",1.88862703024428e-05
"HBA1",2.89514794086232e-05
"RRM1",0.000117817230330219
"LALBA",3.81683006253075e-05
"EGLN1",1.90063023630671e-06
"CALML5",7.42946995627713e-05
"BCL2L1",5.13395632928404e-05
"LYN",0.000110145713016818
"CRBN",3.83289296229661e-05
"ATP5F1E",7.91669737976175e-06
"E2F1",6.05857808446686e-05
"AR",0.000302154756725348
"E2F2",0
"PPARA",0.00137693094911007
"ALB",0.00274688176313465
"EGLN3",1.26699828650878e-06
"FTH1",3.16391560746254e-05
"AXIN2",0
"CTSG",5.59397568715703e-05
"CALM3",0.000527160893726952
"ERBB2",0.000157327965161547
"CD44",0.000889730591565385
"CLDN5",3.48460731747213e-06
"NFATC1",5.51292228962996e-05
"ABCC8",3.66842389862843e-05
"BAX",8.97923976903581e-05
"INSR",1.12798026006278e-05
"INS",0.00437927624027923
"IGF1",0.000380119663706879
"IGF2",1.43217522315942e-05
"FGF4",2.2179929671795e-06
"ICAM2",0
"ABCA1",1.90091421303773e-06
"PPP3CA",1.20382530055529e-05
"CRK",6.33660876869779e-06
"ACE",0.00145679149577593
"AHSA1",0
"ATG5",1.93264314094499e-05
"CHEK2",2.4076159734765e-06
"ATM",2.74398232945616e-05
"CDK2",1.73911829558504e-05
"CDKN1B",8.87190608878097e-06
"CCND3",6.33604306909952e-07
"CDK4",5.9067280737346e-05
"TF",8.42569713455088e-06
"HIF1A",0.000545020548238462
"UGT1A3",1.26699491542759e-06
"SFN",1.88836433614448e-05
"ATG12",0
"PTEN",0.000112385888386912
"CDKN2A",0.000523536323894791
"CDKN1A",2.78509173701202e-05
"DLG1",6.50075176803488e-05
"PRKAA1",2.85143022038525e-06
"KEAP1",8.90865911317151e-05
"BRCA1",0.00150305205251045
"KRAS",0.00012277649828063
"BECN1",8.42248076059482e-05
"HMGB1",1.24840005174542e-05
"CACNG2",5.72736887810565e-05
"RAF1",1.33718501759139e-05
"PRKAB2",0
"MAP2K7",3.16786999277063e-06
"MAPK8",0.00014699135508045
"MAP3K5",7.04706361130958e-05
"ERN1",4.11862188642864e-06
"ITGA5",0.00127400659039045
"HCRT",0.000169339993540296
"PRKAA2",4.11841833947157e-06
"CASP9",0
"DKK1",0
"FOS",0.000387693900821828
"GP1BA",3.18056444478243e-05
"ABCG5",4.53604007359942e-05
"DNMT1",4.56882288469851e-05
"OAZ1",0
"APAF1",0
"CASP1",0.00024876408303065
"STAT1",0.000487010105838959
"PKD1",3.50334081220538e-05
"POLE",6.84091707048307e-06
"ATF6",1.47631880090815e-05
"CDC25A",1.90080256301517e-06
"F10",1.53928141654047e-05
"ATF3",8.55513091113647e-06
"FOSL2",0
"F2",0.000128821901214549
"ABL1",0.000131212002905445
"TAC1",0.001463424927591
"SRC",0.0010396286840485
"DRD2",0.000217393825030943
"BIRC2",2.53453445775431e-06
"TNF",0.00134281467430086
"ATR",0
"RIPK1",9.50457768944535e-06
"TNFRSF1A",1.26749186291075e-05
"BIRC3",6.3362084734564e-07
"FAS",6.33677821770817e-07
"MAP3K7",0.000279295362734966
"IDE",1.32413576375834e-05
"COX6C",0
"S100A13",2.28031262317074e-06
"COX6B1",0
"NANOG",9.82225146706206e-06
"GRIN2A",0.000361526992004202
"NFKB2",0
"ATF2",1.14067009802099e-05
"NGF",7.00958583023104e-05
"DLG4",0.000800645688133095
"APP",0.00112835552814228
"NDUFV2",0
"MDM2",4.86757533122439e-05
"NR1H3",0
"NR1H4",0.000150320210463128
"CACNA1C",0.000498320638157024
"SCN1B",0.00123489854843939
"CALR",4.38793673526172e-05
"CCR7",5.06918390497102e-06
"TNFRSF11B",0
"ABCC9",1.45674367513227e-06
"NEDD4L",4.56173481240274e-05
"CASP7",1.26727879179445e-06
"PIK3CA",2.52878809748891e-05
"SELP",5.7028163548134e-06
"CALML3",0
"DNMT3B",1.03906004091936e-05
"GRIA2",6.42468498274207e-05
"CCL8",0
"CCND1",0.000116503278948743
"LY96",0
"MTOR",0.000351853732282081
"EGF",0.000230000691015642
"SMAD2",3.42235274195524e-05
"CCL2",3.6509767629811e-05
"CD40",1.65401335883164e-05
"TBK1",8.23758983270473e-06
"AURKB",0.000100012341094136
"POU5F1",3.4853680447311e-06
"CD274",2.2623615720252e-05
"MMP1",6.13390297496963e-05
"MMP3",1.90743297472373e-05
"MMP9",0.000204115785623737
"FEN1",1.98912329634204e-05
"FOXO1",0.000280307095370635
"CD80",0
"HNF4A",0.000115908516808982
"GCLC",8.05799891081538e-05
"IRAK1",2.62328604830886e-05
"SIRT1",0.000506319994551752
"CALCA",1.96344956293615e-06
"PPARGC1A",0.000942132031227727
"FOXO3",4.79174602721066e-05
"ORM1",1.43183478092945e-05
"SERPINE1",0.000106720941403182
"PLAU",9.12459578450431e-06
"CFLAR",6.33631245472444e-07
"AMY1A",0
"NRP1",0.000102455056317119
"ACTB",0.0035966824210889
"ESR1",0.00102478911944048
"NPPA",7.28658572474172e-05
"ITGB3",8.18152205451783e-05
"GOT2",0.00078289580737978
"BDNF",0.000792185293056469
"GRIA1",1.90084712514693e-06
"CASP3",0.000462575099730467
"CREB1",0.000475073453506725
"SHH",1.43206732026169e-05
"CS",0.000203624857343709
"TLR2",1.15981297473811e-05
"NR1I2",0.000123041356779652
"NPPB",3.61091583611639e-06
"FGF1",4.22001056762378e-05
"PTK2B",6.52603876749591e-06
"EPOR",4.26416671160945e-05
"NLRP3",7.47722630090042e-06
"ESRRA",6.99494678408907e-05
"NCOA2",3.54820525111377e-05
"PRKAB1",0
"TUBA1B",0
"COL1A2",8.49027404237201e-06
"NCF4",0
"AXL",2.56876487623181e-05
"GCG",0.000221045982158996
"BMP4",1.58394663751782e-06
"IRF1",0
"F3",4.30244857466677e-05
"COX6A2",0
"HDAC6",0.00238463941154432
"DHFR",0.000279606338591143
"C3",4.60004945984638e-05
"KLF4",2.5346502531276e-06
"CLDN4",0
"KDM1A",0
"CXCL13",0
"GRIN2C",0
"PIK3R1",5.3428249282339e-05
"CANX",2.08728829651506e-05
"CTTN",2.99716390974591e-05
"ARRB2",0.0018446708322335
"PTPN11",2.43987962315062e-05
"DLG3",1.07692098152423e-05
"PKIA",2.53383300530263e-06
"MAPK1",6.82101559971171e-05
"CACNA1B",0
"GLDC",4.87735973941916e-06
"AMY2B",0
"STAT3",0.000956982443180987
"ATIC",0.0011952594694814
"AKR1C1",5.66614851992275e-05
"CD40LG",1.90089891605183e-06
"CSK",0
"YWHAE",2.37606312166738e-05
"ERBB3",0
"KCNMA1",2.73028963679867e-05
"AURKA",5.49029298524406e-05
"CDK1",0.000268330391133942
"HSF1",0
"DUSP1",0
"GGCX",3.08495731728975e-05
"ACLY",0.000136799781064179
"CXCL1",0
"UGT1A1",6.43666731126036e-05
"ACACA",7.98311027262466e-05
"GABRA1",0.000512519672648093
"NOX1",2.49654080184403e-05
"CYCS",0.0019228192201588
"ATG7",2.9146658695467e-06
"GRIK1",0
"KCNE2",0
"IFNG",3.71450469081047e-05
"GRIN2D",0
"AMY1B",0.00114246836222298
"HSPA1B",2.53472574274216e-06
"NR1H2",0
"AMY2A",0
"SMAD7",1.26728738392146e-06
"CYP51A1",3.41436506348103e-05
"CACNA1D",0.00017135132572077
"HDAC4",8.23760862456169e-06
"CXCL8",0.000252410434066541
"ADORA2A",0.00134091820301629
"RELA",8.98188410365375e-05
"BIRC5",3.23786530762593e-05
"GAMT",4.09153874207924e-05
"CYB5A",5.4039383747595e-05
"CXCL10",6.0199614313472e-06
"HGF",0
"PNP",0.000105291533052498
"CYP11A1",1.84332824758604e-05
"AGXT",0.000106059050095864
"SHMT1",4.44281784347522e-05
"DLG2",0
"IL10",0.000109475292591865
"GP6",2.19854467736758e-05
"ATF4",6.17859641668383e-05
"CACNB1",0
"IL18",2.23696138260676e-05
"CASP6",1.26723751903146e-06
"IL6",0.00104909499545724
"MYC",0.000561856827766771
"SNCA",0.000455106191969867
"MYH6",5.61947915448391e-05
"POLA1",6.90421997273649e-06
"PRKDC",3.48518119952512e-06
"AKR1C2",0
"PARK7",5.03123803161643e-05
"HSPA4",0.000770336012735795
"CHEK1",1.20395101235182e-05
"NOX4",3.0792080655373e-05
"COMT",0.000258432034107248
"SCN1A",4.8526600018195e-05
"SLC6A3",0.000164253248760127
"SCARB1",0.000336871406579009
"BID",6.01936829902616e-06
"HSPA5",0.000228473516780459
"CSF3",4.44861479179659e-05
"BGLAP",0.000139973984731978
"SCN2A",9.6829057864789e-05
"GSTM2",0
"RARB",1.39344317841017e-05
"ADK",7.61409486743636e-05
"PARP1",0.000202075672702362
"FDPS",0
"MTTP",6.39846903005559e-06
"APRT",5.32709672381726e-05
"CD14",0
"KIT",0.000262263529464124
"P2RX4",0
"DDC",2.58462116191627e-05
"ADH1B",0
"ESR2",7.37049367650622e-05
"CLEC4E",0
"IGFBP3",2.54114516418102e-05
"CACNA1A",0.000251442934202317
"TRAF2",5.75385733394551e-05
"PLG",0.000475913758970048
"CYP17A1",3.31356115126358e-05
"MAPT",0.000248151462638568
"DDB1",2.07812890326009e-05
"GRIN3A",0
"FOXP3",1.50821877838991e-05
"APOA4",2.27717166977337e-05
"TP73",6.33561354046464e-07
"PTPN6",0
"EGR1",5.67823039951953e-05
"CDT1",1.38729255214631e-05
"AHSP",1.89993871424488e-06
"PPARD",4.39109792027548e-05
"AHR",1.17841620478343e-05
"TUBA4A",0
"SOD1",0.00055040968937059
"GDNF",3.48479365919196e-06
"CHRNA4",0.00010936479964363
"CYP3A4",0.000708964295377368
"TOP1",1.90060302329709e-06
"PRKACA",0.00408086083662407
"MAPK3",0.000389312216340865
"ELK1",0
"CEBPB",0.000269764234292591
"MAPK14",6.8388883402215e-05
"SMAD3",0.000326994785442403
"SOCS3",1.47020577304646e-05
"SCN4B",6.14500670026441e-06
"KCNJ6",2.88254911089414e-05
"TUBA1C",0
"CXCL2",0
"ACACB",1.55840957074549e-05
"MAPK8IP1",9.56119621767781e-05
"PPIF",5.98208087934093e-05
"CCL3",1.67921707164842e-05
"RXRA",0.000142637488181885
"FABP4",8.52242665472236e-05
