"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"topology_ARG1",1,"GCLC",8.05799891081538e-05,NA,NA,NA
"topology_ARG1",2,"MECP2",0.000428908523146032,NA,NA,NA
"topology_ARG1",3,"TYMS",0.000142484575824997,NA,NA,NA
"topology_ARG1",4,"DRD2",0.000217393825030943,NA,NA,NA
"topology_ARG1",5,"DRD2",0.000217393825030943,NA,NA,NA
"topology_ARG1",6,"GAD1",0.000786829139807432,NA,NA,NA
"topology_ARG1",7,"TYMS",0.000142484575824997,NA,NA,NA
"topology_ARG1",8,"GSR",0.00032731672891706,NA,NA,NA
"topology_ARG1",9,"TYMS",0.000142484575824997,NA,NA,NA
"topology_ARG1",10,"GABRB3",0.000120726283226125,NA,NA,NA
"topology_ARG1",11,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",12,"TRPV1",0.00166711359586047,NA,NA,NA
"topology_ARG1",13,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",14,"GATM",0.000449150320023683,NA,NA,NA
"topology_ARG1",15,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",16,"STAT4",0.000324242289791776,NA,NA,NA
"topology_ARG1",17,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",18,"NQO1",0.000518240501310552,NA,NA,NA
"topology_ARG1",19,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",20,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",21,"DRD2",0.000217393825030943,NA,NA,NA
"topology_ARG1",22,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",23,"AGXT2",0.000181321349120078,NA,NA,NA
"topology_ARG1",24,"KCNQ2",0.000154321192943452,NA,NA,NA
"topology_ARG1",25,"DPP4",0.00143001137023646,NA,NA,NA
"topology_ARG1",26,"DPP4",0.00143001137023646,NA,NA,NA
"topology_ARG1",27,"PTGS1",0.0001138588382259,NA,NA,NA
"topology_ARG1",28,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",29,"CS",0.000203624857343709,NA,NA,NA
"topology_ARG1",30,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",31,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",32,"GABBR1",0.000629351098106912,NA,NA,NA
"topology_ARG1",33,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",34,"HK2",0.000296209764147126,NA,NA,NA
"topology_ARG1",35,"TRPV1",0.00166711359586047,NA,NA,NA
"topology_ARG1",36,"GATM",0.000449150320023683,NA,NA,NA
"topology_ARG1",37,"ADCY1",8.87083575196179e-06,NA,NA,NA
"topology_ARG1",38,"HK2",0.000296209764147126,NA,NA,NA
"topology_ARG1",39,"DPP4",0.00143001137023646,NA,NA,NA
"topology_ARG1",40,"CS",0.000203624857343709,NA,NA,NA
"topology_ARG1",41,"KCNH2",0.000463751185241779,NA,NA,NA
"topology_ARG1",42,"PRKAG2",0.00023019859617357,NA,NA,NA
"topology_ARG1",43,"XBP1",0.00130705850242441,NA,NA,NA
"topology_ARG1",44,"NR1H4",0.000150320210463128,NA,NA,NA
"topology_ARG1",45,"SCD",0.000143791042404695,NA,NA,NA
"topology_ARG1",46,"XDH",0.000207347108110545,NA,NA,NA
"topology_ARG1",47,"XBP1",0.00130705850242441,NA,NA,NA
"topology_ARG1",48,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",49,"PCNA",0.000281828068793732,NA,NA,NA
"topology_ARG1",50,"TRPV4",0.000106153420904809,NA,NA,NA
"topology_ARG1",51,"GSR",0.00032731672891706,NA,NA,NA
"topology_ARG1",52,"SLC6A3",0.000164253248760127,NA,NA,NA
"topology_ARG1",53,"NR1H4",0.000150320210463128,NA,NA,NA
"topology_ARG1",54,"PTH",0.00019439506068486,NA,NA,NA
"topology_ARG1",55,"AGXT2",0.000181321349120078,NA,NA,NA
"topology_ARG1",56,"ABCG2",0.00154702083903102,NA,NA,NA
"topology_ARG1",57,"GABRA1",0.000512519672648093,NA,NA,NA
"topology_ARG1",58,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",59,"MT-CYB",0.000203007681716216,NA,NA,NA
"topology_ARG1",60,"SDHA",0.000611111269984921,NA,NA,NA
"topology_ARG1",61,"CS",0.000203624857343709,NA,NA,NA
"topology_ARG1",62,"ACLY",0.000136799781064179,NA,NA,NA
"topology_ARG1",63,"TFRC",0.000239327299633385,NA,NA,NA
"topology_ARG1",64,"GABRB3",0.000120726283226125,NA,NA,NA
"topology_ARG1",65,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",66,"XBP1",0.00130705850242441,NA,NA,NA
"topology_ARG1",67,"DPP4",0.00143001137023646,NA,NA,NA
"topology_ARG1",68,"NR1H4",0.000150320210463128,NA,NA,NA
"topology_ARG1",69,"SCD",0.000143791042404695,NA,NA,NA
"topology_ARG1",70,"CS",0.000203624857343709,NA,NA,NA
"topology_ARG1",71,"ABCG2",0.00154702083903102,NA,NA,NA
"topology_ARG1",72,"TYMS",0.000142484575824997,NA,NA,NA
"topology_ARG1",73,"ADCY1",8.87083575196179e-06,NA,NA,NA
"topology_ARG1",74,"GABBR1",0.000629351098106912,NA,NA,NA
"topology_ARG1",75,"KCNH2",0.000463751185241779,NA,NA,NA
"topology_ARG1",76,"TFRC",0.000239327299633385,NA,NA,NA
"topology_ARG1",77,"SLC6A3",0.000164253248760127,NA,NA,NA
"topology_ARG1",78,"DRD2",0.000217393825030943,NA,NA,NA
"topology_ARG1",79,"ACLY",0.000136799781064179,NA,NA,NA
"topology_ARG1",80,"CS",0.000203624857343709,NA,NA,NA
"topology_ARG1",81,"KCNQ2",0.000154321192943452,NA,NA,NA
"topology_ARG1",82,"NR1H4",0.000150320210463128,NA,NA,NA
"topology_ARG1",83,"SCD",0.000143791042404695,NA,NA,NA
"topology_ARG1",84,"HK2",0.000296209764147126,NA,NA,NA
"topology_ARG1",85,"CAMP",0.00129691841056656,NA,NA,NA
"topology_ARG1",86,"TRPV4",0.000106153420904809,NA,NA,NA
"topology_ARG1",87,"PRKAG2",0.00023019859617357,NA,NA,NA
"topology_ARG1",88,"KCNQ2",0.000154321192943452,NA,NA,NA
"topology_ARG1",89,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",90,"KCNQ2",0.000154321192943452,NA,NA,NA
"topology_ARG1",91,"SCD",0.000143791042404695,NA,NA,NA
"topology_ARG1",92,"RARA",0.000182812715244118,NA,NA,NA
"topology_ARG1",93,"PTGS1",0.0001138588382259,NA,NA,NA
"topology_ARG1",94,"GABRG2",6.25131802217682e-05,NA,NA,NA
"topology_ARG1",95,"MECP2",0.000428908523146032,NA,NA,NA
"topology_ARG1",96,"GABRG2",6.25131802217682e-05,NA,NA,NA
"topology_ARG1",97,"ABCG2",0.00154702083903102,NA,NA,NA
"topology_ARG1",98,"DPP4",0.00143001137023646,NA,NA,NA
"topology_ARG1",99,"STAT4",0.000324242289791776,NA,NA,NA
"topology_ARG1",100,"GABRA1",0.000512519672648093,NA,NA,NA
"topology_ARG1",101,"PLA2G4A",0.000158908171599248,NA,NA,NA
"topology_ARG1",102,"PTH",0.00019439506068486,NA,NA,NA
"topology_ARG1",103,"ADCY1",8.87083575196179e-06,NA,NA,NA
"topology_ARG1",104,"GRM5",0.000204723227971049,NA,NA,NA
"topology_ARG1",105,"CFTR",0.00160265872797649,NA,NA,NA
"topology_ARG1",106,"GAD1",0.000786829139807432,NA,NA,NA
"topology_ARG1",107,"KCNQ2",0.000154321192943452,NA,NA,NA
"topology_ARG1",108,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",109,"GABRA1",0.000512519672648093,NA,NA,NA
"topology_ARG1",110,"GAD1",0.000786829139807432,NA,NA,NA
"topology_ARG1",111,"ADRB2",0.000148693401879507,NA,NA,NA
"topology_ARG1",112,"HPRT1",0.00041877379526456,NA,NA,NA
"topology_ARG1",113,"TRPV1",0.00166711359586047,NA,NA,NA
"topology_ARG1",114,"ADCY2",0,NA,NA,NA
"topology_ARG1",115,"GFAP",0.000240332727610593,NA,NA,NA
"topology_ARG1",116,"SLC6A3",0.000164253248760127,NA,NA,NA
"topology_ARG1",117,"ABCG2",0.00154702083903102,NA,NA,NA
"topology_ARG1",118,"STAT4",0.000324242289791776,NA,NA,NA
"topology_ARG1",119,"CAMP",0.00129691841056656,NA,NA,NA
"topology_ARG1",120,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",121,"HPRT1",0.00041877379526456,NA,NA,NA
"topology_ARG1",122,"SCN1B",0.00123489854843939,NA,NA,NA
"topology_ARG1",123,"NQO1",0.000518240501310552,NA,NA,NA
"topology_ARG1",124,"MECP2",0.000428908523146032,NA,NA,NA
"topology_ARG1",125,"MECP2",0.000428908523146032,NA,NA,NA
"topology_ARG1",126,"KCNH2",0.000463751185241779,NA,NA,NA
"topology_ARG1",127,"XBP1",0.00130705850242441,NA,NA,NA
"topology_ARG1",128,"ADRB2",0.000148693401879507,NA,NA,NA
"topology_ARG1",129,"AGXT2",0.000181321349120078,NA,NA,NA
"topology_ARG1",130,"PRKAG2",0.00023019859617357,NA,NA,NA
"topology_ARG1",131,"TRPV1",0.00166711359586047,NA,NA,NA
"topology_ARG1",132,"TAC1",0.001463424927591,NA,NA,NA
"topology_ARG1",133,"ADCY2",0,NA,NA,NA
"topology_ARG1",134,"ACLY",0.000136799781064179,NA,NA,NA
"topology_ARG1",135,"TYMS",0.000142484575824997,NA,NA,NA
"topology_ARG1",136,"XBP1",0.00130705850242441,NA,NA,NA
"topology_ARG1",137,"MECP2",0.000428908523146032,NA,NA,NA
"topology_ARG1",138,"TRPV4",0.000106153420904809,NA,NA,NA
"topology_ARG1",139,"TRPV1",0.00166711359586047,NA,NA,NA
"topology_ARG1",140,"AGXT2",0.000181321349120078,NA,NA,NA
"topology_ARG1",141,"SDHA",0.000611111269984921,NA,NA,NA
"topology_ARG1",142,"SCN2A",9.6829057864789e-05,NA,NA,NA
"topology_ARG1",143,"RARA",0.000182812715244118,NA,NA,NA
"topology_ARG1",144,"SCN1B",0.00123489854843939,NA,NA,NA
