"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"topology_LCN2",1,"EIF2AK2",0.000116554297583948,NA,NA,NA
"topology_LCN2",2,"CPT1A",1.49157660161992e-05,NA,NA,NA
"topology_LCN2",3,"GOT1",5.88174838508371e-05,NA,NA,NA
"topology_LCN2",4,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"topology_LCN2",5,"RYR2",4.78345186669671e-05,NA,NA,NA
"topology_LCN2",6,"KEAP1",8.90865911317151e-05,NA,NA,NA
"topology_LCN2",7,"VIM",5.2598025607753e-05,NA,NA,NA
"topology_LCN2",8,"RYR1",8.59077355945814e-05,NA,NA,NA
"topology_LCN2",9,"AKR1D1",0.0010662752740489,NA,NA,NA
"topology_LCN2",10,"RYR2",4.78345186669671e-05,NA,NA,NA
"topology_LCN2",11,"EIF2AK2",0.000116554297583948,NA,NA,NA
"topology_LCN2",12,"ADH5",7.50101523409041e-05,NA,NA,NA
"topology_LCN2",13,"AURKA",5.49029298524406e-05,NA,NA,NA
"topology_LCN2",14,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"topology_LCN2",15,"CPT1A",1.49157660161992e-05,NA,NA,NA
"topology_LCN2",16,"NFATC1",5.51292228962996e-05,NA,NA,NA
"topology_LCN2",17,"GRIA1",1.90084712514693e-06,NA,NA,NA
"topology_LCN2",18,"RYR2",4.78345186669671e-05,NA,NA,NA
"topology_LCN2",19,"PARK7",5.03123803161643e-05,NA,NA,NA
"topology_LCN2",20,"BTK",0.000119272845312435,NA,NA,NA
"topology_LCN2",21,"BAX",8.97923976903581e-05,NA,NA,NA
"topology_LCN2",22,"PPIF",5.98208087934093e-05,NA,NA,NA
"topology_LCN2",23,"GOT1",5.88174838508371e-05,NA,NA,NA
"topology_LCN2",24,"NPPA",7.28658572474172e-05,NA,NA,NA
"topology_LCN2",25,"NPPA",7.28658572474172e-05,NA,NA,NA
"topology_LCN2",26,"NOS2",2.38274351227474e-05,NA,NA,NA
"topology_LCN2",27,"ADH5",7.50101523409041e-05,NA,NA,NA
"topology_LCN2",28,"ITGA5",0.00127400659039045,NA,NA,NA
"topology_LCN2",29,"VIM",5.2598025607753e-05,NA,NA,NA
"topology_LCN2",30,"NOS2",2.38274351227474e-05,NA,NA,NA
"topology_LCN2",31,"FABP4",8.52242665472236e-05,NA,NA,NA
"topology_LCN2",32,"BAX",8.97923976903581e-05,NA,NA,NA
"topology_LCN2",33,"CACNA1B",0,NA,NA,NA
"topology_LCN2",34,"CALM2",0,NA,NA,NA
"topology_LCN2",35,"FABP4",8.52242665472236e-05,NA,NA,NA
"topology_LCN2",36,"CACNA1B",0,NA,NA,NA
"topology_LCN2",37,"ITGA5",0.00127400659039045,NA,NA,NA
"topology_LCN2",38,"EIF2AK2",0.000116554297583948,NA,NA,NA
"topology_LCN2",39,"SLC6A4",7.25412905625555e-05,NA,NA,NA
"topology_LCN2",40,"PPIF",5.98208087934093e-05,NA,NA,NA
"topology_LCN2",41,"DLG1",6.50075176803488e-05,NA,NA,NA
"topology_LCN2",42,"RASA1",5.55702489675181e-05,NA,NA,NA
"topology_LCN2",43,"GOT1",5.88174838508371e-05,NA,NA,NA
"topology_LCN2",44,"KEAP1",8.90865911317151e-05,NA,NA,NA
"topology_LCN2",45,"CTSD",0.000133066364187417,NA,NA,NA
"topology_LCN2",46,"COL1A2",8.49027404237201e-06,NA,NA,NA
"topology_LCN2",47,"ACTG1",2.72461711825489e-06,NA,NA,NA
"topology_LCN2",48,"ACACA",7.98311027262466e-05,NA,NA,NA
"topology_LCN2",49,"ACACA",7.98311027262466e-05,NA,NA,NA
"topology_LCN2",50,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"topology_LCN2",51,"AKR1C1",5.66614851992275e-05,NA,NA,NA
