"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"topology_LTF",1,"C3",4.60004945984638e-05,NA,NA,NA
"topology_LTF",2,"ADH5",7.50101523409041e-05,NA,NA,NA
"topology_LTF",3,"VIM",5.2598025607753e-05,NA,NA,NA
"topology_LTF",4,"BGLAP",0.000139973984731978,NA,NA,NA
"topology_LTF",5,"SOX9",0.000102527928081186,NA,NA,NA
"topology_LTF",6,"DLG1",6.50075176803488e-05,NA,NA,NA
"topology_LTF",7,"F3",4.30244857466677e-05,NA,NA,NA
"topology_LTF",8,"NOS2",2.38274351227474e-05,NA,NA,NA
"topology_LTF",9,"NDUFS3",7.91874029407724e-05,NA,NA,NA
"topology_LTF",10,"AKR1D1",0.0010662752740489,NA,NA,NA
"topology_LTF",11,"ACACA",7.98311027262466e-05,NA,NA,NA
"topology_LTF",12,"RYR2",4.78345186669671e-05,NA,NA,NA
"topology_LTF",13,"NDUFS3",7.91874029407724e-05,NA,NA,NA
"topology_LTF",14,"AKR1D1",0.0010662752740489,NA,NA,NA
"topology_LTF",15,"RYR2",4.78345186669671e-05,NA,NA,NA
"topology_LTF",16,"ITPR3",1.88839173905775e-05,NA,NA,NA
"topology_LTF",17,"VIM",5.2598025607753e-05,NA,NA,NA
"topology_LTF",18,"GRIA2",6.42468498274207e-05,NA,NA,NA
"topology_LTF",19,"VIM",5.2598025607753e-05,NA,NA,NA
"topology_LTF",20,"BGLAP",0.000139973984731978,NA,NA,NA
"topology_LTF",21,"ITPR3",1.88839173905775e-05,NA,NA,NA
"topology_LTF",22,"KEAP1",8.90865911317151e-05,NA,NA,NA
"topology_LTF",23,"CTSK",0.000205253306110875,NA,NA,NA
"topology_LTF",24,"RYR1",8.59077355945814e-05,NA,NA,NA
"topology_LTF",25,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"topology_LTF",26,"DLG1",6.50075176803488e-05,NA,NA,NA
"topology_LTF",27,"ADH5",7.50101523409041e-05,NA,NA,NA
"topology_LTF",28,"AKR1D1",0.0010662752740489,NA,NA,NA
"topology_LTF",29,"NOS2",2.38274351227474e-05,NA,NA,NA
"topology_LTF",30,"BAX",8.97923976903581e-05,NA,NA,NA
"topology_LTF",31,"ALDH2",5.15659678518299e-05,NA,NA,NA
"topology_LTF",32,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"topology_LTF",33,"CYP17A1",3.31356115126358e-05,NA,NA,NA
"topology_LTF",34,"ITGA5",0.00127400659039045,NA,NA,NA
"topology_LTF",35,"AURKB",0.000100012341094136,NA,NA,NA
"topology_LTF",36,"SLC6A4",7.25412905625555e-05,NA,NA,NA
"topology_LTF",37,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"topology_LTF",38,"PARK7",5.03123803161643e-05,NA,NA,NA
"topology_LTF",39,"GLUD1",0.00010300883354164,NA,NA,NA
"topology_LTF",40,"CACNA1B",0,NA,NA,NA
"topology_LTF",41,"BTK",0.000119272845312435,NA,NA,NA
"topology_LTF",42,"C3",4.60004945984638e-05,NA,NA,NA
"topology_LTF",43,"NDUFS3",7.91874029407724e-05,NA,NA,NA
"topology_LTF",44,"SLC6A4",7.25412905625555e-05,NA,NA,NA
"topology_LTF",45,"ALDH1B1",0,NA,NA,NA
"topology_LTF",46,"DLG1",6.50075176803488e-05,NA,NA,NA
"topology_LTF",47,"ACE2",6.17806475236016e-05,NA,NA,NA
