"anchor","pool_rank","gene","degree","betweenness_centrality","match_distance"
"ARG1",1,"HPRT1",20,0.00446123107527427,0.0497229819550843
"ARG1",2,"MECP2",22,0.00469935227699688,0.0542128837228147
"ARG1",3,"GATM",21,0.00518580647318758,0.0791082063213076
"ARG1",4,"NQO1",22,0.00506533864736478,0.082088991464095
"ARG1",5,"DPP4",22,0.00339671573024288,0.0916456052873653
"ARG1",6,"KCNH2",19,0.00491179755418628,0.109019965380612
"ARG1",7,"TRPV1",22,0.00583692287736114,0.111740077155385
"ARG1",8,"PLA2G4A",21,0.00305161619281389,0.118662309481961
"ARG1",9,"SDHA",24,0.00461518647016125,0.134965023789799
"ARG1",10,"SCN1B",24,0.00361338350768992,0.140528130989519
"ARG1",11,"TFRC",19,0.00312051279066531,0.144116729110053
"ARG1",12,"GABBR1",22,0.0065987891396736,0.148648952811225
"ARG1",13,"GCK",19,0.00307184958143673,0.150377985494469
"ARG1",14,"GABRA1",21,0.00735562030744464,0.158216412642615
"ARG1",15,"HK2",18,0.00349667165183286,0.164769767149455
"ARG1",16,"STAT4",23,0.00290916550472187,0.17018966192369
"ARG1",17,"CFTR",25,0.00471381004672238,0.176638449620968
"ARG1",18,"GFAP",25,0.00374190456299897,0.177157371699848
"ARG1",19,"TYMS",21,0.00259179041632257,0.18364405038875
"ARG1",20,"DRD2",23,0.00274279088854636,0.187229809143694
"ARG1",21,"CS",24,0.00285322159339533,0.200317046212738
"ARG1",22,"PTH",19,0.00262864432204269,0.203773310864234
"ARG1",23,"PCNA",24,0.00268600530792083,0.217730933216485
"ARG1",24,"PRKAG2",23,0.00247890169486804,0.225255818138937
"ARG1",25,"NR1H4",22,0.00238538455750141,0.227943467572501
"ARG1",26,"GCLC",20,0.00233778033288412,0.233915378091474
"ARG1",27,"CAMP",17,0.00298013726769461,0.247509815370813
"ARG1",28,"RARA",24,0.00239516151846813,0.257427444714997
"ARG1",29,"XDH",18,0.00247242702740482,0.258837058668137
"ARG1",30,"SCD",20,0.00225616942447773,0.258845773721151
"ARG1",31,"GSR",27,0.00349048899992819,0.25929488921306
"ARG1",32,"GABRG2",20,0.00225135188479095,0.261621725846843
"ARG1",33,"ADRB2",23,0.00226932019410218,0.261955135576846
"ARG1",34,"ABCG2",16,0.00468467465771116,0.269570645044767
"ARG1",35,"MT-CYB",24,0.00232713298506801,0.269619408613248
"ARG1",36,"ADCY1",24,0.00226959090947749,0.277022818500823
"ARG1",37,"TRPV4",21,0.0021686941040001,0.27970401520748
"ARG1",38,"PTGS1",22,0.00217658822836156,0.280718071072119
"ARG1",39,"TAC1",28,0.00429376984112752,0.287560015438172
"ARG1",40,"SLC6A3",23,0.00219040375425152,0.288631062262889
"ARG1",41,"GRM5",19,0.00219757122189193,0.288801992115976
"ARG1",42,"KCNQ2",17,0.00251221593660157,0.289597873799315
"ARG1",43,"ADCY2",22,0.00212458608328812,0.291870622416671
"ARG1",44,"KCNJ11",16,0.00633582488909047,0.294586159697739
"ARG1",45,"XBP1",22,0.00212437242167058,0.29466052982335
"ARG1",46,"AGXT2",19,0.00214918467034359,0.299440643462992
"ARG1",47,"GAD1",27,0.00797280874302149,0.302898373280927
"ARG1",48,"SCN2A",22,0.00205629490725597,0.311413373626201
"ARG1",49,"GABRB3",16,0.00270474075185651,0.315924180911317
"ARG1",50,"ACLY",20,0.0020268276798651,0.31732371908269
"LCN2",1,"BAX",23,0.00110946991648584,0.0423793962435575
"LCN2",2,"BTK",24,0.00122624157395133,0.0433278478660726
"LCN2",3,"SLC6A4",22,0.00116527835440725,0.0497322917925766
"LCN2",4,"AGTR1",22,0.00113717649315333,0.0525420114108409
"LCN2",5,"NOS2",22,0.00126054085987649,0.0575451157996397
"LCN2",6,"ACACA",24,0.00111117386542638,0.0580516059081093
"LCN2",7,"CYP2D6",22,0.0012746131647984,0.0613061831191193
"LCN2",8,"ALDH3A1",22,0.00127692478916539,0.063292170130028
"LCN2",9,"DLG1",22,0.00104590411545439,0.0833748192823029
"LCN2",10,"ACSL1",21,0.00124272079667733,0.0921410345593076
