"anchor","pool_rank","gene","degree","match_distance"
"ARG1",1,"ACSL1",21,0
"ARG1",2,"ADH5",21,0
"ARG1",3,"ATF6",21,0
"ARG1",4,"BID",21,0
"ARG1",5,"BMP2",21,0
"ARG1",6,"CACNB3",21,0
"ARG1",7,"CACNG1",21,0
"ARG1",8,"CDH5",21,0
"ARG1",9,"CFLAR",21,0
"ARG1",10,"COL1A2",21,0
"ARG1",11,"CPT1A",21,0
"ARG1",12,"EIF2AK2",21,0
"ARG1",13,"ERN1",21,0
"ARG1",14,"FEN1",21,0
"ARG1",15,"FOXM1",21,0
"ARG1",16,"GABRA1",21,0
"ARG1",17,"GATM",21,0
"ARG1",18,"GLUD1",21,0
"ARG1",19,"GRIN2D",21,0
"ARG1",20,"GSTM2",21,0
"ARG1",21,"HSPA1B",21,0
"ARG1",22,"HTR3A",21,0
"ARG1",23,"IGFBP3",21,0
"ARG1",24,"KLF4",21,0
"ARG1",25,"NFKB2",21,0
"ARG1",26,"NPPA",21,0
"ARG1",27,"PLA2G4A",21,0
"ARG1",28,"RAC1",21,0
"ARG1",29,"SMAD7",21,0
"ARG1",30,"TRPV4",21,0
"ARG1",31,"TYMS",21,0
"ARG1",32,"YWHAE",21,0
"ARG1",33,"ACTG1",22,0.0462688735665027
"ARG1",34,"ADCY2",22,0.0462688735665027
"ARG1",35,"ADH4",22,0.0462688735665027
"ARG1",36,"AGTR1",22,0.0462688735665027
"ARG1",37,"AKR1C1",22,0.0462688735665027
"ARG1",38,"ALDH3A1",22,0.0462688735665027
"ARG1",39,"APAF1",22,0.0462688735665027
"ARG1",40,"CCR6",22,0.0462688735665027
"ARG1",41,"CX3CR1",22,0.0462688735665027
"ARG1",42,"CYBA",22,0.0462688735665027
"ARG1",43,"CYP11B2",22,0.0462688735665027
"ARG1",44,"CYP2D6",22,0.0462688735665027
"ARG1",45,"DDIT3",22,0.0462688735665027
"ARG1",46,"DLG1",22,0.0462688735665027
"ARG1",47,"DPP4",22,0.0462688735665027
"ARG1",48,"FABP4",22,0.0462688735665027
"ARG1",49,"FGF1",22,0.0462688735665027
"ARG1",50,"GABBR1",22,0.0462688735665027
"LCN2",1,"ADRB2",23,0
"LCN2",2,"ALDH1A2",23,0
"LCN2",3,"ALDH1A3",23,0
"LCN2",4,"ALDH2",23,0
"LCN2",5,"ATG5",23,0
"LCN2",6,"BAX",23,0
"LCN2",7,"CYP1B1",23,0
"LCN2",8,"DRD2",23,0
"LCN2",9,"EPOR",23,0
"LCN2",10,"IRF1",23,0
"LCN2",11,"ITGA5",23,0
"LCN2",12,"KDM1A",23,0
"LCN2",13,"PLAU",23,0
"LCN2",14,"PRKAG2",23,0
"LCN2",15,"PRKDC",23,0
"LCN2",16,"SELE",23,0
"LCN2",17,"SLC6A3",23,0
