"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","set_name","bliss_expected","Syn_Bliss","Syn_add","network_variant"
"ARG1",1,1290,263047.400001697,262660.06666837,0.00147248493360541,1224,0.0511627906976744,63,0.0997395974284494,"ARG1",NA,NA,NA,"full_1291_nodes"
"LCN2",1,1290,263019.916668364,263002.009525507,6.80828398244016e-05,1225,0.0503875968992248,62,0.0982673907421774,"LCN2",NA,NA,NA,"full_1291_nodes"
"LTF",1,1290,263035.266668364,263020.392858841,5.65468262554436e-05,1225,0.0503875968992248,62,0.0982673907421774,"LTF",NA,NA,NA,"full_1291_nodes"
"ARG1+LCN2",2,1289,262564.3000017,262159.559525518,0.00154149088882072,1223,0.0512024825446082,63,0.0998149656192628,"ARG1_LCN2",0.00154046752247394,1.02336634677513e-06,9.2311539090506e-07,"full_1291_nodes"
"ARG1+LTF",2,1289,262579.6500017,262177.942858852,0.00152984872531348,1223,0.0512024825446082,63,0.0998149656192628,"ARG1_LTF",0.00152894849551111,9.00229802369701e-07,8.16965452621332e-07,"full_1291_nodes"
"LCN2+LTF",2,1289,262552.666668367,262512.185715985,0.000154182217594223,1224,0.0504266873545384,62,0.09834167754868,"LCN2_LTF",0.00012462581621131,2.9556401382913e-05,2.9552551514378e-05,"full_1291_nodes"
"ARG1+LCN2+LTF",3,1288,262097.550001707,261670.91904932,0.00162775635401291,1222,0.0512422360248447,63,0.0998904477165347,"ARG1_LCN2_LTF",0.00159692724018001,3.08291138328975e-05,3.06417543276538e-05,"full_1291_nodes"
"ARG1",1,1286,388832.866664601,388786.283331266,0.000119802972764038,1286,0,1,0,"ARG1",NA,NA,NA,"score400_LCC"
"LCN2",1,1286,388843.699997935,388829.1166646,3.75043580096435e-05,1286,0,1,0,"LCN2",NA,NA,NA,"score400_LCC"
"LTF",1,1286,388853.366664601,388831.1166646,5.72195123105246e-05,1286,0,1,0,"LTF",NA,NA,NA,"score400_LCC"
"ARG1+LCN2",2,1285,388172.366664607,388112.199997938,0.000154999870769501,1285,0,1,0,"ARG1_LCN2",0.00015730283764015,-2.30296687064868e-06,-2.30746000418058e-06,"score400_LCC"
"ARG1+LTF",2,1285,388181.533331274,388112.699997938,0.000177322534498203,1285,0,1,0,"ARG1_LTF",0.000177015630006938,3.06904491265136e-07,3.0004942364048e-07,"score400_LCC"
"LCN2+LTF",2,1285,388192.866664607,388155.699997939,9.57427862798843e-05,1285,0,1,0,"LCN2_LTF",9.47217243391085e-05,1.02106194077578e-06,1.01891595971626e-06,"score400_LCC"
"ARG1+LCN2+LTF",3,1284,387522.033331291,387439.283331289,0.000213536245385892,1284,0,1,0,"ARG1_LCN2_LTF",0.000214513349159007,-9.7710377311433e-07,-9.90597698313778e-07,"score400_LCC"
"ARG1",1,1225,231888.798937804,231544.402042875,0.0014851812442287,1224,0.000816326530612255,2,0.00163265306122451,"ARG1",NA,NA,NA,"score700_weighted_LCC"
"LCN2",1,1225,231869.120604252,231850.246574326,8.13994976006649e-05,1225,0,1,0,"LCN2",NA,NA,NA,"score700_weighted_LCC"
"LTF",1,1225,231879.357217365,231860.337650475,8.20235449946471e-05,1225,0,1,0,"LTF",NA,NA,NA,"score700_weighted_LCC"
"ARG1+LCN2",2,1224,231469.40985857,231106.658407896,0.00156716799379875,1223,0.000816993464052285,2,0.00163398692810457,"ARG1_LCN2",0.0015664598488222,7.08144976546699e-07,5.87251969386138e-07,"score700_weighted_LCC"
"ARG1+LTF",2,1224,231479.612875345,231116.555218987,0.00156842173635785,1223,0.000816993464052285,2,0.00163398692810457,"ARG1_LTF",0.00156708296939279,1.33876696506441e-06,1.21694713450804e-06,"score700_weighted_LCC"
"LCN2+LTF",2,1224,231460.533159568,231417.640039618,0.000185315048594981,1224,0,1,0,"LCN2_LTF",0.000163416365919988,2.18986826749923e-05,2.18920059996686e-05,"score700_weighted_LCC"
"ARG1+LCN2+LTF",3,1223,231061.219796111,230674.892454776,0.00167196962638438,1222,0.000817661488143884,2,0.00163532297628777,"ARG1_LCN2_LTF",0.00164835490722692,2.36147191574609e-05,2.33653395603772e-05,"score700_weighted_LCC"
