"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"degree_only_ARG1",1,"DDIT3",5.44896803789108e-06,NA,NA,NA
"degree_only_ARG1",2,"COL1A2",8.49027404237201e-06,NA,NA,NA
"degree_only_ARG1",3,"GLUD1",0.00010300883354164,NA,NA,NA
"degree_only_ARG1",4,"CDH5",6.33662563265247e-06,NA,NA,NA
"degree_only_ARG1",5,"BID",6.01936829902616e-06,NA,NA,NA
"degree_only_ARG1",6,"EIF2AK2",0.000116554297583948,NA,NA,NA
"degree_only_ARG1",7,"SMAD7",1.26728738392146e-06,NA,NA,NA
"degree_only_ARG1",8,"NFKB2",0,NA,NA,NA
"degree_only_ARG1",9,"CCR6",0,NA,NA,NA
"degree_only_ARG1",10,"DPP4",0.00143001137023646,NA,NA,NA
"degree_only_ARG1",11,"GABBR1",0.000629351098106912,NA,NA,NA
"degree_only_ARG1",12,"GABRA1",0.000512519672648093,NA,NA,NA
"degree_only_ARG1",13,"RAC1",1.74887232585741e-05,NA,NA,NA
"degree_only_ARG1",14,"BID",6.01936829902616e-06,NA,NA,NA
"degree_only_ARG1",15,"GABRA1",0.000512519672648093,NA,NA,NA
"degree_only_ARG1",16,"ERN1",4.11862188642864e-06,NA,NA,NA
"degree_only_ARG1",17,"FABP4",8.52242665472236e-05,NA,NA,NA
"degree_only_ARG1",18,"AGTR1",7.87895413547623e-05,NA,NA,NA
"degree_only_ARG1",19,"SMAD7",1.26728738392146e-06,NA,NA,NA
"degree_only_ARG1",20,"CCR6",0,NA,NA,NA
"degree_only_ARG1",21,"FABP4",8.52242665472236e-05,NA,NA,NA
"degree_only_ARG1",22,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"degree_only_ARG1",23,"CACNB3",0,NA,NA,NA
"degree_only_ARG1",24,"ADH5",7.50101523409041e-05,NA,NA,NA
"degree_only_ARG1",25,"PLA2G4A",0.000158908171599248,NA,NA,NA
"degree_only_ARG1",26,"ATF6",1.47631880090815e-05,NA,NA,NA
"degree_only_ARG1",27,"DPP4",0.00143001137023646,NA,NA,NA
"degree_only_ARG1",28,"RAC1",1.74887232585741e-05,NA,NA,NA
"degree_only_ARG1",29,"FGF1",4.22001056762378e-05,NA,NA,NA
"degree_only_ARG1",30,"GABRA1",0.000512519672648093,NA,NA,NA
"degree_only_ARG1",31,"CACNB3",0,NA,NA,NA
"degree_only_ARG1",32,"CACNG1",0,NA,NA,NA
"degree_only_ARG1",33,"FEN1",1.98912329634204e-05,NA,NA,NA
"degree_only_ARG1",34,"CACNG1",0,NA,NA,NA
"degree_only_ARG1",35,"GABBR1",0.000629351098106912,NA,NA,NA
"degree_only_ARG1",36,"BMP2",1.27361599282505e-05,NA,NA,NA
"degree_only_ARG1",37,"FABP4",8.52242665472236e-05,NA,NA,NA
"degree_only_ARG1",38,"CYBA",0,NA,NA,NA
"degree_only_ARG1",39,"FGF1",4.22001056762378e-05,NA,NA,NA
"degree_only_ARG1",40,"GATM",0.000449150320023683,NA,NA,NA
"degree_only_ARG1",41,"FABP4",8.52242665472236e-05,NA,NA,NA
"degree_only_ARG1",42,"GABBR1",0.000629351098106912,NA,NA,NA
"degree_only_ARG1",43,"TYMS",0.000142484575824997,NA,NA,NA
"degree_only_ARG1",44,"FEN1",1.98912329634204e-05,NA,NA,NA
"degree_only_ARG1",45,"IGFBP3",2.54114516418102e-05,NA,NA,NA
"degree_only_ARG1",46,"ERN1",4.11862188642864e-06,NA,NA,NA
"degree_only_ARG1",47,"ACSL1",4.92269468655993e-05,NA,NA,NA
"degree_only_ARG1",48,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"degree_only_ARG1",49,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"degree_only_ARG1",50,"ADH4",0,NA,NA,NA
"degree_only_ARG1",51,"DPP4",0.00143001137023646,NA,NA,NA
"degree_only_ARG1",52,"FEN1",1.98912329634204e-05,NA,NA,NA
"degree_only_ARG1",53,"TYMS",0.000142484575824997,NA,NA,NA
"degree_only_ARG1",54,"AGTR1",7.87895413547623e-05,NA,NA,NA
"degree_only_ARG1",55,"CYP11B2",0.000106525313512962,NA,NA,NA
"degree_only_ARG1",56,"ERN1",4.11862188642864e-06,NA,NA,NA
"degree_only_ARG1",57,"COL1A2",8.49027404237201e-06,NA,NA,NA
"degree_only_ARG1",58,"FOXM1",1.90088265561439e-06,NA,NA,NA
"degree_only_ARG1",59,"GATM",0.000449150320023683,NA,NA,NA
"degree_only_ARG1",60,"HTR3A",8.53896962736966e-05,NA,NA,NA
"degree_only_ARG1",61,"GSTM2",0,NA,NA,NA
"degree_only_ARG1",62,"KLF4",2.5346502531276e-06,NA,NA,NA
"degree_only_ARG1",63,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"degree_only_ARG1",64,"FOXM1",1.90088265561439e-06,NA,NA,NA
"degree_only_ARG1",65,"HSPA1B",2.53472574274216e-06,NA,NA,NA
"degree_only_ARG1",66,"HSPA1B",2.53472574274216e-06,NA,NA,NA
"degree_only_ARG1",67,"DDIT3",5.44896803789108e-06,NA,NA,NA
"degree_only_ARG1",68,"ADH5",7.50101523409041e-05,NA,NA,NA
"degree_only_ARG1",69,"CCR6",0,NA,NA,NA
"degree_only_ARG1",70,"DLG1",6.50075176803488e-05,NA,NA,NA
"degree_only_ARG1",71,"CPT1A",1.49157660161992e-05,NA,NA,NA
"degree_only_ARG1",72,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"degree_only_ARG1",73,"APAF1",0,NA,NA,NA
"degree_only_ARG1",74,"FEN1",1.98912329634204e-05,NA,NA,NA
"degree_only_ARG1",75,"KLF4",2.5346502531276e-06,NA,NA,NA
"degree_only_ARG1",76,"CYP2D6",2.95879994604009e-05,NA,NA,NA
"degree_only_ARG1",77,"CYBA",0,NA,NA,NA
"degree_only_ARG1",78,"AGTR1",7.87895413547623e-05,NA,NA,NA
"degree_only_ARG1",79,"CDH5",6.33662563265247e-06,NA,NA,NA
"degree_only_ARG1",80,"ADH5",7.50101523409041e-05,NA,NA,NA
"degree_only_ARG1",81,"ATF6",1.47631880090815e-05,NA,NA,NA
"degree_only_ARG1",82,"GLUD1",0.00010300883354164,NA,NA,NA
"degree_only_ARG1",83,"ACTG1",2.72461711825489e-06,NA,NA,NA
"degree_only_ARG1",84,"ADH4",0,NA,NA,NA
"degree_only_ARG1",85,"BID",6.01936829902616e-06,NA,NA,NA
"degree_only_ARG1",86,"CDH5",6.33662563265247e-06,NA,NA,NA
"degree_only_ARG1",87,"FOXM1",1.90088265561439e-06,NA,NA,NA
"degree_only_ARG1",88,"TYMS",0.000142484575824997,NA,NA,NA
"degree_only_ARG1",89,"CCR6",0,NA,NA,NA
"degree_only_ARG1",90,"TRPV4",0.000106153420904809,NA,NA,NA
"degree_only_ARG1",91,"NPPA",7.28658572474172e-05,NA,NA,NA
"degree_only_ARG1",92,"CDH5",6.33662563265247e-06,NA,NA,NA
"degree_only_ARG1",93,"TRPV4",0.000106153420904809,NA,NA,NA
"degree_only_ARG1",94,"CFLAR",6.33631245472444e-07,NA,NA,NA
"degree_only_ARG1",95,"GRIN2D",0,NA,NA,NA
"degree_only_ARG1",96,"GABRA1",0.000512519672648093,NA,NA,NA
"degree_only_ARG1",97,"SMAD7",1.26728738392146e-06,NA,NA,NA
