"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"degree_only_ARG1_LCN2",1,"ATG5+TYMS",0.000162418167862333,0.000161808253516083,6.09914346250129e-07,6.07160627885765e-07
"degree_only_ARG1_LCN2",2,"BAX+NFKB2",8.99481855271e-05,8.97923976903581e-05,1.55787836741972e-07,1.55787836741945e-07
"degree_only_ARG1_LCN2",3,"AGTR1+APAF1",7.89271944418024e-05,7.87895413547623e-05,1.37653087040057e-07,1.37653087040111e-07
"degree_only_ARG1_LCN2",4,"NPPA+SELE",7.45812216799147e-05,7.4449812810462e-05,1.31408869452621e-07,1.31293444782826e-07
"degree_only_ARG1_LCN2",5,"PRKAG2+TRPV4",0.000336932056761996,0.000336327580709894,6.04476052101788e-07,5.80039683616986e-07
"degree_only_ARG1_LCN2",6,"ERN1+SCN1B",0.00124026169855962,0.00123901208424559,1.24961431402504e-06,1.24452823380074e-06
"degree_only_ARG1_LCN2",7,"ALDH3A1+NFKB2",7.91242777317125e-05,7.8987277396747e-05,1.37000334965443e-07,1.37000334965483e-07
"degree_only_ARG1_LCN2",8,"NOD2+RAC1",4.48410657636344e-05,4.47609803942983e-05,8.00853693361248e-08,7.96084040910472e-08
"degree_only_ARG1_LCN2",9,"EIF2AK2+IRF1",0.000116444884095013,0.000116554297583948,-1.09413488935672e-07,-1.09413488935252e-07
"degree_only_ARG1_LCN2",10,"ACACA+APAF1",7.99705606779888e-05,7.98311027262466e-05,1.39457951742195e-07,1.39457951742195e-07
"degree_only_ARG1_LCN2",11,"COL1A2+SDHA",0.000620161071786307,0.000619596355525109,5.64716261197695e-07,5.59527759014028e-07
"degree_only_ARG1_LCN2",12,"ACACA+DDIT3",8.54266566446826e-05,8.52796357669883e-05,1.47020877694359e-07,1.46585880544947e-07
"degree_only_ARG1_LCN2",13,"BID+NOD2",2.85897757174025e-05,3.32919382353136e-05,-4.70216251791111e-06,-4.70232668259295e-06
"degree_only_ARG1_LCN2",14,"BGLAP+HSPA1B",0.000142772049158357,0.000142508355679083,2.63693479274352e-07,2.63338683637119e-07
"degree_only_ARG1_LCN2",15,"GATM+GRIN2C",0.000447803764885291,0.000449150320023683,-1.34655513839288e-06,-1.34655513839239e-06
"degree_only_ARG1_LCN2",16,"ADH4+CCR6",0,0,0,0
