"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"degree_only_ARG1_LTF",1,"ADCY2+SDHA",0.000611998644182377,0.000611111269984921,8.8737419745577e-07,8.87374197455553e-07
"degree_only_ARG1_LTF",2,"BMP2+DRD2",0.000230539750557424,0.000230127216196641,4.12534360783035e-07,4.09765598230092e-07
"degree_only_ARG1_LTF",3,"ATG5+BMP2",3.21200258075471e-05,3.20623451931512e-05,5.76806143959274e-08,5.743446984674e-08
"degree_only_ARG1_LTF",4,"IGFBP3+NOD2",5.27798900566978e-05,5.26834927030428e-05,9.63973536549645e-08,9.57043139183087e-08
"degree_only_ARG1_LTF",5,"ATF6+AURKB",0.000114975450924981,0.000114774052602185,2.01398322796642e-07,1.99921821763686e-07
"degree_only_ARG1_LTF",6,"GFAP+HSPA1B",0.000242681581684834,0.000242866844175738,-1.85262490903781e-07,-1.85871668501389e-07
"degree_only_ARG1_LTF",7,"ACE2+NPPA",0.000134885042397781,0.000134642003071228,2.43039326552896e-07,2.38537626762181e-07
"degree_only_ARG1_LTF",8,"ADCY1+APAF1",8.88633357443158e-06,8.87083575196179e-06,1.54978224697899e-08,1.54978224697916e-08
"degree_only_ARG1_LTF",9,"ADCY2+PLAU",9.14069065438561e-06,9.12459578450431e-06,1.60948698813002e-08,1.60948698812985e-08
"degree_only_ARG1_LTF",10,"CDH5+EPOR",4.90667666028788e-05,4.89780225444436e-05,8.87440584351751e-08,8.8473854131819e-08
"degree_only_ARG1_LTF",11,"ALDH1A2+GATM",0.000449622131863725,0.000449150320023683,4.71811840041525e-07,4.71811840042013e-07
"degree_only_ARG1_LTF",12,"BAX+CDH5",9.63040388963776e-05,9.61284543421481e-05,1.75584554229502e-07,1.7501557336705e-07
"degree_only_ARG1_LTF",13,"ALDH3A1+FAS",7.97674677653903e-05,7.96209051660002e-05,1.46562599390165e-07,1.4651254687252e-07
"degree_only_ARG1_LTF",14,"CS+PLA2G4A",0.000363154057314019,0.000362500671289179,6.5338602484033e-07,6.2102837106203e-07
"degree_only_ARG1_LTF",15,"GRIN2D+PCNA",0.000282295569148494,0.000281828068793732,4.67500354761619e-07,4.67500354762052e-07
"degree_only_ARG1_LTF",16,"IRF1+RAC1",1.75199406768911e-05,1.74887232585741e-05,3.121741831702e-08,3.12174183170098e-08
"degree_only_ARG1_LTF",17,"CFLAR+CFTR",0.00160517668229443,0.00160329134372728,1.88533856715356e-06,1.88432307246674e-06
"degree_only_ARG1_LTF",18,"ACE2+GABBR1",0.000691973845844518,0.000691092863912113,8.80981932405156e-07,8.42100214004334e-07
"degree_only_ARG1_LTF",19,"DRD2+EIF2AK2",0.000334667551217138,0.00033392278443034,7.4476678679769e-07,7.19428602247217e-07
"degree_only_ARG1_LTF",20,"ACE2+PLA2G4A",0.000221080814147068,0.000220679001673107,4.01812473960206e-07,3.91995024218107e-07
"degree_only_ARG1_LTF",21,"ACACA+ADH5",0.000154588724502469,0.000154835266923947,-2.46542421478146e-07,-2.52530564681609e-07
"degree_only_ARG1_LTF",22,"ACE2+CYP11B2",0.00016859747572584,0.000168299379833758,2.9809589208174e-07,2.91514689276578e-07
"degree_only_ARG1_LTF",23,"ADH1A+HSPA1B",2.53867899591143e-06,2.53472574274216e-06,3.95325316926431e-09,3.95325316926516e-09
"degree_only_ARG1_LTF",24,"HSPB1+RAC1",2.4504658330482e-05,2.44592649956132e-05,4.53933348687485e-08,4.5271426829516e-08
"degree_only_ARG1_LTF",25,"CDH5+CYP1B1",7.61593548159745e-06,7.60363627783089e-06,1.22992037665526e-08,1.22911751887466e-08
"degree_only_ARG1_LTF",26,"BGLAP+GRIN2D",0.000140206200226256,0.000139973984731978,2.32215494277987e-07,2.32215494278069e-07
