"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"degree_only_LCN2",1,"SELE",1.58407098771463e-06,NA,NA,NA
"degree_only_LCN2",2,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LCN2",3,"ALDH1A3",0,NA,NA,NA
"degree_only_LCN2",4,"GRIN2C",0,NA,NA,NA
"degree_only_LCN2",5,"KDM1A",0,NA,NA,NA
"degree_only_LCN2",6,"NOD2",2.72727341009693e-05,NA,NA,NA
"degree_only_LCN2",7,"APAF1",0,NA,NA,NA
"degree_only_LCN2",8,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",9,"SHH",1.43206732026169e-05,NA,NA,NA
"degree_only_LCN2",10,"SCN1B",0.00123489854843939,NA,NA,NA
"degree_only_LCN2",11,"BTK",0.000119272845312435,NA,NA,NA
"degree_only_LCN2",12,"BAX",8.97923976903581e-05,NA,NA,NA
"degree_only_LCN2",13,"CYP1B1",1.26701867375623e-06,NA,NA,NA
"degree_only_LCN2",14,"ADRB2",0.000148693401879507,NA,NA,NA
"degree_only_LCN2",15,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LCN2",16,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",17,"TEK",0,NA,NA,NA
"degree_only_LCN2",18,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LCN2",19,"CS",0.000203624857343709,NA,NA,NA
"degree_only_LCN2",20,"CCL22",0,NA,NA,NA
"degree_only_LCN2",21,"ADCY1",8.87083575196179e-06,NA,NA,NA
"degree_only_LCN2",22,"BTK",0.000119272845312435,NA,NA,NA
"degree_only_LCN2",23,"TEK",0,NA,NA,NA
"degree_only_LCN2",24,"RYR2",4.78345186669671e-05,NA,NA,NA
"degree_only_LCN2",25,"PRKDC",3.48518119952512e-06,NA,NA,NA
"degree_only_LCN2",26,"BAX",8.97923976903581e-05,NA,NA,NA
"degree_only_LCN2",27,"SHH",1.43206732026169e-05,NA,NA,NA
"degree_only_LCN2",28,"AGTR1",7.87895413547623e-05,NA,NA,NA
"degree_only_LCN2",29,"ATG5",1.93264314094499e-05,NA,NA,NA
"degree_only_LCN2",30,"SHH",1.43206732026169e-05,NA,NA,NA
"degree_only_LCN2",31,"ACTG1",2.72461711825489e-06,NA,NA,NA
"degree_only_LCN2",32,"ALDH2",5.15659678518299e-05,NA,NA,NA
"degree_only_LCN2",33,"KDM1A",0,NA,NA,NA
"degree_only_LCN2",34,"CYP1B1",1.26701867375623e-06,NA,NA,NA
"degree_only_LCN2",35,"TEK",0,NA,NA,NA
"degree_only_LCN2",36,"ACTG1",2.72461711825489e-06,NA,NA,NA
"degree_only_LCN2",37,"ACE2",6.17806475236016e-05,NA,NA,NA
"degree_only_LCN2",38,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LCN2",39,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LCN2",40,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LCN2",41,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LCN2",42,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"degree_only_LCN2",43,"ATG5",1.93264314094499e-05,NA,NA,NA
"degree_only_LCN2",44,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",45,"CACNA1B",0,NA,NA,NA
"degree_only_LCN2",46,"LGALS3",1.90104129516033e-06,NA,NA,NA
"degree_only_LCN2",47,"NOD2",2.72727341009693e-05,NA,NA,NA
"degree_only_LCN2",48,"ALDH1A2",0,NA,NA,NA
"degree_only_LCN2",49,"ADH4",0,NA,NA,NA
"degree_only_LCN2",50,"AGTR1",7.87895413547623e-05,NA,NA,NA
"degree_only_LCN2",51,"PRKAG2",0.00023019859617357,NA,NA,NA
"degree_only_LCN2",52,"ACACA",7.98311027262466e-05,NA,NA,NA
"degree_only_LCN2",53,"MT-CYB",0.000203007681716216,NA,NA,NA
"degree_only_LCN2",54,"GRIN2C",0,NA,NA,NA
"degree_only_LCN2",55,"TGFA",3.48528190785569e-06,NA,NA,NA
"degree_only_LCN2",56,"ADCY1",8.87083575196179e-06,NA,NA,NA
"degree_only_LCN2",57,"ADH7",0,NA,NA,NA
"degree_only_LCN2",58,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"degree_only_LCN2",59,"DRD2",0.000217393825030943,NA,NA,NA
"degree_only_LCN2",60,"CCL22",0,NA,NA,NA
"degree_only_LCN2",61,"KDM1A",0,NA,NA,NA
"degree_only_LCN2",62,"STAT4",0.000324242289791776,NA,NA,NA
"degree_only_LCN2",63,"KEAP1",8.90865911317151e-05,NA,NA,NA
"degree_only_LCN2",64,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LCN2",65,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",66,"IRF1",0,NA,NA,NA
"degree_only_LCN2",67,"SLC6A3",0.000164253248760127,NA,NA,NA
"degree_only_LCN2",68,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LCN2",69,"ADH4",0,NA,NA,NA
"degree_only_LCN2",70,"ADH4",0,NA,NA,NA
"degree_only_LCN2",71,"EPOR",4.26416671160945e-05,NA,NA,NA
"degree_only_LCN2",72,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",73,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LCN2",74,"ALDH1A2",0,NA,NA,NA
"degree_only_LCN2",75,"ALDH1A2",0,NA,NA,NA
"degree_only_LCN2",76,"PRKDC",3.48518119952512e-06,NA,NA,NA
"degree_only_LCN2",77,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LCN2",78,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LCN2",79,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"degree_only_LCN2",80,"ALDH1A3",0,NA,NA,NA
"degree_only_LCN2",81,"RYR2",4.78345186669671e-05,NA,NA,NA
"degree_only_LCN2",82,"ADCY2",0,NA,NA,NA
"degree_only_LCN2",83,"ADRB2",0.000148693401879507,NA,NA,NA
"degree_only_LCN2",84,"KDM1A",0,NA,NA,NA
"degree_only_LCN2",85,"GRIN2C",0,NA,NA,NA
"degree_only_LCN2",86,"KDM1A",0,NA,NA,NA
"degree_only_LCN2",87,"ALDH2",5.15659678518299e-05,NA,NA,NA
"degree_only_LCN2",88,"PLAU",9.12459578450431e-06,NA,NA,NA
