"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"degree_only_LTF",1,"CCL22",0,NA,NA,NA
"degree_only_LTF",2,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",3,"CS",0.000203624857343709,NA,NA,NA
"degree_only_LTF",4,"ADH1B",0,NA,NA,NA
"degree_only_LTF",5,"KDM1A",0,NA,NA,NA
"degree_only_LTF",6,"MT-CYB",0.000203007681716216,NA,NA,NA
"degree_only_LTF",7,"CYP1B1",1.26701867375623e-06,NA,NA,NA
"degree_only_LTF",8,"DRD2",0.000217393825030943,NA,NA,NA
"degree_only_LTF",9,"DRD2",0.000217393825030943,NA,NA,NA
"degree_only_LTF",10,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LTF",11,"SCN1B",0.00123489854843939,NA,NA,NA
"degree_only_LTF",12,"LGALS3",1.90104129516033e-06,NA,NA,NA
"degree_only_LTF",13,"NOD2",2.72727341009693e-05,NA,NA,NA
"degree_only_LTF",14,"EPOR",4.26416671160945e-05,NA,NA,NA
"degree_only_LTF",15,"SDHA",0.000611111269984921,NA,NA,NA
"degree_only_LTF",16,"CFTR",0.00160265872797649,NA,NA,NA
"degree_only_LTF",17,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LTF",18,"HSPB1",6.97066364507837e-06,NA,NA,NA
"degree_only_LTF",19,"ADRB2",0.000148693401879507,NA,NA,NA
"degree_only_LTF",20,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LTF",21,"PRKDC",3.48518119952512e-06,NA,NA,NA
"degree_only_LTF",22,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LTF",23,"GFAP",0.000240332727610593,NA,NA,NA
"degree_only_LTF",24,"ALDH1A3",0,NA,NA,NA
"degree_only_LTF",25,"CACNA1B",0,NA,NA,NA
"degree_only_LTF",26,"NOD2",2.72727341009693e-05,NA,NA,NA
"degree_only_LTF",27,"ACACA",7.98311027262466e-05,NA,NA,NA
"degree_only_LTF",28,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LTF",29,"EPOR",4.26416671160945e-05,NA,NA,NA
"degree_only_LTF",30,"ADH7",0,NA,NA,NA
"degree_only_LTF",31,"CCL22",0,NA,NA,NA
"degree_only_LTF",32,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LTF",33,"EPOR",4.26416671160945e-05,NA,NA,NA
"degree_only_LTF",34,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LTF",35,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",36,"ACE2",6.17806475236016e-05,NA,NA,NA
"degree_only_LTF",37,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",38,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LTF",39,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",40,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",41,"BAX",8.97923976903581e-05,NA,NA,NA
"degree_only_LTF",42,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LTF",43,"ITGA5",0.00127400659039045,NA,NA,NA
"degree_only_LTF",44,"ALDH1A2",0,NA,NA,NA
"degree_only_LTF",45,"PPP2CB",0,NA,NA,NA
"degree_only_LTF",46,"DRD2",0.000217393825030943,NA,NA,NA
"degree_only_LTF",47,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",48,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LTF",49,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",50,"CCL22",0,NA,NA,NA
"degree_only_LTF",51,"ADH1A",0,NA,NA,NA
"degree_only_LTF",52,"CS",0.000203624857343709,NA,NA,NA
"degree_only_LTF",53,"RARA",0.000182812715244118,NA,NA,NA
"degree_only_LTF",54,"LGALS3",1.90104129516033e-06,NA,NA,NA
"degree_only_LTF",55,"CYP1B1",1.26701867375623e-06,NA,NA,NA
"degree_only_LTF",56,"GRIN2C",0,NA,NA,NA
"degree_only_LTF",57,"SCN1B",0.00123489854843939,NA,NA,NA
"degree_only_LTF",58,"ALDH1A3",0,NA,NA,NA
"degree_only_LTF",59,"GSTM3",0,NA,NA,NA
"degree_only_LTF",60,"MT-CYB",0.000203007681716216,NA,NA,NA
"degree_only_LTF",61,"FAS",6.33677821770817e-07,NA,NA,NA
"degree_only_LTF",62,"SFN",1.88836433614448e-05,NA,NA,NA
"degree_only_LTF",63,"PRKAG2",0.00023019859617357,NA,NA,NA
"degree_only_LTF",64,"KDM1A",0,NA,NA,NA
"degree_only_LTF",65,"ITGA5",0.00127400659039045,NA,NA,NA
"degree_only_LTF",66,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LTF",67,"ATG5",1.93264314094499e-05,NA,NA,NA
"degree_only_LTF",68,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",69,"IRF1",0,NA,NA,NA
"degree_only_LTF",70,"BTK",0.000119272845312435,NA,NA,NA
"degree_only_LTF",71,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LTF",72,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LTF",73,"PRKAG2",0.00023019859617357,NA,NA,NA
"degree_only_LTF",74,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LTF",75,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",76,"ADH1A",0,NA,NA,NA
"degree_only_LTF",77,"KEAP1",8.90865911317151e-05,NA,NA,NA
"degree_only_LTF",78,"NCF2",1.00748274538542e-05,NA,NA,NA
"degree_only_LTF",79,"ADH7",0,NA,NA,NA
"degree_only_LTF",80,"ALDH2",5.15659678518299e-05,NA,NA,NA
"degree_only_LTF",81,"ITGA5",0.00127400659039045,NA,NA,NA
"degree_only_LTF",82,"ACE2",6.17806475236016e-05,NA,NA,NA
"degree_only_LTF",83,"SCN1B",0.00123489854843939,NA,NA,NA
"degree_only_LTF",84,"ADH1B",0,NA,NA,NA
"degree_only_LTF",85,"GRIN2C",0,NA,NA,NA
"degree_only_LTF",86,"ACACA",7.98311027262466e-05,NA,NA,NA
"degree_only_LTF",87,"CS",0.000203624857343709,NA,NA,NA
"degree_only_LTF",88,"NOD2",2.72727341009693e-05,NA,NA,NA
"degree_only_LTF",89,"GRIN2C",0,NA,NA,NA
"degree_only_LTF",90,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LTF",91,"PCNA",0.000281828068793732,NA,NA,NA
"degree_only_LTF",92,"CCL22",0,NA,NA,NA
"degree_only_LTF",93,"CACNA1B",0,NA,NA,NA
"degree_only_LTF",94,"PPP2CB",0,NA,NA,NA
"degree_only_LTF",95,"IRF1",0,NA,NA,NA
"degree_only_LTF",96,"BAX",8.97923976903581e-05,NA,NA,NA
"degree_only_LTF",97,"CS",0.000203624857343709,NA,NA,NA
"degree_only_LTF",98,"CCL22",0,NA,NA,NA
"degree_only_LTF",99,"ALDH1A2",0,NA,NA,NA
"degree_only_LTF",100,"SCN1B",0.00123489854843939,NA,NA,NA
"degree_only_LTF",101,"BAX",8.97923976903581e-05,NA,NA,NA
"degree_only_LTF",102,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",103,"CFTR",0.00160265872797649,NA,NA,NA
"degree_only_LTF",104,"DRD2",0.000217393825030943,NA,NA,NA
"degree_only_LTF",105,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LTF",106,"TGFA",3.48528190785569e-06,NA,NA,NA
"degree_only_LTF",107,"BGLAP",0.000139973984731978,NA,NA,NA
"degree_only_LTF",108,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LTF",109,"PLAU",9.12459578450431e-06,NA,NA,NA
"degree_only_LTF",110,"ATG5",1.93264314094499e-05,NA,NA,NA
"degree_only_LTF",111,"AURKB",0.000100012341094136,NA,NA,NA
"degree_only_LTF",112,"GRIA2",6.42468498274207e-05,NA,NA,NA
"degree_only_LTF",113,"NCOA2",3.54820525111377e-05,NA,NA,NA
"degree_only_LTF",114,"ACACA",7.98311027262466e-05,NA,NA,NA
"degree_only_LTF",115,"BGLAP",0.000139973984731978,NA,NA,NA
