"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"run02_topology_ARG1",1,"GABBR1",0.000629351098106912,NA,NA,NA
"run02_topology_ARG1",2,"CAMP",0.00129691841056656,NA,NA,NA
"run02_topology_ARG1",3,"XDH",0.000207347108110545,NA,NA,NA
"run02_topology_ARG1",4,"TAC1",0.001463424927591,NA,NA,NA
"run02_topology_ARG1",5,"GABRB3",0.000120726283226125,NA,NA,NA
"run02_topology_ARG1",6,"TFRC",0.000239327299633385,NA,NA,NA
"run02_topology_ARG1",7,"STAT4",0.000324242289791776,NA,NA,NA
"run02_topology_ARG1",8,"ADCY2",0,NA,NA,NA
"run02_topology_ARG1",9,"TRPV4",0.000106153420904809,NA,NA,NA
"run02_topology_ARG1",10,"PLA2G4A",0.000158908171599248,NA,NA,NA
"run02_topology_ARG1",11,"KCNJ11",0.00241899994818762,NA,NA,NA
"run02_topology_ARG1",12,"PLA2G4A",0.000158908171599248,NA,NA,NA
"run02_topology_ARG1",13,"GABRG2",6.25131802217682e-05,NA,NA,NA
"run02_topology_ARG1",14,"TRPV4",0.000106153420904809,NA,NA,NA
"run02_topology_ARG1",15,"KCNQ2",0.000154321192943452,NA,NA,NA
"run02_topology_ARG1",16,"CS",0.000203624857343709,NA,NA,NA
"run02_topology_ARG1",17,"ABCG2",0.00154702083903102,NA,NA,NA
"run02_topology_ARG1",18,"GCK",0.000213793988103061,NA,NA,NA
"run02_topology_ARG1",19,"DPP4",0.00143001137023646,NA,NA,NA
"run02_topology_ARG1",20,"GABRG2",6.25131802217682e-05,NA,NA,NA
"run02_topology_ARG1",21,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",22,"PTGS1",0.0001138588382259,NA,NA,NA
"run02_topology_ARG1",23,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",24,"PCNA",0.000281828068793732,NA,NA,NA
"run02_topology_ARG1",25,"DPP4",0.00143001137023646,NA,NA,NA
"run02_topology_ARG1",26,"XBP1",0.00130705850242441,NA,NA,NA
"run02_topology_ARG1",27,"ADRB2",0.000148693401879507,NA,NA,NA
"run02_topology_ARG1",28,"GCK",0.000213793988103061,NA,NA,NA
"run02_topology_ARG1",29,"SLC6A3",0.000164253248760127,NA,NA,NA
"run02_topology_ARG1",30,"GSR",0.00032731672891706,NA,NA,NA
"run02_topology_ARG1",31,"TAC1",0.001463424927591,NA,NA,NA
"run02_topology_ARG1",32,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",33,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",34,"TRPV4",0.000106153420904809,NA,NA,NA
"run02_topology_ARG1",35,"CAMP",0.00129691841056656,NA,NA,NA
"run02_topology_ARG1",36,"GFAP",0.000240332727610593,NA,NA,NA
"run02_topology_ARG1",37,"TYMS",0.000142484575824997,NA,NA,NA
"run02_topology_ARG1",38,"CAMP",0.00129691841056656,NA,NA,NA
"run02_topology_ARG1",39,"NQO1",0.000518240501310552,NA,NA,NA
"run02_topology_ARG1",40,"TYMS",0.000142484575824997,NA,NA,NA
"run02_topology_ARG1",41,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",42,"GABRA1",0.000512519672648093,NA,NA,NA
"run02_topology_ARG1",43,"CS",0.000203624857343709,NA,NA,NA
"run02_topology_ARG1",44,"CS",0.000203624857343709,NA,NA,NA
"run02_topology_ARG1",45,"KCNQ2",0.000154321192943452,NA,NA,NA
"run02_topology_ARG1",46,"NR1H4",0.000150320210463128,NA,NA,NA
"run02_topology_ARG1",47,"HPRT1",0.00041877379526456,NA,NA,NA
"run02_topology_ARG1",48,"MT-CYB",0.000203007681716216,NA,NA,NA
"run02_topology_ARG1",49,"ADRB2",0.000148693401879507,NA,NA,NA
"run02_topology_ARG1",50,"SLC6A3",0.000164253248760127,NA,NA,NA
"run02_topology_ARG1",51,"SCD",0.000143791042404695,NA,NA,NA
"run02_topology_ARG1",52,"KCNJ11",0.00241899994818762,NA,NA,NA
"run02_topology_ARG1",53,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",54,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",55,"ADRB2",0.000148693401879507,NA,NA,NA
"run02_topology_ARG1",56,"SLC6A3",0.000164253248760127,NA,NA,NA
"run02_topology_ARG1",57,"NR1H4",0.000150320210463128,NA,NA,NA
"run02_topology_ARG1",58,"GABBR1",0.000629351098106912,NA,NA,NA
"run02_topology_ARG1",59,"TFRC",0.000239327299633385,NA,NA,NA
"run02_topology_ARG1",60,"TFRC",0.000239327299633385,NA,NA,NA
"run02_topology_ARG1",61,"ADCY1",8.87083575196179e-06,NA,NA,NA
"run02_topology_ARG1",62,"ABCG2",0.00154702083903102,NA,NA,NA
"run02_topology_ARG1",63,"NQO1",0.000518240501310552,NA,NA,NA
"run02_topology_ARG1",64,"GABRA1",0.000512519672648093,NA,NA,NA
"run02_topology_ARG1",65,"ABCG2",0.00154702083903102,NA,NA,NA
"run02_topology_ARG1",66,"GABRG2",6.25131802217682e-05,NA,NA,NA
"run02_topology_ARG1",67,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",68,"TYMS",0.000142484575824997,NA,NA,NA
"run02_topology_ARG1",69,"CFTR",0.00160265872797649,NA,NA,NA
"run02_topology_ARG1",70,"CS",0.000203624857343709,NA,NA,NA
"run02_topology_ARG1",71,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",72,"GRM5",0.000204723227971049,NA,NA,NA
"run02_topology_ARG1",73,"TYMS",0.000142484575824997,NA,NA,NA
"run02_topology_ARG1",74,"NQO1",0.000518240501310552,NA,NA,NA
"run02_topology_ARG1",75,"GAD1",0.000786829139807432,NA,NA,NA
"run02_topology_ARG1",76,"SLC6A3",0.000164253248760127,NA,NA,NA
"run02_topology_ARG1",77,"HPRT1",0.00041877379526456,NA,NA,NA
"run02_topology_ARG1",78,"GFAP",0.000240332727610593,NA,NA,NA
"run02_topology_ARG1",79,"SCD",0.000143791042404695,NA,NA,NA
"run02_topology_ARG1",80,"HPRT1",0.00041877379526456,NA,NA,NA
"run02_topology_ARG1",81,"XDH",0.000207347108110545,NA,NA,NA
"run02_topology_ARG1",82,"CFTR",0.00160265872797649,NA,NA,NA
"run02_topology_ARG1",83,"TAC1",0.001463424927591,NA,NA,NA
"run02_topology_ARG1",84,"SCD",0.000143791042404695,NA,NA,NA
"run02_topology_ARG1",85,"PCNA",0.000281828068793732,NA,NA,NA
"run02_topology_ARG1",86,"TAC1",0.001463424927591,NA,NA,NA
"run02_topology_ARG1",87,"GABRG2",6.25131802217682e-05,NA,NA,NA
"run02_topology_ARG1",88,"AGXT2",0.000181321349120078,NA,NA,NA
"run02_topology_ARG1",89,"GABRB3",0.000120726283226125,NA,NA,NA
"run02_topology_ARG1",90,"ADRB2",0.000148693401879507,NA,NA,NA
"run02_topology_ARG1",91,"MT-CYB",0.000203007681716216,NA,NA,NA
"run02_topology_ARG1",92,"ACLY",0.000136799781064179,NA,NA,NA
"run02_topology_ARG1",93,"CS",0.000203624857343709,NA,NA,NA
"run02_topology_ARG1",94,"GABRA1",0.000512519672648093,NA,NA,NA
"run02_topology_ARG1",95,"KCNH2",0.000463751185241779,NA,NA,NA
"run02_topology_ARG1",96,"PTH",0.00019439506068486,NA,NA,NA
"run02_topology_ARG1",97,"STAT4",0.000324242289791776,NA,NA,NA
"run02_topology_ARG1",98,"PTGS1",0.0001138588382259,NA,NA,NA
"run02_topology_ARG1",99,"GSR",0.00032731672891706,NA,NA,NA
"run02_topology_ARG1",100,"CAMP",0.00129691841056656,NA,NA,NA
"run02_topology_ARG1",101,"DPP4",0.00143001137023646,NA,NA,NA
"run02_topology_ARG1",102,"GATM",0.000449150320023683,NA,NA,NA
"run02_topology_ARG1",103,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",104,"XDH",0.000207347108110545,NA,NA,NA
"run02_topology_ARG1",105,"SCN2A",9.6829057864789e-05,NA,NA,NA
"run02_topology_ARG1",106,"KCNJ11",0.00241899994818762,NA,NA,NA
"run02_topology_ARG1",107,"XDH",0.000207347108110545,NA,NA,NA
"run02_topology_ARG1",108,"ADCY2",0,NA,NA,NA
"run02_topology_ARG1",109,"GABRB3",0.000120726283226125,NA,NA,NA
"run02_topology_ARG1",110,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",111,"SCD",0.000143791042404695,NA,NA,NA
"run02_topology_ARG1",112,"DPP4",0.00143001137023646,NA,NA,NA
"run02_topology_ARG1",113,"GRM5",0.000204723227971049,NA,NA,NA
"run02_topology_ARG1",114,"HK2",0.000296209764147126,NA,NA,NA
"run02_topology_ARG1",115,"RARA",0.000182812715244118,NA,NA,NA
"run02_topology_ARG1",116,"TRPV4",0.000106153420904809,NA,NA,NA
"run02_topology_ARG1",117,"SDHA",0.000611111269984921,NA,NA,NA
"run02_topology_ARG1",118,"ADCY2",0,NA,NA,NA
"run02_topology_ARG1",119,"TFRC",0.000239327299633385,NA,NA,NA
"run02_topology_ARG1",120,"DPP4",0.00143001137023646,NA,NA,NA
"run02_topology_ARG1",121,"GRM5",0.000204723227971049,NA,NA,NA
"run02_topology_ARG1",122,"HPRT1",0.00041877379526456,NA,NA,NA
"run02_topology_ARG1",123,"GATM",0.000449150320023683,NA,NA,NA
"run02_topology_ARG1",124,"HPRT1",0.00041877379526456,NA,NA,NA
"run02_topology_ARG1",125,"KCNJ11",0.00241899994818762,NA,NA,NA
"run02_topology_ARG1",126,"KCNJ11",0.00241899994818762,NA,NA,NA
"run02_topology_ARG1",127,"DRD2",0.000217393825030943,NA,NA,NA
"run02_topology_ARG1",128,"PRKAG2",0.00023019859617357,NA,NA,NA
"run02_topology_ARG1",129,"TAC1",0.001463424927591,NA,NA,NA
"run02_topology_ARG1",130,"NR1H4",0.000150320210463128,NA,NA,NA
"run02_topology_ARG1",131,"GRM5",0.000204723227971049,NA,NA,NA
"run02_topology_ARG1",132,"PTGS1",0.0001138588382259,NA,NA,NA
