"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"run02_topology_LCN2",1,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LCN2",2,"SCN1A",4.8526600018195e-05,NA,NA,NA
"run02_topology_LCN2",3,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LCN2",4,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LCN2",5,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LCN2",6,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LCN2",7,"PPARD",4.39109792027548e-05,NA,NA,NA
"run02_topology_LCN2",8,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LCN2",9,"ACTG1",2.72461711825489e-06,NA,NA,NA
"run02_topology_LCN2",10,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LCN2",11,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LCN2",12,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"run02_topology_LCN2",13,"CPT1A",1.49157660161992e-05,NA,NA,NA
"run02_topology_LCN2",14,"CPT1A",1.49157660161992e-05,NA,NA,NA
"run02_topology_LCN2",15,"FURIN",9.05415850372959e-05,NA,NA,NA
"run02_topology_LCN2",16,"HSD3B2",2.44539251612608e-05,NA,NA,NA
"run02_topology_LCN2",17,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LCN2",18,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LCN2",19,"PPIF",5.98208087934093e-05,NA,NA,NA
"run02_topology_LCN2",20,"GLUD1",0.00010300883354164,NA,NA,NA
"run02_topology_LCN2",21,"ALDH1B1",0,NA,NA,NA
"run02_topology_LCN2",22,"VIM",5.2598025607753e-05,NA,NA,NA
"run02_topology_LCN2",23,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LCN2",24,"HSD3B2",2.44539251612608e-05,NA,NA,NA
"run02_topology_LCN2",25,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LCN2",26,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LCN2",27,"CPT1A",1.49157660161992e-05,NA,NA,NA
"run02_topology_LCN2",28,"GRIA2",6.42468498274207e-05,NA,NA,NA
"run02_topology_LCN2",29,"NOS2",2.38274351227474e-05,NA,NA,NA
"run02_topology_LCN2",30,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LCN2",31,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LCN2",32,"VIM",5.2598025607753e-05,NA,NA,NA
"run02_topology_LCN2",33,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LCN2",34,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LCN2",35,"CYP2C19",1.83094707274511e-05,NA,NA,NA
"run02_topology_LCN2",36,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LCN2",37,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LCN2",38,"HSD3B2",2.44539251612608e-05,NA,NA,NA
"run02_topology_LCN2",39,"PPARD",4.39109792027548e-05,NA,NA,NA
"run02_topology_LCN2",40,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LCN2",41,"AURKB",0.000100012341094136,NA,NA,NA
"run02_topology_LCN2",42,"AURKB",0.000100012341094136,NA,NA,NA
"run02_topology_LCN2",43,"KEAP1",8.90865911317151e-05,NA,NA,NA
"run02_topology_LCN2",44,"PRKCZ",0.00127837750571802,NA,NA,NA
"run02_topology_LCN2",45,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LCN2",46,"FURIN",9.05415850372959e-05,NA,NA,NA
"run02_topology_LCN2",47,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LCN2",48,"SCN1A",4.8526600018195e-05,NA,NA,NA
"run02_topology_LCN2",49,"SLC6A4",7.25412905625555e-05,NA,NA,NA
"run02_topology_LCN2",50,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LCN2",51,"PRKCZ",0.00127837750571802,NA,NA,NA
"run02_topology_LCN2",52,"CYP2C19",1.83094707274511e-05,NA,NA,NA
"run02_topology_LCN2",53,"ALDH1B1",0,NA,NA,NA
"run02_topology_LCN2",54,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LCN2",55,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LCN2",56,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LCN2",57,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LCN2",58,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"run02_topology_LCN2",59,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LCN2",60,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"run02_topology_LCN2",61,"ACSL1",4.92269468655993e-05,NA,NA,NA
"run02_topology_LCN2",62,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LCN2",63,"ACSL1",4.92269468655993e-05,NA,NA,NA
"run02_topology_LCN2",64,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"run02_topology_LCN2",65,"ACE2",6.17806475236016e-05,NA,NA,NA
"run02_topology_LCN2",66,"AKR1D1",0.0010662752740489,NA,NA,NA
"run02_topology_LCN2",67,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LCN2",68,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LCN2",69,"KEAP1",8.90865911317151e-05,NA,NA,NA
"run02_topology_LCN2",70,"ACTG1",2.72461711825489e-06,NA,NA,NA
"run02_topology_LCN2",71,"CALM2",0,NA,NA,NA
"run02_topology_LCN2",72,"VIM",5.2598025607753e-05,NA,NA,NA
"run02_topology_LCN2",73,"NDUFS3",7.91874029407724e-05,NA,NA,NA
"run02_topology_LCN2",74,"CACNA1B",0,NA,NA,NA
"run02_topology_LCN2",75,"CPT1A",1.49157660161992e-05,NA,NA,NA
"run02_topology_LCN2",76,"CYP17A1",3.31356115126358e-05,NA,NA,NA
"run02_topology_LCN2",77,"CPT1A",1.49157660161992e-05,NA,NA,NA
"run02_topology_LCN2",78,"CALM2",0,NA,NA,NA
"run02_topology_LCN2",79,"CTSD",0.000133066364187417,NA,NA,NA
"run02_topology_LCN2",80,"CTSD",0.000133066364187417,NA,NA,NA
"run02_topology_LCN2",81,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LCN2",82,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LCN2",83,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LCN2",84,"CALM2",0,NA,NA,NA
"run02_topology_LCN2",85,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"run02_topology_LCN2",86,"CACNA1B",0,NA,NA,NA
"run02_topology_LCN2",87,"HSD3B2",2.44539251612608e-05,NA,NA,NA
"run02_topology_LCN2",88,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LCN2",89,"HSD3B2",2.44539251612608e-05,NA,NA,NA
"run02_topology_LCN2",90,"CTSD",0.000133066364187417,NA,NA,NA
"run02_topology_LCN2",91,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LCN2",92,"AURKB",0.000100012341094136,NA,NA,NA
"run02_topology_LCN2",93,"CACNA1B",0,NA,NA,NA
"run02_topology_LCN2",94,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LCN2",95,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LCN2",96,"AKR1C1",5.66614851992275e-05,NA,NA,NA
"run02_topology_LCN2",97,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LCN2",98,"BAX",8.97923976903581e-05,NA,NA,NA
"run02_topology_LCN2",99,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LCN2",100,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LCN2",101,"GRIA2",6.42468498274207e-05,NA,NA,NA
"run02_topology_LCN2",102,"SLC6A4",7.25412905625555e-05,NA,NA,NA
"run02_topology_LCN2",103,"ACACA",7.98311027262466e-05,NA,NA,NA
