"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"run02_topology_LTF",1,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",2,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",3,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LTF",4,"GOT1",5.88174838508371e-05,NA,NA,NA
"run02_topology_LTF",5,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LTF",6,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",7,"THBS1",7.4650161333345e-05,NA,NA,NA
"run02_topology_LTF",8,"SREBF2",1.69818952083789e-05,NA,NA,NA
"run02_topology_LTF",9,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",10,"THBS1",7.4650161333345e-05,NA,NA,NA
"run02_topology_LTF",11,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LTF",12,"ITPR3",1.88839173905775e-05,NA,NA,NA
"run02_topology_LTF",13,"SOX9",0.000102527928081186,NA,NA,NA
"run02_topology_LTF",14,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LTF",15,"ALDH1B1",0,NA,NA,NA
"run02_topology_LTF",16,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",17,"NPPA",7.28658572474172e-05,NA,NA,NA
"run02_topology_LTF",18,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LTF",19,"SREBF2",1.69818952083789e-05,NA,NA,NA
"run02_topology_LTF",20,"EIF2S1",0.000110140192739028,NA,NA,NA
"run02_topology_LTF",21,"PRKCZ",0.00127837750571802,NA,NA,NA
"run02_topology_LTF",22,"SOX9",0.000102527928081186,NA,NA,NA
"run02_topology_LTF",23,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",24,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",25,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LTF",26,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",27,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",28,"ACACA",7.98311027262466e-05,NA,NA,NA
"run02_topology_LTF",29,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"run02_topology_LTF",30,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LTF",31,"KEAP1",8.90865911317151e-05,NA,NA,NA
"run02_topology_LTF",32,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LTF",33,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LTF",34,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LTF",35,"ACE2",6.17806475236016e-05,NA,NA,NA
"run02_topology_LTF",36,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",37,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LTF",38,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"run02_topology_LTF",39,"F3",4.30244857466677e-05,NA,NA,NA
"run02_topology_LTF",40,"ALDH3A1",7.8987277396747e-05,NA,NA,NA
"run02_topology_LTF",41,"CYP11B2",0.000106525313512962,NA,NA,NA
"run02_topology_LTF",42,"SOX9",0.000102527928081186,NA,NA,NA
"run02_topology_LTF",43,"CYP2D6",2.95879994604009e-05,NA,NA,NA
"run02_topology_LTF",44,"GOT1",5.88174838508371e-05,NA,NA,NA
"run02_topology_LTF",45,"KEAP1",8.90865911317151e-05,NA,NA,NA
"run02_topology_LTF",46,"ACACA",7.98311027262466e-05,NA,NA,NA
"run02_topology_LTF",47,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",48,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",49,"NDUFS3",7.91874029407724e-05,NA,NA,NA
"run02_topology_LTF",50,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",51,"ACSL1",4.92269468655993e-05,NA,NA,NA
"run02_topology_LTF",52,"NOS2",2.38274351227474e-05,NA,NA,NA
"run02_topology_LTF",53,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LTF",54,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",55,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",56,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",57,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"run02_topology_LTF",58,"CYP2D6",2.95879994604009e-05,NA,NA,NA
"run02_topology_LTF",59,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LTF",60,"AKR1D1",0.0010662752740489,NA,NA,NA
"run02_topology_LTF",61,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",62,"F3",4.30244857466677e-05,NA,NA,NA
"run02_topology_LTF",63,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",64,"ALDH1B1",0,NA,NA,NA
"run02_topology_LTF",65,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",66,"SCN1A",4.8526600018195e-05,NA,NA,NA
"run02_topology_LTF",67,"ACACA",7.98311027262466e-05,NA,NA,NA
"run02_topology_LTF",68,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",69,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",70,"PRKCZ",0.00127837750571802,NA,NA,NA
"run02_topology_LTF",71,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",72,"CALM2",0,NA,NA,NA
"run02_topology_LTF",73,"ALDH2",5.15659678518299e-05,NA,NA,NA
"run02_topology_LTF",74,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",75,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",76,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",77,"F3",4.30244857466677e-05,NA,NA,NA
"run02_topology_LTF",78,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LTF",79,"BAX",8.97923976903581e-05,NA,NA,NA
"run02_topology_LTF",80,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LTF",81,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",82,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",83,"AKR1D1",0.0010662752740489,NA,NA,NA
"run02_topology_LTF",84,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",85,"ACACA",7.98311027262466e-05,NA,NA,NA
"run02_topology_LTF",86,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",87,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LTF",88,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",89,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",90,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",91,"ACE2",6.17806475236016e-05,NA,NA,NA
"run02_topology_LTF",92,"F3",4.30244857466677e-05,NA,NA,NA
"run02_topology_LTF",93,"GOT1",5.88174838508371e-05,NA,NA,NA
"run02_topology_LTF",94,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LTF",95,"ACACA",7.98311027262466e-05,NA,NA,NA
"run02_topology_LTF",96,"ACE2",6.17806475236016e-05,NA,NA,NA
"run02_topology_LTF",97,"RYR2",4.78345186669671e-05,NA,NA,NA
"run02_topology_LTF",98,"EIF2S1",0.000110140192739028,NA,NA,NA
"run02_topology_LTF",99,"CTSK",0.000205253306110875,NA,NA,NA
"run02_topology_LTF",100,"BGLAP",0.000139973984731978,NA,NA,NA
"run02_topology_LTF",101,"PARK7",5.03123803161643e-05,NA,NA,NA
"run02_topology_LTF",102,"SOX9",0.000102527928081186,NA,NA,NA
"run02_topology_LTF",103,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",104,"ACE2",6.17806475236016e-05,NA,NA,NA
"run02_topology_LTF",105,"NOS2",2.38274351227474e-05,NA,NA,NA
"run02_topology_LTF",106,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",107,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",108,"GLUD1",0.00010300883354164,NA,NA,NA
"run02_topology_LTF",109,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LTF",110,"DLG1",6.50075176803488e-05,NA,NA,NA
"run02_topology_LTF",111,"NPPA",7.28658572474172e-05,NA,NA,NA
"run02_topology_LTF",112,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",113,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LTF",114,"SOX9",0.000102527928081186,NA,NA,NA
"run02_topology_LTF",115,"GRIA2",6.42468498274207e-05,NA,NA,NA
"run02_topology_LTF",116,"TNFSF11",7.5283725537223e-05,NA,NA,NA
"run02_topology_LTF",117,"F3",4.30244857466677e-05,NA,NA,NA
"run02_topology_LTF",118,"SCN1A",4.8526600018195e-05,NA,NA,NA
"run02_topology_LTF",119,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",120,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",121,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",122,"VIM",5.2598025607753e-05,NA,NA,NA
"run02_topology_LTF",123,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",124,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",125,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LTF",126,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",127,"RYR1",8.59077355945814e-05,NA,NA,NA
"run02_topology_LTF",128,"ITPR3",1.88839173905775e-05,NA,NA,NA
"run02_topology_LTF",129,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",130,"EIF2AK2",0.000116554297583948,NA,NA,NA
"run02_topology_LTF",131,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LTF",132,"BTK",0.000119272845312435,NA,NA,NA
"run02_topology_LTF",133,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",134,"CALM2",0,NA,NA,NA
"run02_topology_LTF",135,"GLUD1",0.00010300883354164,NA,NA,NA
"run02_topology_LTF",136,"ADH5",7.50101523409041e-05,NA,NA,NA
"run02_topology_LTF",137,"ACSL1",4.92269468655993e-05,NA,NA,NA
"run02_topology_LTF",138,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",139,"CALM2",0,NA,NA,NA
"run02_topology_LTF",140,"GLUD1",0.00010300883354164,NA,NA,NA
"run02_topology_LTF",141,"GRIA2",6.42468498274207e-05,NA,NA,NA
"run02_topology_LTF",142,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",143,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",144,"KEAP1",8.90865911317151e-05,NA,NA,NA
"run02_topology_LTF",145,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LTF",146,"CALR",4.38793673526172e-05,NA,NA,NA
"run02_topology_LTF",147,"NOS2",2.38274351227474e-05,NA,NA,NA
"run02_topology_LTF",148,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LTF",149,"SCN1A",4.8526600018195e-05,NA,NA,NA
"run02_topology_LTF",150,"C3",4.60004945984638e-05,NA,NA,NA
"run02_topology_LTF",151,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LTF",152,"CACNA1B",0,NA,NA,NA
"run02_topology_LTF",153,"GRIA1",1.90084712514693e-06,NA,NA,NA
"run02_topology_LTF",154,"GOT1",5.88174838508371e-05,NA,NA,NA
"run02_topology_LTF",155,"ALDH1B1",0,NA,NA,NA
"run02_topology_LTF",156,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LTF",157,"FABP4",8.52242665472236e-05,NA,NA,NA
"run02_topology_LTF",158,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",159,"CYP17A1",3.31356115126358e-05,NA,NA,NA
"run02_topology_LTF",160,"AURKA",5.49029298524406e-05,NA,NA,NA
"run02_topology_LTF",161,"AGTR1",7.87895413547623e-05,NA,NA,NA
"run02_topology_LTF",162,"ITGA5",0.00127400659039045,NA,NA,NA
"run02_topology_LTF",163,"AKR1C3",0.000173978783267859,NA,NA,NA
"run02_topology_LTF",164,"EIF2S1",0.000110140192739028,NA,NA,NA
"run02_topology_LTF",165,"ACSL1",4.92269468655993e-05,NA,NA,NA
"run02_topology_LTF",166,"CALM2",0,NA,NA,NA
"run02_topology_LTF",167,"CYP17A1",3.31356115126358e-05,NA,NA,NA
"run02_topology_LTF",168,"NFATC1",5.51292228962996e-05,NA,NA,NA
"run02_topology_LTF",169,"VIM",5.2598025607753e-05,NA,NA,NA
"run02_topology_LTF",170,"ITGA5",0.00127400659039045,NA,NA,NA
