"null_label","iteration","sampled_set","D_E","bliss_expected","Syn_Bliss","Syn_add"
"run02_uniform_k2",1,"MAP2K1+UGT2B28",0,0,0,0
"run02_uniform_k2",2,"CTRC+CYP26C1",0,0,0,0
"run02_uniform_k2",3,"NKX3-1+XBP1",0.00130760006196917,0.00130705850242441,5.41559544764425e-07,5.41559544761823e-07
"run02_uniform_k2",4,"APOB+CASP8",0.000262956809883197,0.000262421448906314,5.35360976883226e-07,5.33266654278563e-07
"run02_uniform_k2",5,"CD55+TFRC",0.000247162831059966,0.000246799992871805,3.62838188161518e-07,3.61049340535989e-07
"run02_uniform_k2",6,"ATG7+NCOA2",3.84640749032661e-05,3.83966149624104e-05,6.74599408556631e-08,6.73565225816847e-08
"run02_uniform_k2",7,"AGXT+TRPV4",0.000212542775597679,0.000212201212469676,3.41563128003486e-07,3.30304597006409e-07
"run02_uniform_k2",8,"ARF5+YAP1",2.3796694099909e-05,2.37641275353528e-05,3.25665645561912e-08,3.25665645562319e-08
"run02_uniform_k2",9,"AMY1B+MSI1",0.00114324934812038,0.00114246836222298,7.80985897397279e-07,7.80985897398797e-07
"run02_uniform_k2",10,"ATF6+KCNE2",1.47845453910556e-05,1.47631880090815e-05,2.13573819740631e-08,2.13573819740597e-08
"run02_uniform_k2",11,"ADRB2+PLAU",0.000157150870678469,0.000157816640896868,-6.65770218399864e-07,-6.67126985542753e-07
"run02_uniform_k2",12,"HCN2+LDLR",0,0,0,0
"run02_uniform_k2",13,"GABRQ+POLDIP2",0,0,0,0
"run02_uniform_k2",14,"DDB1+NFE2L2",9.3892356191061e-05,9.37268469207719e-05,1.65509270289022e-07,1.63993336022058e-07
"run02_uniform_k2",15,"ABCC8+PTAFR",3.6741861202727e-05,3.66842389862843e-05,5.76222164427875e-08,5.76222164427469e-08
"run02_uniform_k2",16,"ATF6+CCL2",5.13677276546831e-05,5.12724166383816e-05,9.5311016301558e-08,9.47720157906131e-08
"run02_uniform_k2",17,"PPIA+TNNI3",0.000119506485812382,0.000119304028110889,2.0245770149252e-07,1.99619307861276e-07
"run02_uniform_k2",18,"FGF2+POR",8.62100597628368e-05,8.60527601235228e-05,1.5729963931399e-07,1.55462360318395e-07
"run02_uniform_k2",19,"PRKCG+PTGFR",2.944888755263e-05,2.94022734012023e-05,4.66141514277041e-08,4.65325187270879e-08
"run02_uniform_k2",20,"CYP3A5+DSPP",2.13164528295451e-05,2.12871813713988e-05,2.92714581462405e-08,2.92714581462846e-08
"run02_uniform_k2",21,"ATOX1+GCG",0.000221346279841605,0.000221045982158996,3.00297682609418e-07,3.002976826095e-07
"run02_uniform_k2",22,"ATIC+PROM1",0.00247391050844736,0.00247102529100107,2.88521744629122e-06,1.35852146943352e-06
"run02_uniform_k2",23,"GABRG3+RUNX1T1",0,0,0,0
"run02_uniform_k2",24,"FOSL1+TUBG1",5.31123251432675e-05,5.30298023420084e-05,8.25228012590884e-08,8.24413242117165e-08
"run02_uniform_k2",25,"CYCS+GABRA6",0.0019251349095899,0.0019228192201588,2.31568943109828e-06,2.31568943109849e-06
"run02_uniform_k2",26,"INSR+PRDX5",1.12964024323592e-05,1.12798026006278e-05,1.6599831731412e-08,1.65998317313866e-08
"run02_uniform_k2",27,"ABCC8+CYBB",0.000101125604795804,0.00010094343804723,1.8216674857463e-07,1.79809362288439e-07
"run02_uniform_k2",28,"NCOA6+RXRB",3.72790871855377e-05,3.7531212242814e-05,-2.52125057276231e-07,-2.52125057276258e-07
"run02_uniform_k2",29,"HAMP+HCN2",0.000188179386359733,0.000187982524293195,1.96862066537129e-07,1.96862066537536e-07
"run02_uniform_k2",30,"CYP3A5+PDE1B",5.85034067145385e-05,5.84089729412929e-05,9.44337732455836e-08,9.36435381460586e-08
"run02_uniform_k2",31,"ATF6+SSTR5",1.47844356318538e-05,1.47631880090815e-05,2.12476227723357e-08,2.12476227723323e-08
"run02_uniform_k2",32,"GSS+MT1X",1.9656448933647e-05,1.96391900666448e-05,1.72588670022122e-08,1.72588670022427e-08
"run02_uniform_k2",33,"APOD+IGF1",0.0023365545141002,0.00233320971196771,3.34480213248778e-06,2.60211188895859e-06
"run02_uniform_k2",34,"SNAI2+USP10",5.01427736138149e-05,5.03668154961945e-05,-2.24041882379566e-07,-2.24073397614419e-07
"run02_uniform_k2",35,"AIFM1+CD83",1.58607477829253e-06,1.58347085155164e-06,2.60392674089616e-09,2.60392674089446e-09
"run02_uniform_k2",36,"ACTB+CRTC2",0.00362206040540547,0.00361751682306866,4.5435823368134e-06,4.46837712020712e-06
"run02_uniform_k2",37,"GGPS1+MARK4",0,0,0,0
"run02_uniform_k2",38,"ALDH1A1+PLG",0.00124768118755669,0.00124434887020552,3.3323173511679e-06,2.96643438013589e-06
"run02_uniform_k2",39,"CMA1+MPO",0.000259593912841916,0.000259217982351401,3.75930490514875e-07,3.7593049051455e-07
"run02_uniform_k2",40,"CXCL13+CYP1A2",5.26117180306152e-05,5.25226389015421e-05,8.90791290730775e-08,8.90791290730504e-08
"run02_uniform_k2",41,"POLDIP2+RBL1",0,0,0,0
"run02_uniform_k2",42,"PLA2G7+SRD5A2",0.000169590959565369,0.000169325864138758,2.65095426610351e-07,2.60823273645438e-07
"run02_uniform_k2",43,"AFM+CYP51A1",3.41839752366901e-05,3.41436506348103e-05,4.03246018798598e-08,4.03246018798462e-08
"run02_uniform_k2",44,"RBP1+SOAT1",1.9471788812786e-05,1.94442597764022e-05,2.7529036383811e-08,2.7483494702318e-08
"run02_uniform_k2",45,"CCND1+HTR1D",0.000116675344316031,0.000116503278948743,1.72065367287644e-07,1.72065367287657e-07
"run02_uniform_k2",46,"COL7A1+ESRRA",6.98480123737522e-05,6.99494678408907e-05,-1.01455467138578e-07,-1.01455467138551e-07
"run02_uniform_k2",47,"ADH1C+ATP1A2",4.64101508138581e-05,4.63378248599655e-05,7.23259538926158e-08,7.23259538926293e-08
"run02_uniform_k2",48,"P4HB+RARG",2.25243431044575e-05,2.24939291733062e-05,3.04139311513296e-08,3.04139311512991e-08
"run02_uniform_k2",49,"KCNMB4+LEF1",5.07668072391443e-06,5.06903005115245e-06,7.65067276198295e-09,7.65067276197871e-09
"run02_uniform_k2",50,"AXIN2+TFEB",4.44183687453581e-06,4.43464879762434e-06,7.1880769114685e-09,7.18807691146935e-09
"run02_uniform_k2",51,"GLO1+SOD2",0.000301213892535013,0.000301111293268819,1.02599266194048e-07,1.01136050534084e-07
"run02_uniform_k2",52,"GOT2+OPRM1",0.000871894125400119,0.000870326252264464,1.56787313565498e-06,1.49937057658512e-06
"run02_uniform_k2",53,"BGLAP+SEMA3A",0.000147023792983259,0.000146813764889009,2.10028094249637e-07,2.09070568968432e-07
"run02_uniform_k2",54,"ADCY2+TNF",0.00134518389203853,0.00134281467430086,2.3692177376633e-06,2.36921773766612e-06
"run02_uniform_k2",55,"APOD+HIF1A",0.00250218526431967,0.0024977884077525,4.39685656716815e-06,3.33197757684551e-06
"run02_uniform_k2",56,"ELOVL4+SULT2A1",1.3191720694361e-05,1.31748566971623e-05,1.68639971986906e-08,1.68639971987312e-08
"run02_uniform_k2",57,"CASP3+NNMT",0.000487793080862553,0.000486956112498715,8.3696836383762e-07,8.25685095073641e-07
"run02_uniform_k2",58,"KCNJ9+WEE1",0,0,0,0
"run02_uniform_k2",59,"ATP1A1+PRKCE",5.93413239974305e-05,5.92422902645495e-05,9.90337328810043e-08,9.89602704226316e-08
"run02_uniform_k2",60,"GABRG2+PTGER4",6.81993679324533e-05,6.80881472345796e-05,1.11220697873726e-07,1.10872167113931e-07
"run02_uniform_k2",61,"GFAP+PSMD11",0.000240686560257442,0.000240966019460109,-2.79459202667809e-07,-2.79611440002012e-07
"run02_uniform_k2",62,"LCP1+SMAD1",0.00205708326519738,0.00205551981329799,1.563451899389e-06,1.563451899389e-06
"run02_uniform_k2",63,"GRIN2C+PNP",0.000105466844033897,0.000105291533052498,1.75310981398447e-07,1.7531098139884e-07
"run02_uniform_k2",64,"F2+NR1H4",0.000279637737192417,0.000279122747142369,5.14990050048958e-07,4.95625514740469e-07
"run02_uniform_k2",65,"KCNJ10+RARG",0,0,0,0
"run02_uniform_k2",66,"NQO1+SLCO1B1",0.00054876688035177,0.000549073205284301,-3.06324932530799e-07,-3.22311973666384e-07
"run02_uniform_k2",67,"AXL+MAP2K7",2.89040408242291e-05,2.88554373799599e-05,4.86034442692684e-08,4.85220691404177e-08
"run02_uniform_k2",68,"POLE+UGT1A3",8.12037749076122e-06,8.10790331851052e-06,1.24741722506982e-08,1.24655048505605e-08
"run02_uniform_k2",69,"CASR+NRP1",0.000120992895493721,0.000121010793277088,-1.78977833664717e-08,-1.97991072426314e-08
"run02_uniform_k2",70,"ATP1A3+PTGER1",3.17256608495242e-06,3.16733579774908e-06,5.2302872033394e-09,5.23028720334194e-09
"run02_uniform_k2",71,"APP+GABRP",0.0011255340561751,0.00112835552814228,-2.82147196717375e-06,-2.82147196717635e-06
"run02_uniform_k2",72,"ABL1+HMGCR",0.000285784212597617,0.000285229948100763,5.54264496854806e-07,5.34052841727364e-07
"run02_uniform_k2",73,"MB+NCOA6",4.23983744918255e-05,4.23248293774936e-05,7.35451143318855e-08,7.35451143318855e-08
"run02_uniform_k2",74,"NANOG+TTK",1.11057591926089e-05,1.10891037644612e-05,1.66554281477715e-08,1.66429846570926e-08
"run02_uniform_k2",75,"KEAP1+NR1H3",8.92316106518853e-05,8.90865911317151e-05,1.45019520170209e-07,1.45019520170236e-07
"run02_uniform_k2",76,"CTTN+TRPV2",4.88002190106585e-05,4.87213213968829e-05,7.88976137755526e-08,7.83356381984493e-08
"run02_uniform_k2",77,"GAS6+LPCAT2",1.25615794958067e-05,1.2544836703432e-05,1.67427923747354e-08,1.67427923747185e-08
"run02_uniform_k2",78,"CHEK2+MAPT",0.000250983944761418,0.000250558481158625,4.25463602793386e-07,4.24866149373695e-07
"run02_uniform_k2",79,"GANAB+NFKB2",0,0,0,0
"run02_uniform_k2",80,"ADK+OR51E1",7.62426698850405e-05,7.61409486743636e-05,1.01721210676864e-07,1.01721210676864e-07
"run02_uniform_k2",81,"CHRNA3+DHRS4",2.8544163908073e-06,2.85056538062989e-06,3.85101017741363e-09,3.85101017741151e-09
"run02_uniform_k2",82,"P2RX4+TF",8.43697009289546e-06,8.42569713455088e-06,1.1272958344577e-08,1.1272958344577e-08
"run02_uniform_k2",83,"CYP3A5+GABRA2",7.24072545758014e-05,7.22955581320406e-05,1.11696443760856e-07,1.10610596126839e-07
"run02_uniform_k2",84,"GABRR1+GFAP",0.00113310528298405,0.00113219094054962,9.14342434432669e-07,6.99948191518196e-07
"run02_uniform_k2",85,"ACTR2+HLA-B",1.0152296503585e-05,1.01361441752212e-05,1.61523283637166e-08,1.61463082903879e-08
"run02_uniform_k2",86,"NFKB1+RDH5",0.000223271321633134,0.000222946355605158,3.24966027975826e-07,3.22465594337581e-07
"run02_uniform_k2",87,"DDB1+PTGIS",3.31851065240585e-05,3.31333007895784e-05,5.18057344800482e-08,5.15490383712821e-08
"run02_uniform_k2",88,"DNM1L+SLC6A4",7.3291726900071e-05,7.31747673476946e-05,1.1695955237645e-07,1.16913595804609e-07
"run02_uniform_k2",89,"HK2+INSR",0.000314094638452445,0.000307486225560094,6.60841289235048e-06,6.60507170469076e-06
"run02_uniform_k2",90,"ALOX5+ESR1",0.00104467266147268,0.00104301515846184,1.65750301084344e-06,1.63880600390423e-06
"run02_uniform_k2",91,"HSD3B2+RUNX2",0.000324142811754746,0.000323607754034616,5.35057720130183e-07,5.27742055944419e-07
"run02_uniform_k2",92,"LMNB1+SPP1",0.00014105633035999,0.000140807749298588,2.48581061401687e-07,2.4760813543929e-07
"run02_uniform_k2",93,"KEAP1+QPRT",0.000118965990830722,0.000118662000932024,3.03989898697843e-07,3.01354891485471e-07
"run02_uniform_k2",94,"ACACA+KCNJ6",0.000108833325157764,0.00010865429266449,1.79032493274889e-07,1.76731322576451e-07
"run02_uniform_k2",95,"CEBPA+TOP1",7.94114236029042e-05,7.9282530989544e-05,1.28892613360243e-07,1.28745540783917e-07
"run02_uniform_k2",96,"ADAMTS4+CALR",4.39455686033208e-05,4.38793673526172e-05,6.6201250703557e-08,6.62012507035705e-08
"run02_uniform_k2",97,"CASP3+CYP2C19",0.000481681572927828,0.00048087610095271,8.05471975118266e-07,7.97002469909774e-07
"run02_uniform_k2",98,"AMY1B+MAP2K1",0.00114375287115043,0.00114246836222298,1.28450892744603e-06,1.28450892744754e-06
"run02_uniform_k2",99,"MUC5AC+OLR1",6.34431296941962e-07,6.33425870422144e-07,1.00542651981783e-09,1.00542651981783e-09
"run02_uniform_k2",100,"MAP2K5+SCD",0.000143975354198744,0.000143791042404695,1.84311794049208e-07,1.84311794049289e-07
"run02_uniform_k2",101,"CHRNB2+GRIN1",2.6333850787652e-05,2.62895618614589e-05,4.42889261931256e-08,4.41542694629556e-08
"run02_uniform_k2",102,"ATIC+CALR",0.00124069044721997,0.00123908638960468,1.60405761528981e-06,1.5516103859547e-06
"run02_uniform_k2",103,"HTR1D+POLE",6.85101565667257e-06,6.84091707048307e-06,1.00985861894998e-08,1.00985861894955e-08
"run02_uniform_k2",104,"COX7B+PDE10A",6.53455156829352e-06,6.52492584996001e-06,9.62571833351689e-09,9.62571833351265e-09
"run02_uniform_k2",105,"ALAS1+SYT1",0.000145647213141475,0.00014562278204644,2.4431095035915e-08,1.9308846521736e-08
"run02_uniform_k2",106,"GABRB2+PDE4B",1.76339177115903e-05,1.76110095406745e-05,2.29081709157697e-08,2.29081709157866e-08
"run02_uniform_k2",107,"ALDH1A3+CXADR",1.64919440348577e-06,1.64676675717956e-06,2.42764630620229e-09,2.42764630620526e-09
"run02_uniform_k2",108,"CHRM2+SLCO1A2",2.58416415150897e-05,2.58055410820024e-05,3.61004330873271e-08,3.60844890634651e-08
"run02_uniform_k2",109,"KCNJ2+UCP1",0.00119787632786705,0.00119679281819129,1.08350967575888e-06,1.08350967576343e-06
"run02_uniform_k2",110,"CYP7B1+FABP7",9.0700468302618e-06,9.05743510881685e-06,1.2611721444955e-08,1.25915018411826e-08
"run02_uniform_k2",111,"CASP9+CTSD",0.000133010890388197,0.000133066364187417,-5.54737992208842e-08,-5.54737992204235e-08
"run02_uniform_k2",112,"CFLAR+GABRA1",0.000514060830727914,0.000513152979145115,9.07851582798713e-07,9.0752683434836e-07
"run02_uniform_k2",113,"PDE4B+PRMT3",1.7632122792044e-05,1.76110095406745e-05,2.11132513694423e-08,2.11132513694593e-08
"run02_uniform_k2",114,"NFATC1+PPP2CB",5.52308924293143e-05,5.51292228962996e-05,1.01669533014714e-07,1.01669533014735e-07
"run02_uniform_k2",115,"GABRR3+HDAC5",0,0,0,0
"run02_uniform_k2",116,"EIF4EBP1+KCNJ5",8.97012933325225e-05,8.95444816781943e-05,1.56811654328237e-07,1.56811654328224e-07
"run02_uniform_k2",117,"JAK2+PGRMC1",0.000807596037160185,0.000806899316421639,6.96720738546652e-07,6.8448613266259e-07
"run02_uniform_k2",118,"ADRA1B+NFKB2",0,0,0,0
"run02_uniform_k2",119,"AKR1C3+DHODH",0.00018847344987194,0.000188226050746976,2.47399124964076e-07,2.44919971414525e-07
"run02_uniform_k2",120,"F3+SNAI2",4.37391279073385e-05,4.36581444959172e-05,8.09834114212649e-08,8.09561474524316e-08
"run02_uniform_k2",121,"CALM2+IL17A",0,0,0,0
"run02_uniform_k2",122,"NDUFV2+SLC6A8",0,0,0,0
"run02_uniform_k2",123,"CTSK+JAK2",0.000997805875575186,0.00099654400043625,1.26187513893594e-06,1.09942676473906e-06
"run02_uniform_k2",124,"CALML3+EPHB6",0,0,0,0
"run02_uniform_k2",125,"ADORA2A+PROM1",0.00262007845117851,0.0026164979757255,3.58047545301332e-06,1.86773066568943e-06
"run02_uniform_k2",126,"AASS+IL33",1.96671106778012e-06,1.96337880520314e-06,3.33226257698271e-09,3.33226257698483e-09
"run02_uniform_k2",127,"AIMP2+CYP11B1",0,0,0,0
"run02_uniform_k2",128,"CACNG6+KCND3",0.00107757970347111,0.00107729447119487,2.85232276242553e-07,2.85232276239951e-07
