"gene","D_E"
"GJA1",9.53745200928946e-05
"NFKBIE",4.28509013272738e-07
"FKBP1A",0.000127082165203296
"CDK5",9.21513140006436e-06
"HSP90AA1",0.000194233436522584
"CTNNB1",0.000566589803484452
"FOSL1",8.57182214064611e-06
"GSK3B",0.000229168085114084
"NCF1",1.9073420110427e-05
"BCL2",0.000168948746872344
"MT-ATP6",2.83237903709876e-05
"CYBB",0.00010416661308954
"JUN",0.000122425358268119
"AXIN1",1.02862504942625e-05
"GLB1",3.62067231625129e-05
"EIF4EBP1",4.28577697997312e-07
"EIF4E",6.85751649376343e-06
"AKT1",0.00114247789160837
"IL2",0.000169510112333571
"CHUK",7.71549803901816e-06
"BTK",8.6796302197989e-05
"GRIN2B",7.15850389311212e-05
"FN1",0.000192000450035978
"CD36",4.02967348679395e-05
"EIF2AK2",1.52157570785239e-05
"OPRM1",3.64324847984543e-05
"BAD",0
"IL1B",0.000399683478142787
"GRIN1",3.40734457203729e-05
"HSP90AB1",8.96099915874693e-05
"HDAC2",1.05017018764419e-05
"CDH1",5.20892237364512e-05
"COL1A1",2.97908676791803e-05
"CLDN1",1.79151505037556e-05
"PTK2",1.71454740317545e-05
"CCNB1",3.42911317940953e-06
"APOA1",5.65814467218262e-05
"IKBKB",6.8584556635054e-06
"PLAT",0
"ADA",4.11423746020656e-05
"ACE2",4.28639055607416e-05
"RARA",8.07923496440877e-05
"ACTC1",2.84996779530422e-05
"JAK2",0.000174049390241682
"NFKB1",2.40114136557112e-05
"TUBA1A",1.45710359858997e-05
"PIK3CD",5.14297205156389e-06
"CCNA2",1.17875613968588e-05
"ICAM1",4.05131980466544e-05
"APOE",0.00045329722389531
"NDUFS3",3.02131285505602e-05
"APOB",0.000187543735200135
"GSTM1",1.80003558929442e-05
"COX5B",7.28470160826777e-06
"IGF1R",8.14502709434173e-06
"CYC1",1.71402026163392e-05
"COX5A",0
"MT-CYB",4.02861913897379e-05
"NFKBIA",1.45762708082531e-05
"CAV1",0.000312526566367266
"TXN",0.00020469111745991
"NRF1",0
"ADRB2",5.20800805603461e-05
"IL1A",8.10272645149768e-05
"BMP2",2.35738799170271e-06
"PPARG",0.000306582975380665
"CYBA",1.35003103138853e-05
"FGF2",2.7651734929246e-05
"BAK1",3.21397666769307e-06
"EGFR",0.000777148348005796
"CDH5",5.15640074961743e-05
"NCF2",1.71428728179546e-06
"MAP2K1",4.28655132722611e-07
"CSF2",3.42937115788144e-05
"KDR",1.45751460655097e-05
"MYD88",1.97190616719745e-05
"TLR4",6.32410674020756e-05
"FASLG",0
"CASP8",3.15079620639702e-05
"HDAC1",6.62322999545051e-05
"HBA2",2.99965756778153e-06
"AGT",0.000583000831084868
"MMP2",3.68681422038275e-05
"HBA1",0
"RRM1",4.00721349842481e-05
"LALBA",2.78539691001001e-06
"EGLN1",4.28561259402382e-06
"CALML5",0.00034375602634451
"BCL2L1",4.28701809052079e-07
"LYN",2.9576202592474e-05
"CRBN",8.57066688508823e-07
"ATP5F1E",0
"E2F1",2.14319757430026e-06
"AR",0.000132460397878176
"E2F2",0
"PPARA",0.000233430786943045
"ALB",0.00205892640605554
"EGLN3",0
"FTH1",4.17860569315032e-05
"AXIN2",1.71426487360904e-06
"CTSG",1.86422829611121e-05
"CALM3",0.000418498266488321
"ERBB2",0.000167416884384486
"CD44",0.000209862266051908
"CLDN5",0
"NFATC1",5.57196618677924e-06
"ABCC8",8.74276959030862e-05
"BAX",0
"INSR",2.89317101048736e-05
"INS",0.00181440685446244
"IGF1",5.46648589710985e-05
"IGF2",9.43015825516369e-06
"FGF4",1.30739114935219e-05
"ICAM2",0
"ABCA1",4.50043229882624e-06
"PPP3CA",4.53014489987247e-05
"CRK",1.2857515543363e-06
"ACE",3.83661720622097e-05
"AHSA1",3.42816391807332e-06
"ATG5",8.35841500768097e-06
"CHEK2",2.87581797941971e-05
"ATM",2.25052434016382e-05
"CDK2",4.50106411595819e-05
"CDKN1B",3.00038786416046e-06
"CCND3",1.28573447177871e-06
"CDK4",1.17883547089415e-05
"TF",1.714119420404e-06
"HIF1A",0.000117274454211391
"UGT1A3",1.54272433632308e-05
"SFN",5.52858003686207e-05
"ATG12",8.99982887581086e-06
"PTEN",9.68997981475317e-05
"CDKN2A",0.000148544412664431
"CDKN1A",1.92909032636912e-06
"DLG1",2.27145255136119e-05
"PRKAA1",2.52861329533838e-05
"KEAP1",5.55096737473448e-05
"BRCA1",6.64433683702503e-05
"KRAS",0.000124890286908874
"BECN1",3.85800120750179e-06
"HMGB1",6.00108053738779e-06
"CACNG2",1.07135103629696e-05
"RAF1",1.22157208879425e-05
"PRKAB2",5.57103374443368e-06
"MAP2K7",0
"MAPK8",7.43777231755338e-05
"MAP3K5",2.76464488140338e-05
"ERN1",6.21468292172356e-06
"ITGA5",2.57157309413447e-06
"HCRT",5.35703870141457e-06
"PRKAA2",0
"CASP9",3.6651773470231e-05
"DKK1",4.28591474421758e-07
"FOS",0.000370881203455298
"GP1BA",4.71405263802183e-06
"ABCG5",1.07137674735247e-05
"DNMT1",1.58598727937331e-05
"OAZ1",3.42805447806072e-06
"APAF1",1.71440079943519e-06
"CASP1",4.47114231320045e-05
"STAT1",9.56027371039614e-05
"PKD1",1.15710300320204e-05
"POLE",4.28519296158392e-07
"ATF6",3.94325028519882e-05
"CDC25A",4.28570350874402e-07
"F10",6.2138959249225e-06
"ATF3",9.42954186333722e-06
"FOSL2",0
"F2",4.26464510216995e-05
"ABL1",6.21554471769148e-05
"TAC1",5.01508124960415e-05
"SRC",0.00171969358984159
"DRD2",0.000210077126722608
"BIRC2",4.28601761193192e-07
"TNF",0.000558300741509865
"ATR",1.2856044401266e-06
"RIPK1",7.2860925388607e-06
"TNFRSF1A",2.8933936196629e-05
"BIRC3",6.85767520858249e-06
"FAS",7.50069477861715e-06
"MAP3K7",1.65005242460659e-05
"IDE",1.22144015778369e-05
"COX6C",1.2425683166839e-05
"S100A13",3.64171801325863e-06
"COX6B1",7.06983674703121e-06
"NANOG",0
"GRIN2A",3.25745715548109e-05
"NFKB2",6.42881287671315e-06
"ATF2",2.07862588871288e-05
"NGF",2.74352868033789e-05
"DLG4",0.000212011919810462
"APP",0.000461520547516137
"NDUFV2",1.47842293163336e-05
"MDM2",8.20954461775436e-05
"NR1H3",2.42142663438027e-05
"NR1H4",0.000117787614277276
"CACNA1C",8.80796438891274e-05
"SCN1B",4.7133072990091e-06
"CALR",5.72247856440722e-05
"CCR7",2.35736273179743e-05
"TNFRSF11B",0
"ABCC9",3.36358243722135e-05
"NEDD4L",1.52139344891111e-05
"CASP7",0
"PIK3CA",4.28665790142002e-06
"SELP",2.14308137069796e-06
"CALML3",1.2861757286986e-06
"DNMT3B",2.14295094269623e-06
"GRIA2",0.000123352617855899
"CCL8",0
"CCND1",1.77925628962461e-05
"LY96",0
"MTOR",3.96590062895497e-05
"EGF",0.000195724485453241
"SMAD2",1.77901412347081e-05
"CCL2",0.000135267743528678
"CD40",4.28644935102085e-07
"TBK1",8.57183683478091e-07
"AURKB",3.06441787837342e-05
"POU5F1",2.91482304103363e-05
"CD274",9.43046142787285e-06
"MMP1",0.00112568778632216
"MMP3",4.71502759002984e-06
"MMP9",0.000108692939747357
"FEN1",9.21325764724479e-06
"FOXO1",6.23769823004938e-05
"CD80",0
"HNF4A",0.000121740562546657
"GCLC",4.20027205764173e-05
"IRAK1",4.28597444313006e-07
"SIRT1",0.000300892146500087
"CALCA",5.35681486713013e-06
"PPARGC1A",0.000201622480059616
"FOXO3",4.52266545571955e-05
"ORM1",1.22142340666098e-05
"SERPINE1",5.57271379808544e-06
"PLAU",2.46458583068598e-05
"CFLAR",0
"AMY1A",4.28453016398933e-07
"NRP1",6.21448049331619e-06
"ACTB",0.0012487212562986
"ESR1",0.000581346437482977
"NPPA",6.87940324639591e-05
"ITGB3",2.35744811316607e-05
"GOT2",0.000283030671680229
"BDNF",0.000279100252808417
"GRIA1",8.78669575971047e-05
"CASP3",0.0001843857672712
"CREB1",0.000129696002852286
"SHH",1.11445652865028e-05
"CS",0.000115296591699177
"TLR2",5.93727952218348e-05
"NR1I2",1.90731135452094e-05
"NPPB",4.28569708177395e-06
"FGF1",3.85746462483461e-06
"PTK2B",4.84330888517182e-05
"EPOR",4.28554280273996e-06
"NLRP3",2.97902228266755e-05
"ESRRA",2.42155791740917e-05
"NCOA2",9.85790177510104e-06
"PRKAB1",0
"TUBA1B",2.11279659617647e-05
"COL1A2",1.15719450106688e-05
"NCF4",1.92853847824637e-06
"AXL",1.71440373863962e-06
"GCG",0.000128511745256854
"BMP4",2.55032421910828e-05
"IRF1",4.7147466816222e-06
"F3",2.57165024764028e-06
"COX6A2",8.99850226332433e-06
"HDAC6",2.03595609902241e-05
"DHFR",6.60042893352308e-05
"C3",4.07174901805307e-05
"KLF4",4.28639423066812e-06
"CLDN4",8.57070544868499e-07
"KDM1A",3.87869382922901e-05
"CXCL13",0
"GRIN2C",8.99967845413574e-06
"PIK3R1",1.47890268160644e-05
"CANX",0.000161811347513585
"CTTN",5.8719548664099e-05
"ARRB2",0.000265128256924929
"PTPN11",2.57188504448891e-06
"DLG3",4.28518286188506e-07
"PKIA",0
"MAPK1",6.32346825087948e-05
"CACNA1B",3.06424649197945e-05
"GLDC",1.04976251377176e-05
"AMY2B",1.7570488298424e-05
"STAT3",0.000175384641248555
"ATIC",3.41972393039791e-05
"AKR1C1",8.99843478663342e-06
"CD40LG",2.14311811363999e-06
"CSK",9.00010465865186e-06
"YWHAE",5.27209089691283e-05
"ERBB3",4.28613151082224e-07
"KCNMA1",5.09996641302468e-05
"AURKA",2.29303465671959e-05
"CDK1",6.2799376743583e-05
"HSF1",2.35691824257422e-06
"DUSP1",8.57178907742728e-07
"GGCX",2.1423229089601e-06
"ACLY",9.27946278737046e-05
"CXCL1",5.14379434179979e-06
"UGT1A1",4.9502686584324e-05
"ACACA",4.84337842884264e-05
"GABRA1",2.48558553234135e-05
"NOX1",2.85027867602539e-05
"CYCS",0.00062382304315145
"ATG7",1.20014897280196e-05
"GRIK1",3.87785618569669e-05
"KCNE2",2.48494924072196e-05
"IFNG",0.000121124695751873
"GRIN2D",0
"AMY1B",1.02852057555225e-05
"HSPA1B",9.1516909711431e-05
"NR1H2",4.28523886930599e-07
"AMY2A",0
"SMAD7",0
"CYP51A1",2.69981039624501e-05
"CACNA1D",2.73431282318271e-05
"HDAC4",5.44348967649322e-05
"CXCL8",0.000152199679805509
"ADORA2A",4.37172484959447e-05
"RELA",2.33638028754868e-05
"BIRC5",9.21481345961261e-06
"GAMT",3.85559478077724e-06
"CYB5A",4.97074715334334e-05
"CXCL10",2.46476859777633e-05
"HGF",5.57251672506087e-06
"PNP",2.16395011672921e-05
"CYP11A1",5.3571649747397e-06
"AGXT",5.9137056643288e-05
"SHMT1",0.000110348021806761
"DLG2",7.92776155122965e-06
"IL10",2.10089690282356e-05
"GP6",2.78560401567596e-06
"ATF4",1.30725918449093e-05
"CACNB1",2.57095933475782e-06
"IL18",8.78765058154318e-06
"CASP6",0
"IL6",0.000438723418633491
"MYC",0.000277435664296832
"SNCA",0.000194615311542856
"MYH6",1.11431299899545e-05
"POLA1",5.35614347685343e-06
"PRKDC",4.75736434669694e-05
"AKR1C2",8.35520612119112e-06
"PARK7",0.000125159278041354
"HSPA4",7.52430543610183e-05
"CHEK1",8.5721160558716e-07
"NOX4",2.03601980525159e-05
"COMT",0.000145520589089676
"SCN1A",1.9712702785446e-05
"SLC6A3",3.24894408255672e-05
"SCARB1",0.000110902994734152
"BID",0
"HSPA5",0.000180909914280658
"CSF3",5.57229100262013e-06
"BGLAP",4.75758252550529e-05
"SCN2A",6.80563592344585e-05
"GSTM2",0
"RARB",3.49281842243476e-05
"ADK",4.37044359836714e-05
"PARP1",0.00119614737824547
"FDPS",3.42786279139418e-06
"MTTP",0
"APRT",0.000140985144193695
"CD14",0
"KIT",2.05764915643947e-05
"P2RX4",2.57106509626848e-06
"DDC",4.30679425269531e-05
"ADH1B",6.64204766733789e-05
"ESR2",7.60873949696705e-05
"CLEC4E",0
"IGFBP3",3.00030234501314e-06
"CACNA1A",3.57867515896615e-05
"TRAF2",2.78586846358397e-06
"PLG",8.89853153691611e-05
"CYP17A1",1.65006055714567e-05
"MAPT",0.00024965254829068
"DDB1",7.92805882310343e-06
"GRIN3A",1.24273897609273e-05
"FOXP3",1.88607652015227e-05
"APOA4",5.99977792292705e-06
"TP73",0
"PTPN6",8.57129498266218e-07
"EGR1",7.6987963381403e-05
"CDT1",4.28512593741992e-07
"AHSP",0
"PPARD",6.49401391202842e-05
"AHR",8.5700976348857e-07
"TUBA4A",2.57133945613663e-06
"SOD1",0.000303927758309452
"GDNF",4.43617653551609e-05
"CHRNA4",6.69799052156472e-05
"CYP3A4",0.000202756832790252
"TOP1",1.00710536414805e-05
"PRKACA",0.00148922437799026
"LACTB",2.57085688637471e-06
"MAPK3",0.000279576563282369
"ELK1",0
"CEBPB",7.5445550986486e-05
"MAPK14",2.4777886395988e-05
"SMAD3",2.2077726716585e-05
"SOCS3",4.71511752864195e-06
"SCN4B",0
"KCNJ6",5.80648871466583e-05
"TUBA1C",0
"CXCL2",0
"ACACB",1.54284301485674e-05
"MAPK8IP1",2.57116480650854e-06
"PPIF",4.26450527573063e-05
"CCL3",0
"RXRA",4.69340855130396e-05
"FABP4",2.27164775307154e-05
"RRM2B",0
"ACTR1A",6.42787345350726e-06
"RHOA",0.000152747436809153
"CYP11B1",9.85617188353771e-06
"FUS",3.7415955537301e-05
"SNAI1",9.64486658194819e-06
"PROC",2.14255470620817e-06
"CALM1",9.49428996669388e-05
"ABCA7",1.114036313421e-05
"ALOX5",9.42873966447433e-06
"ITGAL",0
"CRH",2.57165961677908e-05
"CYP2E1",6.15085839639207e-05
"ARF1",0.000107865771763471
"YAP1",1.22153700897742e-05
"CYP1A1",4.11483175254412e-05
"GLUD1",6.05534093084392e-05
"ALAD",1.82103923322963e-05
"CEBPA",5.61535696400606e-05
"TP53",0.00294731155763073
"HTR2A",5.55034523141984e-05
"AKR1B1",5.65748747881623e-05
"KCNJ11",4.49985947577058e-05
"TRPA1",3.64284486145117e-05
"GPBAR1",2.63567828981959e-05
"CACNA2D2",4.28527835105719e-07
"GOT1",9.85639785522352e-06
"CACNA2D4",1.02831499629863e-05
"CNR1",1.62868285379369e-05
"EIF4G1",6.42817508611504e-06
"PRDX1",3.34313815749665e-05
"GABRB3",2.72101474384501e-05
"NR4A1",5.57181215110614e-06
"GCLM",6.85708594405643e-06
"NUF2",0
"GABRB2",1.75684253744812e-05
"NTRK1",2.82901412894665e-05
"PRKCI",1.28555678680087e-06
"ADH1A",4.49911425282057e-06
"ADH1C",9.21263191566712e-06
"HMOX1",0.000116606717097123
"HPRT1",0.000212080150531202
"HAMP",1.43567037469428e-05
"HNF1A",2.70022292273575e-05
"PCNA",3.31254003791415e-05
"CYP2C19",9.85727649382984e-06
"PENK",0
"MMP10",1.28562923229492e-06
"DDIT3",2.10017698503151e-05
"ACTA2",1.13570145237052e-05
"FABP5",1.25565489329516e-05
"PTGIS",1.24274776328592e-05
"CYP19A1",0.000105015150690835
"IL4",2.05772589899622e-05
"GLI1",1.71446399410691e-06
"NR1I3",8.57114988428442e-07
"ALDH1A3",3.64277226638787e-06
"NFATC3",4.28542434649515e-07
"NR3C1",0.000109525377031128
"DPP4",3.42910215563874e-05
"KCNA1",4.28513511924189e-05
"DBH",2.05703542114355e-05
"LRAT",1.24250762545408e-05
"CFTR",0.000242388632608503
"TUBB",4.28595699346612e-05
"AKT2",2.35751682686747e-06
"FGF23",3.10723824963333e-05
"NPY",9.64428987118016e-05
"EIF2S1",5.78584107857605e-06
"PPP2CA",8.63692888484202e-05
"OAT",4.00703833066673e-05
"CAMK4",1.19997126920568e-05
"TNFSF11",4.05068508650963e-05
"CACNG1",0
"CYP7A1",4.35031253905871e-05
"PPIA",3.31315196607784e-05
"RB1",1.28579591529565e-06
"CXCR4",9.96742175036758e-05
"CYP21A2",4.28471925162377e-07
"TG",3.64280348964519e-05
"CD86",1.28595023907163e-06
"HMGCR",0.000146514669767339
"TGFB1",3.88028285494002e-05
"NFATC4",0
"IMPDH1",1.4353585013116e-05
"OPRD1",9.85663861918784e-06
"CCL22",0
"PRKCA",5.42271522651072e-05
"CYP11B2",1.41418488293077e-05
"ELOVL6",2.99967620642771e-06
"GLA",1.84267956119255e-05
"IL17A",0
"PLD1",1.32843998889021e-05
"DHCR7",5.20656187925628e-05
"AKR1C3",4.60685091477897e-05
"IDO1",0.000131159025303029
"ATF7",2.14243535878733e-06
"ALDH1A2",4.69259998846505e-05
"FASN",0.000255478732853476
"PRKCD",5.1434559145136e-06
"NOD2",4.07154484329819e-05
"CBR1",9.21409274456941e-06
"ACSS2",3.57856703198101e-05
"ARF6",0
"CACNA1E",6.42798639061137e-06
"DMP1",0
"AGTR1",4.39355596961732e-05
"MAPK9",2.50741756256945e-05
"CALM2",3.81454177901253e-05
"ALDH2",8.8074717530251e-05
"CAMP",2.18569848636774e-05
"CYP1A2",3.79336865153901e-05
"TIGAR",4.28527743179252e-07
"CX3CR1",0
"MITF",2.57145186155494e-06
"ACSL1",3.55712629100946e-05
"CD163",3.10749728952286e-05
"DUOX2",1.13573382033438e-05
"PRDX2",3.75023808646402e-05
"CYP27B1",6.00027292696481e-06
"PRDX5",4.49939669533439e-06
"CES1",1.07130374932263e-05
"CACNA1G",3.19280532817823e-05
"GSK3A",3.0001737528762e-06
"AADAT",1.38380986157705e-05
"RUNX2",1.15737828441098e-05
"CHRNA3",1.28540531119103e-06
"S100A8",4.30725016955513e-05
"CYP2C9",5.56338081605379e-05
"LBP",0
"CYP2D6",7.21328416918299e-05
"CACNA1H",1.17847528183779e-05
"ABCC2",2.03566598239169e-05
"MGLL",5.63567958600242e-05
"ADH4",1.28546369372318e-05
"SELE",1.71449890007391e-06
"SLC18A2",6.42762142588627e-06
"CASQ1",1.28539649901782e-06
"SMAD1",0
"JUNB",0
"PTPN1",1.56447454627839e-05
"LEF1",2.14297390443985e-06
"NFE2L2",6.06594726374476e-05
