"network_variant","anchor","pool_rank","gene","degree","betweenness_centrality","match_distance"
"score400_LCC","ARG1",1,"TH",117,0.00189131868582999,0.0302038429553973
"score400_LCC","ARG1",2,"ABCG2",115,0.00200148692787367,0.0334080296990218
"score400_LCC","ARG1",3,"BTK",117,0.0016962143031585,0.0370887809270528
"score400_LCC","ARG1",4,"ADRB2",112,0.00164588239839564,0.056551851239741
"score400_LCC","ARG1",5,"NPY",109,0.0020106562549165,0.0579696833603684
"score400_LCC","ARG1",6,"TAC1",119,0.00167317451446106,0.0583835851627842
"score400_LCC","ARG1",7,"IDO1",109,0.00204275840296137,0.0616022169564187
"score400_LCC","ARG1",8,"CYP1A1",111,0.00208526563497547,0.0696873095134126
"score400_LCC","ARG1",9,"GRIN2A",106,0.00198404296378369,0.0763703302588588
"score400_LCC","ARG1",10,"CYP1A2",108,0.00206732971005142,0.0775488535165568
"score400_LCC","ARG1",11,"AGTR1",122,0.00206466125042114,0.0856732190729191
"score400_LCC","ARG1",12,"MAP1LC3B",106,0.00163751035455359,0.0928022660937264
"score400_LCC","ARG1",13,"HSPA1B",127,0.00179983631968483,0.106197296800258
"score400_LCC","ARG1",14,"TJP1",127,0.00169699437437091,0.10888984238398
"score400_LCC","ARG1",15,"GRIA1",103,0.00205156970327231,0.109658266773201
"score400_LCC","ARG1",16,"CALM1",119,0.00228232245102713,0.110603642570866
"score400_LCC","ARG1",17,"PPP2CA",113,0.00230872031881817,0.110652432622094
"score400_LCC","ARG1",18,"MMP1",127,0.00205610794480101,0.116688092802297
"score400_LCC","ARG1",19,"PROM1",109,0.00150299467457698,0.118788133156255
"score400_LCC","ARG1",20,"PRL",104,0.0022268945197175,0.122836585795888
"score400_LCC","ARG1",21,"PLG",128,0.00207335841381341,0.128342562522577
"score400_LCC","ARG1",22,"PPARD",127,0.00158983285414154,0.128638899174731
"score400_LCC","ARG1",23,"CYP19A1",104,0.00228106839443191,0.134321999822411
"score400_LCC","ARG1",24,"ITPR1",103,0.00224634115825556,0.135282215119331
"score400_LCC","ARG1",25,"PARK7",99,0.00187670252505468,0.138959262194664
"score400_LCC","ARG1",26,"ABCB1",122,0.00236820211719163,0.14295286341799
"score400_LCC","ARG1",27,"CACNA1C",107,0.00239891100384114,0.145796406513778
"score400_LCC","ARG1",28,"CYP2E1",117,0.00247308740590061,0.150166869653614
"score400_LCC","ARG1",29,"APOA1",130,0.00218312747757032,0.150871374920014
"score400_LCC","ARG1",30,"NR1H4",111,0.00247627107719093,0.15293313167016
"score400_LCC","ARG1",31,"CALR",131,0.00154836398060459,0.16445703939469
"score400_LCC","ARG1",32,"GJA1",130,0.00228602250979424,0.166387478938243
"score400_LCC","ARG1",33,"GSTP1",102,0.00237720344105148,0.169152649748699
"score400_LCC","ARG1",34,"ACLY",96,0.00200694363553229,0.172322307248825
"score400_LCC","ARG1",35,"YWHAE",103,0.00133454777485208,0.182901111971895
"score400_LCC","ARG1",36,"CS",99,0.00235239067571912,0.183992192931075
"score400_LCC","ARG1",37,"NPPA",99,0.00144426363358417,0.185773759250968
"score400_LCC","ARG1",38,"NTRK2",126,0.00250694838306165,0.193668752534984
"score400_LCC","ARG1",39,"MAOB",114,0.00306841647347764,0.20448306802667
"score400_LCC","ARG1",40,"CANX",105,0.00269752860018227,0.204932921259095
"score400_LCC","ARG1",41,"ACACA",96,0.00140596206750117,0.214132571859601
"score400_LCC","ARG1",42,"COMT",105,0.00291489976948394,0.21486566056076
"score400_LCC","ARG1",43,"CYP2C9",92,0.0016453854663759,0.217930940119429
"score400_LCC","ARG1",44,"MAOA",117,0.00320074189424532,0.219425887038982
"score400_LCC","ARG1",45,"GRM5",99,0.0025496004401309,0.221009965414909
"score400_LCC","ARG1",46,"SLC6A3",93,0.0014695122869006,0.230945993587885
"score400_LCC","ARG1",47,"SLC2A4",144,0.0016464471306742,0.234826416604671
"score400_LCC","ARG1",48,"CEBPA",145,0.0016924194305103,0.238434929448855
"score400_LCC","ARG1",49,"YWHAZ",141,0.00232797137564538,0.238932452727832
"score400_LCC","ARG1",50,"CTSD",90,0.00207635392461567,0.240139718004786
"score400_LCC","LCN2",1,"HDAC6",110,0.000799748533672455,0.0486463030221563
"score400_LCC","LCN2",2,"HDAC3",102,0.000814359312466247,0.0555324232009575
"score400_LCC","LCN2",3,"FOXM1",109,0.000907488070763017,0.0748877683771759
"score400_LCC","LCN2",4,"C3",99,0.000829720736376744,0.0785796426015647
"score400_LCC","LCN2",5,"NOS2",115,0.000907386681387624,0.0995554303748031
"score400_LCC","LCN2",6,"NTRK1",119,0.000857936829867318,0.104475407705403
"score400_LCC","LCN2",7,"RAC1",96,0.00084051983557144,0.106618391066497
"score400_LCC","LCN2",8,"XBP1",100,0.000761502622960742,0.108744040875491
"score400_LCC","LCN2",9,"NOX4",109,0.000714274781978097,0.125095474067296
"score400_LCC","LCN2",10,"SOX9",122,0.000870047559849358,0.132271460412551
"score400_LCC","LCN2",11,"NCF1",94,0.000875701607943226,0.132597551747291
"score400_LCC","LCN2",12,"BMP4",107,0.000710428758028685,0.137218900912634
"score400_LCC","LCN2",13,"AFP",93,0.000892886271950591,0.146812203012073
"score400_LCC","LCN2",14,"MAPK9",97,0.000946156544819752,0.148480783475246
"score400_LCC","LCN2",15,"HDAC4",100,0.00100485327125265,0.154877489930498
"score400_LCC","LCN2",16,"CD163",112,0.000706355725338975,0.157208547246228
"score400_LCC","LCN2",17,"BGLAP",91,0.00086659218891574,0.161204112282045
"score400_LCC","LCN2",18,"VIM",124,0.00091070077219293,0.16457820716266
"score400_LCC","LCN2",19,"CDH5",110,0.00103649415260604,0.169011666262954
"score400_LCC","LCN2",20,"MAP3K5",107,0.000664206881518292,0.174886834496494
"score400_LCC","LCN2",21,"DPP4",115,0.00103280843743092,0.176291110493237
"score400_LCC","LCN2",22,"PRKCB",90,0.000903019219604659,0.181642058132148
"score400_LCC","LCN2",23,"DDIT3",89,0.000813916233161968,0.18359127012444
"score400_LCC","LCN2",24,"SIRT3",92,0.000958483607592067,0.189699897958744
"score400_LCC","LCN2",25,"PTK2",127,0.000732474179734112,0.198430477550135
"score400_LCC","LCN2",26,"DNMT1",131,0.000865137390881183,0.200387387763161
"score400_LCC","LCN2",27,"PRKDC",88,0.000786062423835123,0.202383752404777
"score400_LCC","LCN2",28,"CCNA2",127,0.000952192225472213,0.204325953614195
"score400_LCC","LCN2",29,"INSR",96,0.000662191365861452,0.20705617143058
"score400_LCC","LCN2",30,"NLRP3",124,0.00070706665600688,0.207114190417964
"score400_LCC","LCN2",31,"TOP2A",87,0.000791355085007756,0.210722939867638
"score400_LCC","LCN2",32,"LYN",134,0.000859589528674497,0.221457253543644
"score400_LCC","LCN2",33,"AURKA",96,0.000643014247479534,0.225787743470833
"score400_LCC","LCN2",34,"NOS1",99,0.00115391673519435,0.233443955517315
"score400_LCC","LCN2",35,"ACE2",120,0.00110718130616342,0.233467778699016
"score400_LCC","LCN2",36,"CCNB1",134,0.000772452485498248,0.233672808952307
"score400_LCC","LCN2",37,"FABP4",86,0.000741073808748591,0.237472236979393
"score400_LCC","LCN2",38,"THBS1",136,0.000899545645385678,0.24309015661853
"score400_LCC","LCN2",39,"F2",93,0.00110376171531436,0.244255406760655
"score400_LCC","LCN2",40,"ATF6",91,0.00106068652180419,0.244394025494695
"score400_LCC","LCN2",41,"RXRA",102,0.00120006581964629,0.246667834482692
"score400_LCC","LCN2",42,"VTN",97,0.000614430207535897,0.250634057348391
"score400_LCC","LCN2",43,"CRH",83,0.000798871997429866,0.252812713353027
"score400_LCC","LCN2",44,"HDAC2",132,0.0010231590851518,0.253967483833994
"score400_LCC","LCN2",45,"PTK2B",83,0.000898077157441537,0.254866054038247
"score400_LCC","LCN2",46,"CYP7A1",92,0.00112397115518084,0.256931978714774
"score400_LCC","LCN2",47,"SYP",95,0.00119203325723801,0.26640756528786
