"gene","D_E"
"GJA1",0.000135565475534061
"NFKBIE",0
"FKBP1A",0.000166807956771153
"CDK5",0.00033472420672076
"HSP90AA1",0.000776416273519653
"CTNNB1",0.00289590614508051
"FOSL1",5.43718991969921e-05
"GSK3B",0.000314448169983605
"NCF1",8.23737765940358e-05
"BCL2",0.000422618651306439
"MT-ATP6",2.65909111278884e-05
"CYBB",3.96482767985873e-05
"JUN",0.00119505389332009
"AXIN1",8.55906258223627e-06
"GLB1",8.74774051118354e-05
"EIF4EBP1",1.62163923311809e-06
"EIF4E",1.08155218404571e-05
"AKT1",0.00315981419662947
"IL2",8.34200835835297e-05
"CHUK",2.92172284452885e-05
"BTK",0.000116610039162079
"GRIN2B",0.000264160748807307
"FN1",0.00268952180345494
"CD36",0.000300128353680651
"EIF2AK2",0.000108060324094494
"OPRM1",6.69989464571197e-05
"BAD",8.66953703504425e-06
"IL1B",0.00062214955341322
"GRIN1",1.70673879342775e-05
"HSP90AB1",6.05072795691886e-05
"HDAC2",6.60781507419994e-05
"CDH1",0.000392206821704377
"COL1A1",0.000199946439163656
"CLDN1",1.05567802410889e-05
"PTK2",9.73630805092274e-05
"CCNB1",1.04329977708151e-05
"APOA1",0.00163945706941215
"IKBKB",2.20807486922547e-05
"PLAT",1.57360424986042e-05
"ADA",8.1400198089776e-05
"ACE2",7.99488711926699e-05
"RARA",0.000184978605483055
"ACTC1",2.40108885202206e-05
"JAK2",0.00104419197889982
"NFKB1",0.000236754538499362
"TUBA1A",1.48803297033151e-05
"PIK3CD",4.59073044023484e-07
"CCNA2",3.66813101142505e-05
"ICAM1",0.000202952160121561
"APOE",0.000641634954788417
"NDUFS3",5.31536225808482e-05
"APOB",0.000269350717131966
"GSTM1",0.000161582785759951
"COX5B",1.45710872077043e-05
"IGF1R",5.10446428896305e-05
"CYC1",9.63536238518525e-06
"COX5A",5.47292001717992e-08
"MT-CYB",0.00031852428292467
"NFKBIA",3.32024397260433e-05
"CAV1",0.00198669203537938
"TXN",0.00021310029342092
"NRF1",1.25878952750291e-05
"ADRB2",0.000141044029096093
"IL1A",0.000467868611293998
"BMP2",1.88530384338526e-05
"PPARG",0.000962263801031926
"CYBA",4.3811963103213e-05
"FGF2",0.000143233483765326
"BAK1",0
"EGFR",0.00387810875333239
"CDH5",1.59818871788842e-05
"NCF2",3.96437233948221e-05
"MAP2K1",9.62564293494061e-07
"CSF2",2.7491070112573e-06
"KDR",6.98518223168909e-05
"MYD88",2.01866895709335e-05
