"network_variant","anchor","pool_rank","gene","degree","betweenness_centrality","match_distance"
"score700_weighted_LCC","ARG1",1,"HPRT1",20,0.00514205682272909,0.0491633768771952
"score700_weighted_LCC","ARG1",2,"DPP4",22,0.00538081899426437,0.0515315932781781
"score700_weighted_LCC","ARG1",3,"NQO1",22,0.00556489262371615,0.0648042779437538
"score700_weighted_LCC","ARG1",4,"GABRG2",20,0.0042110177404295,0.0663584524920153
"score700_weighted_LCC","ARG1",5,"SLC6A3",23,0.0043297318927571,0.0967505820862199
"score700_weighted_LCC","ARG1",6,"GABBR1",22,0.0062625050020008,0.101862415914341
"score700_weighted_LCC","ARG1",7,"GCK",19,0.00442710417500334,0.103578636608904
"score700_weighted_LCC","ARG1",8,"KCNH2",19,0.00548085901027077,0.10488067464984
"score700_weighted_LCC","ARG1",9,"SCN1A",19,0.00420568227290916,0.110299886887845
"score700_weighted_LCC","ARG1",10,"TRPV1",22,0.00666800053354675,0.117275944652273
"score700_weighted_LCC","ARG1",11,"PTH",19,0.00400293450713619,0.121935316385422
"score700_weighted_LCC","ARG1",12,"DRD2",23,0.00378017873816193,0.127210115788594
"score700_weighted_LCC","ARG1",13,"TFRC",19,0.00395224756569294,0.128861638522835
"score700_weighted_LCC","ARG1",14,"GABRA1",21,0.0071922102174203,0.13044980338066
"score700_weighted_LCC","ARG1",15,"SCD",20,0.00333066559957316,0.131204269787088
"score700_weighted_LCC","ARG1",16,"SCN1B",24,0.0042937174869948,0.13807176380971
"score700_weighted_LCC","ARG1",17,"MT-CYB",24,0.00424969987995198,0.139693132796908
"score700_weighted_LCC","ARG1",18,"ALDH2",23,0.00340136054421769,0.141855765527832
"score700_weighted_LCC","ARG1",19,"AGXT2",19,0.0035187408296652,0.142353405014239
"score700_weighted_LCC","ARG1",20,"MECP2",22,0.00763638788848873,0.149151394667343
"score700_weighted_LCC","ARG1",21,"SDHA",24,0.00621315192743764,0.159477836906487
"score700_weighted_LCC","ARG1",22,"PCNA",24,0.00340136054421769,0.172119556536403
"score700_weighted_LCC","ARG1",23,"GATM",21,0.00835400826997466,0.175823648034803
"score700_weighted_LCC","ARG1",24,"CFTR",25,0.00617980525543551,0.192350510400363
"score700_weighted_LCC","ARG1",25,"PLA2G4A",21,0.00285714285714286,0.201346435652759
"score700_weighted_LCC","ARG1",26,"ADCY1",24,0.00310657596371882,0.208271907307339
"score700_weighted_LCC","ARG1",27,"XDH",18,0.00325596905428838,0.212206448883871
"score700_weighted_LCC","ARG1",28,"SREBF2",26,0.00524876617313592,0.213467656463587
"score700_weighted_LCC","ARG1",29,"TYMS",21,0.00255302120848339,0.241048549725134
"score700_weighted_LCC","ARG1",30,"HK2",18,0.00294651193810858,0.241489500653891
"score700_weighted_LCC","ARG1",31,"NR1H4",22,0.00256369214352408,0.242664566194746
"score700_weighted_LCC","ARG1",32,"KCNQ2",17,0.00317593704148326,0.25899634500678
"score700_weighted_LCC","ARG1",33,"CYP11B2",22,0.00241163131919434,0.262178762150624
"score700_weighted_LCC","ARG1",34,"ABCG2",16,0.00469521141790049,0.26890757642475
"score700_weighted_LCC","ARG1",35,"CAMP",17,0.00301854074963319,0.269406616435697
"score700_weighted_LCC","ARG1",36,"GABRB3",16,0.00578097905828998,0.275525243437611
"score700_weighted_LCC","ARG1",37,"STAT4",23,0.00239962651727358,0.278853021056082
"score700_weighted_LCC","ARG1",38,"GAD1",27,0.00734160330798986,0.286915269248573
"score700_weighted_LCC","ARG1",39,"GSR",27,0.00320661597972522,0.292577445410239
"score700_weighted_LCC","ARG1",40,"MGLL",16,0.00334400426837402,0.293039808995323
"score700_weighted_LCC","ARG1",41,"KCNJ11",16,0.0070281445911698,0.294773930123458
"score700_weighted_LCC","ARG1",42,"TAC1",28,0.00400560224089636,0.295491198176644
"score700_weighted_LCC","ARG1",43,"GLUD1",21,0.00226490596238495,0.297765855542812
"score700_weighted_LCC","ARG1",44,"ACACA",24,0.00239162331599306,0.297934505479289
"score700_weighted_LCC","ARG1",45,"PRKAG2",23,0.002296918767507,0.305812991827134
"score700_weighted_LCC","ARG1",46,"CS",24,0.00233026543950914,0.31325071610885
"score700_weighted_LCC","ARG1",47,"RARA",24,0.00229958650126717,0.318394460457017
"score700_weighted_LCC","ARG1",48,"SCN2A",22,0.0021608643457383,0.320969331583765
"score700_weighted_LCC","ARG1",49,"IDO1",29,0.00561424569827931,0.326844206070007
"score700_weighted_LCC","ARG1",50,"TRPV4",21,0.00213018540749633,0.328960373742535
"score700_weighted_LCC","LCN2",1,"PTGS1",22,0.00152861144457783,0.0446609828648977
"score700_weighted_LCC","LCN2",2,"BGLAP",24,0.00150993730825664,0.0468991080631685
"score700_weighted_LCC","LCN2",3,"KEAP1",24,0.00140056022408964,0.0708682908703384
"score700_weighted_LCC","LCN2",4,"ALDH3A1",22,0.00138321995464853,0.0812077758883822
"score700_weighted_LCC","LCN2",5,"PPP3CA",22,0.00137588368680806,0.0860169521637548
"score700_weighted_LCC","LCN2",6,"ITGA5",23,0.00168867547018808,0.0864938913719595
"score700_weighted_LCC","LCN2",7,"DLG1",22,0.00135520875016673,0.0984424891230058
"score700_weighted_LCC","LCN2",8,"NPPA",21,0.00143524076297186,0.0988881489123973
"score700_weighted_LCC","LCN2",9,"EIF2AK2",21,0.00142456982793117,0.103962776437866
"score700_weighted_LCC","LCN2",10,"RYR2",24,0.00129785247432306,0.113203977441315
"score700_weighted_LCC","LCN2",11,"PRKCZ",22,0.00178738161931439,0.140454634440759
"score700_weighted_LCC","LCN2",12,"CYP17A1",26,0.00167266906762705,0.140916680172082
"score700_weighted_LCC","LCN2",13,"ACE2",24,0.00121115112711751,0.1439533492019
"score700_weighted_LCC","LCN2",14,"BTK",24,0.00120181405895692,0.150741656712799
"score700_weighted_LCC","LCN2",15,"AURKB",25,0.00124583166599973,0.154785312305341
"score700_weighted_LCC","LCN2",16,"NCOA2",24,0.00119514472455649,0.156191582723627
"score700_weighted_LCC","LCN2",17,"NOS2",22,0.00184473789515806,0.156693278428627
"score700_weighted_LCC","LCN2",18,"SLC6A4",22,0.00118313992263572,0.164871345756989
"score700_weighted_LCC","LCN2",19,"AGTR1",22,0.00117380285447512,0.170341324216626
"score700_weighted_LCC","LCN2",20,"NR1I2",20,0.00172468987595038,0.17245521769503
"score700_weighted_LCC","LCN2",21,"PROM1",20,0.0017593704148326,0.184900246288388
"score700_weighted_LCC","LCN2",22,"AKR1D1",19,0.00165799653194611,0.200214154343261
"score700_weighted_LCC","LCN2",23,"COL1A2",21,0.00192743764172336,0.200304343026495
"score700_weighted_LCC","LCN2",24,"GCLC",20,0.00183940242763772,0.202642848117275
"score700_weighted_LCC","LCN2",25,"XBP1",22,0.00198212618380686,0.2033934153508
"score700_weighted_LCC","LCN2",26,"ACLY",20,0.00184740562891823,0.206806808074747
"score700_weighted_LCC","LCN2",27,"CTSK",20,0.00186741363211951,0.213183221208337
"score700_weighted_LCC","LCN2",28,"PRKAA1",20,0.0018780845671602,0.215341428849136
