"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CALR+NOS2",9.68291897011087e-05,1.7188449641381e-07,1.69627849766485e-07,1
"NTRK1+PARK7",0.00015371620519411,2.70326636964136e-07,2.66785863289876e-07,2
"CYP7A1+MAOB",8.84462872587921e-05,1.52223591953771e-07,1.5027496136355e-07,3
"ABCB1+CD163",9.33892157251037e-05,1.62405575432345e-07,1.60474148747092e-07,4
"MAPK9+NR1H4",0.000143104808454142,2.45971978451998e-07,2.43018551171481e-07,5
"HSPA1B+THBS1",0.000124312539851901,2.21603401739934e-07,2.18622054681816e-07,6
"PARK7+SREBF2",0.000133739879670802,2.23845278424228e-07,2.22799221960557e-07,7
"CYP2E1+NOS1",9.44622291059183e-05,1.65174864230622e-07,1.63157967802974e-07,8
"MAP1LC3B+SOX9",0.000102750003144192,1.80700733598549e-07,1.78532548411603e-07,9
"MAOB+MAP3K5",7.25645252164231e-05,1.26427859847844e-07,1.25189495547851e-07,10
"CYP1A2+F2",8.0287482427388e-05,-2.9103737264613e-07,-2.92655109701556e-07,11
"GRM5+MAP3K5",0.000125499432357179,2.1702121832945e-07,2.143218560402e-07,12
"ADRB2+NOS1",8.50182694805968e-05,1.49409477234741e-07,1.4770174605605e-07,13
"PLG+SIRT3",0.000121337979214986,2.09324498623431e-07,2.06463958929426e-07,14
"INSR+PPP2CA",0.000115067871583108,-2.3062855891709e-07,-2.33127370186104e-07,15
"GDNF+YWHAE",9.76771221161687e-05,5.96786584483588e-07,5.9444779187956e-07,16
"CRH+CYP19A1",0.000131381660208651,6.52613982299322e-07,6.49913350025955e-07,17
"GJA1+PTK2B",0.000144482877318053,6.79887656063194e-07,6.75268373440119e-07,18
"CD163+MAOB",7.59983249472018e-05,1.31857082918962e-07,1.30465145131708e-07,19
"GSTP1+HDAC6",0.000157572595457567,2.71044734545534e-07,2.68256598934258e-07,20
"LYN+MAOA",0.000100048383914642,1.76837628984572e-07,1.747584981171e-07,21
"ADRB2+CYP7A1",9.57458282309087e-05,1.64887926201729e-07,1.62622279975544e-07,22
