"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"COMT+CYP7A1+VIM",0.000218703497286477,7.58260027322599e-07,7.46460525946624e-07,1
"CCNA2+NPPA+TFAM",0.000138922239543038,4.82599864959354e-07,4.77126263387362e-07,2
"BGLAP+PARK7+TAC1",0.000224510846991377,1.6395482620446e-06,1.62493119892915e-06,3
"ACLY+SREBF2+SYP",0.000141277063802958,-3.76103158061802e-07,-3.80975926694838e-07,4
"DDIT3+HSPA1B+XDH",0.00014752753528624,5.09792959624278e-07,5.03988566769031e-07,5
"GDNF+PRL+VTN",0.000166398603919982,7.83911984214569e-07,7.77478248004115e-07,6
"ACE2+CYP1A2+NLRP3",0.000111832108012466,1.24832602543812e-06,1.24429310965901e-06,7
"COMT+PTGS1+SOX9",0.000313536020973615,1.10195343949737e-06,1.0735747398849e-06,8
"HDAC4+MAP1LC3B+SYP",0.000168297513877036,5.85238429273716e-07,5.76123817097596e-07,9
"CYP7A1+GRIN2A+NCF1",9.54711332746827e-05,3.22884349368557e-07,3.20016218857688e-07,10
"GRM5+NOS1+NOX4",0.000151310610963518,5.27121167048783e-07,5.21264049702097e-07,11
"ACACA+NR1I2+PTK2",8.49413702382895e-05,2.91079577885434e-07,2.88998372899307e-07,12
"ACE2+IDO1+LYN",0.000204308614920823,7.20250223795738e-07,7.09481464578054e-07,13
"GRIN1+LYN+MAOB",0.00010752405140968,-9.14625040482342e-07,-9.18483810008475e-07,14
"NOS2+VIM+YWHAZ",0.000167331461515041,5.94054494484908e-07,5.86187767326329e-07,15
"BGLAP+CD163+HSPA1B",0.000170750213211446,5.91181509856931e-07,5.82505349733253e-07,16
"ACACA+ITPR1+XBP1",0.000153324186645265,-2.0448147906027e-06,-2.05153387178303e-06,17
"ACE2+BGLAP+CYP1A2",0.000128814533823518,4.46586412961025e-07,4.41116492333471e-07,18
"CYP2D6+GJA1+NLRP3",0.000197975923065141,6.90207965670098e-07,6.78338453741212e-07,19
"CEBPA+F2+FOXM1",0.000142360772565242,-2.07968321175311e-06,-2.08658781108984e-06,20
"BACE1+PLG+RXRA",0.000222834185902965,1.63529434649146e-06,1.6195249776807e-06,21
"MMP1+NOS2+PARK7",0.00129131508234359,1.22345336150964e-06,1.03324177280761e-06,22
"ITPR1+NOS1+THBS1",0.000154414366961397,-7.43339680253641e-07,-7.50277615035877e-07,23
"NLRP3+RXRA+YWHAE",0.000130321112084997,8.81337854585773e-07,8.75894776153352e-07,24
"NTRK2+SIRT3+SREBF2",0.000126016453873667,4.29180473604518e-07,4.25465461306729e-07,25
"CYP2C9+SREBF2+TAC1",0.000114529127234864,3.90378355086263e-07,3.86704170796115e-07,26
"AFP+CTSD+PRKCB",0.000182823674889088,6.27687582355207e-07,6.18702301835583e-07,27
"CCNA2+PLG+YWHAE",0.000154026560103104,5.39136070121238e-07,5.32774367956179e-07,28
"BMP4+CANX+NR1I2",0.000207090165119661,7.10161177530644e-07,7.02461869783733e-07,29
"ACACA+CRH+NR1H4",0.000191728065096264,-1.99950235479918e-07,-2.09929637229322e-07,30
"CYP7A1+PTGS1+YWHAE",0.000234159033849268,7.99219552982677e-07,7.83729094733232e-07,31
"F2+PARK7+PRKCB",0.000198908673050724,6.81476088892907e-07,6.71032003074501e-07,32
"DDIT3+RAC1+TJP1",0.000115263899279627,3.94444956808293e-07,3.90557279184023e-07,33
"BTK+CYP2C9+TOP2A",0.000182042577065111,6.20140354290477e-07,6.097565734553e-07,34
"DRD1+SYP+TJP1",0.000141069219527612,1.5568350610895e-06,1.55057994255525e-06,35
"NOS2+NPPA+TYR",0.000167307531927618,5.81809589839111e-07,5.72764841111351e-07,36
"MAP1LC3B+SREBF2+TJP1",0.000145502766684347,5.01296469335166e-07,4.95506007780477e-07,37
"CCNB1+DRD1+MAOA",0.00010924326160322,3.75102014005257e-07,3.72269885695609e-07,38
"DPP4+MMP1+PTK2",0.00117843011357188,1.36432037034506e-06,1.30583166157994e-06,39
"CYP19A1+NTRK1+PRDX1",0.000167308323480664,5.79077299556197e-07,5.71649925396045e-07,40
"DRD1+ITPR1+MAP3K5",0.00015310246228184,5.21018413635055e-07,5.14408437291003e-07,41
"CALR+LPL+PTK2",0.000124734712921182,4.35694412992405e-07,4.30999751999117e-07,42
"CCNA2+CYP2D6+TJP1",0.000148299467895074,5.16700476405063e-07,5.10490383853757e-07,43
"FURIN+NR1H4+SYP",0.000235042269121521,8.16824951566097e-07,8.00032040615406e-07,44
"AFP+IDO1+NOX4",0.000190748651688555,6.62222666703016e-07,6.53707382669566e-07,45
"AURKA+GRIA1+LPL",0.000161271094904381,5.47884457913206e-07,5.40337246723865e-07,46
"ABCG2+PTK2B+SIRT3",0.000129670464555365,4.46255631891823e-07,4.40778553434384e-07,47
