"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"GRIN1+NPY",0.000130734180404768,2.21122114507644e-07,2.17835972593505e-07,1
"CEBPA+TFAM",0.000114215236985404,2.01397169719009e-07,1.98147926511183e-07,2
"ABCB1+RYR2",0.000136744154736634,2.3590075370894e-07,2.31279055018518e-07,3
"GRM5+YWHAE",0.000150615846215563,2.61423158343099e-07,2.56275559329389e-07,4
"OPRM1+SLC6A3",6.98975477134711e-05,9.76805760499744e-07,9.75622089449679e-07,5
"DPP4+PPP2CA",0.000120869961442782,2.12612729089123e-07,2.09651037974545e-07,6
"BTK+NPPA",0.000155856086355155,2.71722760847304e-07,2.65751693206973e-07,7
"NTRK2+PRDX1",0.000118719680592627,2.04157475147682e-07,2.01312899683614e-07,8
"CALM1+SLC6A4",0.000133100067593372,2.28757439102445e-07,2.25156063904386e-07,9
"MMP1+PRDX1",0.0011601992492154,1.11771461619448e-06,1.08008131827209e-06,10
"ACE2+CYP1A1",8.4157710351751e-05,1.4725104313662e-07,1.45487265568178e-07,11
"COMT+SLC6A3",0.000178313528429452,3.08226396739109e-07,3.03498514209188e-07,12
"MAOA+YWHAE",0.000123445833066671,4.31207417550539e-07,4.27501273492226e-07,13
"CS+NPPA",0.000184403127649557,3.2043520392655e-07,3.12503486421534e-07,14
"GRIA1+LPL",0.000138033205852151,2.37182262385893e-07,2.32794761689803e-07,15
"CALM1+SYP",0.000135682518707214,2.37855311779889e-07,2.34009591815187e-07,16
"PTK2B+SLC2A4",9.08145992283282e-05,1.60219396527772e-07,1.58174389919274e-07,17
"PRDX1+YWHAZ",0.000130744480972833,-1.06078697748035e-06,-1.0640758623115e-06,18
"PPP2CA+PTGS1",0.000223899769843827,3.910562582643e-07,3.79210600587321e-07,19
"APOA1+GRIN1",9.08081071439026e-05,1.55142626523386e-07,1.53214701703597e-07,20
"ADRB2+TJP1",0.000116152586629337,2.07257926931881e-07,2.03931646458599e-07,21
"CYP1A2+RYR2",0.000112481969613332,1.91996812559658e-07,1.89176097453725e-07,22
"GRM5+NCF1",0.000116909416499222,1.99197004890905e-07,1.97334701690366e-07,23
"F2+TH",0.000107340930296185,1.85780598127572e-07,1.83029413736158e-07,24
"MAP1LC3B+PTK2B",0.000121419368371622,2.08920676425528e-07,2.05395673358311e-07,25
"MAP1LC3B+NOS1",0.000105753737541958,1.84753041865271e-07,1.82366521217503e-07,26
"DRD1+SLC2A4",7.75000019348493e-05,1.33694150306063e-07,1.32210234093932e-07,27
"BACE1+GSTP1",0.000223906114517169,1.67775734616349e-06,1.66607660567752e-06,28
"ACLY+CACNA1D",0.000120331870407941,1.96651597783593e-07,1.94114302409787e-07,29
"NPY+RYR2",0.000167651740497599,-3.14309380688993e-06,-3.15026521469086e-06,30
"CYP2C19+NPY",0.000106471574109701,1.72349568394736e-07,1.71398904069697e-07,31
"CYP19A1+MAPK9",0.000130310854292826,2.24161144646295e-07,2.21527976296265e-07,32
"BTK+DPP4",0.000121297074056059,2.12726635528959e-07,2.09750301682909e-07,33
"AFP+PLG",0.000126920460937763,-6.37142709036809e-07,-6.40575381738451e-07,34
"ABCB1+SYP",0.000102837998122385,1.81137569055245e-07,1.78619992796669e-07,35
"MAOB+NOS1",7.77182538962418e-05,1.36348595747293e-07,1.34879815205657e-07,36
"ACLY+RAC1",0.000123004599213439,2.09757729185966e-07,2.06973612137951e-07,37
"ADRB2+CYP1A1",9.33900778610219e-05,1.6382278289484e-07,1.61679775234624e-07,38
"ACE2+PPP2CA",0.000129457914419095,2.2842213498464e-07,2.24720009933677e-07,39
"CYP1A1+PRDX1",7.47059195044253e-05,1.27596049170897e-07,1.26220404017552e-07,40
"HTR2A+NTRK2",0.000141258116920562,6.7240110990241e-07,6.67678488386336e-07,41
"ATF6+CACNA1C",0.000127726905028158,2.18231487880693e-07,2.14758287042649e-07,42
"PROM1+SLC6A3",0.000119918790123075,2.06883418951698e-07,2.04049517726901e-07,43
"BACE1+CYP2E1",0.000147055559137299,2.56961520950227e-07,2.51715130294983e-07,44
"CYP2C9+GRIN2A",8.83567562484089e-05,1.50188780523308e-07,1.48376533060102e-07,45
"CTSD+SYP",0.000153966657244986,2.6829327148814e-07,2.63708144210284e-07,46
"MAP1LC3B+RYR2",0.000147384998164801,2.50419239344879e-07,2.45007317767332e-07,47
"CACNA1C+SYP",0.000128805245056207,2.23559438294885e-07,2.19991718619639e-07,48
"ABCG2+XDH",8.20111821211444e-05,-1.14240362436568e-06,-1.1440822998976e-06,49
"CYP2C9+SYP",9.63034709146049e-05,1.6630678689733e-07,1.6405330560687e-07,50
"PLG+PROM1",0.000176515063662896,3.12210284736381e-07,3.04448513954725e-07,51
"CYP2E1+MAP1LC3B",0.000134520693495177,2.357023337618e-07,2.31225684710346e-07,52
"CYP1A1+CYP2D6",0.000113043410687519,-2.34780384689159e-07,-2.37748529752224e-07,53
"PROM1+RXRA",0.000134388421268228,2.33129815119248e-07,2.29035975407577e-07,54
"CALM1+NR1I2",0.000114208175398423,1.93973042961204e-07,1.92162186274381e-07,55
"ACE2+CALM1",0.000137187982147458,-6.14753456695816e-07,-6.18823080222874e-07,56
"PARK7+SLC6A4",0.000163366372555873,2.79830195237807e-07,2.75082651990388e-07,57
"PTK2B+TJP1",0.000112494478327396,1.95908405498102e-07,1.92815053146056e-07,58
"CYP1A1+CYP7A1",8.60823809697431e-05,1.43272813413198e-06,1.43093805371475e-06,59
"CYP2E1+RAC1",9.1667107829374e-05,1.57371579767585e-07,1.55526137857187e-07,60
"CS+TYR",0.000174095552144649,2.9974756776685e-07,2.9300203019389e-07,61
"HSPA1B+RYR2",0.000166155341851493,2.86130255267025e-07,2.79325139573849e-07,62
"CYP2C19+MMP1",0.00113650453240932,9.70565809055302e-07,9.59469593331264e-07,63
"DRD1+MAOB",8.00717270948992e-05,1.35958695635097e-07,1.34384473993165e-07,64
"CACNA1D+CALR",8.47076611116826e-05,1.41311940482503e-07,1.39747235783361e-07,65
"GRIN2A+NR1I2",5.17343411982063e-05,8.72773966431595e-08,8.66560981860331e-08,66
"CYP1A2+OPRM1",7.44931503232626e-05,1.28361027917911e-07,1.26979009418271e-07,67
"ADRB2+NPPA",0.000121083480745465,2.12950519884458e-07,2.09367721160092e-07,68
"ACACA+F2",9.1233405665081e-05,1.55235883925187e-07,1.53170354955101e-07,69
"AGTR1+YWHAE",9.68237432655839e-05,1.6959092297153e-07,1.67274600282319e-07,70
"GRIA1+LPL",0.000138033205852151,2.37182262385893e-07,2.32794761689803e-07,71
"CYP2E1+FURIN",0.00013769126990093,2.38344098124621e-07,2.33672581839706e-07,72
"BACE1+GRM5",0.000183458571464845,5.32977849743155e-07,5.24649734656712e-07,73
"HDAC4+NR1H4",0.000172516935797562,3.00836511923919e-07,2.94424755353795e-07,74
"BGLAP+GJA1",0.000141047617543522,-1.89819028295624e-06,-1.90272780442591e-06,75
"ABCB1+CACNA1D",8.96442937634578e-05,1.49096328949661e-07,1.47396850502801e-07,76
"CANX+SYP",0.000202666811853991,3.56409159185667e-07,3.49854891945611e-07,77
"CDH5+SLC2A4",9.39528501813225e-05,1.67683902874138e-07,1.65506698457385e-07,78
"PARK7+SLC6A3",0.000154482413716517,-3.16223879548438e-06,-3.16630515040384e-06,79
"ITPR1+YWHAE",0.000142762180713296,2.48856615092663e-07,2.44122427717208e-07,80
"SIRT3+TAC1",8.24379052580815e-05,1.42505033218221e-07,1.40892875144516e-07,81
"ACACA+ACE2",9.14548063881693e-05,1.59192600102109e-07,1.57116539001301e-07,82
"CACNA1C+PRKCB",0.000117853257200373,-6.55618241363065e-07,-6.58298673350544e-07,83
"ATF6+SLC2A4",8.17980736673718e-05,1.43899800519875e-07,1.422348286928e-07,84
"CYP2E1+GDNF",0.000106050926688916,1.8330599915739e-07,1.805773698349e-07,85
"APOA1+YWHAE",0.000109492238549835,1.92865884152127e-07,1.89882858880885e-07,86
"CTSD+RAC1",0.000143441919996379,2.44978875962865e-07,2.41582616467007e-07,87
"SLC6A3+YWHAE",8.53556753421802e-05,1.47038420328371e-07,1.45325547484809e-07,88
"CACNA1C+MAPK9",0.000113345330767234,1.93719776886425e-07,1.91511252412013e-07,89
