"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"AFP+PARK7",0.000164013772524396,2.83601642059317e-07,2.78773532702559e-07,1
"CYP7A1+PARK7",0.000168944686482209,2.87727870085241e-07,2.82283050268006e-07,2
"NCF1+VIM",4.8089067136825e-05,8.28766035798623e-08,8.23247461312349e-08,3
"DPP4+TFAM",9.23134973256357e-05,1.60940549553956e-07,1.58956350415629e-07,4
"DPP4+UGT1A1",8.39361746782785e-05,1.44164035265071e-07,1.4246653756711e-07,5
"PTK2+SLC6A3",4.97205964395953e-05,8.62386291267114e-08,8.56815822736223e-08,6
"CYP2C19+HDAC2",2.03930167963495e-05,3.41419442717594e-08,3.40384260777427e-08,7
"HDAC4+PRDX1",8.84434772344678e-05,5.79018728408265e-07,5.77198894569086e-07,8
"NCF1+SIRT3",5.1306222066394e-05,8.72152070563459e-08,8.66020690715175e-08,9
"ACACA+NCF1",6.76214181224433e-05,1.15137521516928e-07,1.14213723589884e-07,10
"FABP4+NOS2",6.22572450469372e-05,1.06887128148436e-07,1.05991308951836e-07,11
"CDH5+GRIN1",8.57809048332436e-05,1.45208580160094e-07,1.43451616696488e-07,12
"CYP7A1+F2",8.62929748706165e-05,1.45253712280358e-07,1.43398458329891e-07,13
"CDH5+RXRA",9.86666816620296e-05,1.71008762372971e-07,1.68588652815771e-07,14
"PARK7+PTK2",0.000142551907573285,2.49301415289338e-07,2.47155500177065e-07,15
"PTGS1+RAC1",0.000168293633924788,1.14348075164195e-06,1.13936580237173e-06,16
"ADRB2+HDAC6",7.25641513245057e-05,1.25570101539019e-07,1.24509773935522e-07,17
"FOXM1+SIRT3",7.79248647174713e-05,1.32792504548007e-07,1.31325116004e-07,18
"GDNF+SYP",8.41535730599086e-05,-7.12004843417269e-07,-7.13801743712494e-07,19
"CYP7A1+FURIN",0.00011965062019359,2.01785467335291e-07,1.98481447832854e-07,20
"CYP7A1+NOS2",8.30791690383803e-05,1.42982976569783e-07,1.41267440523229e-07,21
"AURKA+CYP7A1",6.65438767609716e-05,1.11402344904477e-07,1.1040480318858e-07,22
"HTR2A+XBP1",7.27708079760747e-05,1.23520344619266e-07,1.22568749705287e-07,23
"CYP2D6+PRKDC",0.000119902547950912,1.99494414210299e-07,1.96062792112706e-07,24
"BACE1+NLRP3",0.000115284332385501,2.01390480514263e-07,1.98849515742339e-07,25
"BMP4+GDNF",6.9125362797684e-05,-7.38513379672234e-07,-7.39644748559698e-07,26
"HDAC6+YWHAE",7.32052414800233e-05,1.25844895282334e-07,1.24771520670919e-07,27
"PTK2B+SIRT3",8.07151638273496e-05,1.37432028535223e-07,1.35875088735915e-07,28
"ACE2+RYR2",0.000117421852327437,2.02027087947698e-07,1.98839766207826e-07,29
"DRD1+FOXM1",8.09254887934596e-05,1.35297615777574e-07,1.33693364823273e-07,30
"PRKCB+RXRA",7.74974730686218e-05,1.32903864913381e-07,1.31475570985806e-07,31
"PRKDC+SLC6A3",8.01970684140008e-05,1.35529762523845e-07,1.33984121464259e-07,32
"AFP+F2",8.13589232883105e-05,1.38396433868593e-07,1.36751316270889e-07,33
"XBP1+YWHAE",6.99846338682031e-05,1.19841875645399e-07,1.18937986903767e-07,34
"FURIN+SYP",0.00011665318951215,2.01643069575042e-07,1.98566708520254e-07,35
"BACE1+NLRP3",0.000115284332385501,2.01390480514263e-07,1.98849515742339e-07,36
"PTGS1+THBS1",0.000170023069473668,2.99258971159233e-07,2.94790993060623e-07,37
"LPL+PRKDC",9.76687562654899e-05,1.64034821503733e-07,1.61659305164541e-07,38
"CDH5+NLRP3",8.14950888046173e-05,1.42394585012084e-07,1.40858481767481e-07,39
"HDAC6+SLC6A4",5.83904074512587e-05,9.96068776348835e-08,9.88345985053485e-08,40
"BMP4+TYR",8.4152525251513e-05,1.44816736824538e-07,1.43324645152099e-07,41
"PRKCB+SCD",7.577693794103e-05,1.28673942390023e-07,1.27297880458954e-07,42
"CYP2C19+DPP4",4.42203242024819e-05,7.23641683242349e-08,7.20261522646481e-08,43
"VIM+XDH",6.35486002090735e-05,1.11409111491767e-07,1.10410771081426e-07,44
"CRH+GRIN1",5.98894762282587e-05,1.00310593165176e-07,9.94343400950726e-08,45
"CD163+SLC6A4",6.91236117814631e-05,1.17805759924927e-07,1.16627023705185e-07,46
"ACE2+TFAM",0.000100901102669915,1.7615794678516e-07,1.7367769034049e-07,47
"LYN+MAPK9",5.38855750329414e-05,-7.64061586333575e-07,-7.64803185226981e-07,48
"DPP4+HDAC6",5.47445208455288e-05,9.46364490106433e-08,9.3938298917351e-08,49
"CDH5+SOX9",8.14960860806568e-05,1.43027957255626e-07,1.41491835248253e-07,50
"DNMT1+DPP4",5.0238834129579e-05,8.84836306447312e-08,8.79397794584236e-08,51
"CYP2D6+VTN",8.16997427556254e-05,1.38041399755373e-07,1.37361220287069e-07,52
"CCNB1+PARK7",0.000128812656033928,2.24693998518433e-07,2.2426481316451e-07,53
"CYP2C19+FABP4",3.26266837257227e-05,5.3153623724711e-08,5.29297011775398e-08,54
"CYP7A1+NCF1",6.26817340991792e-05,1.06018351542225e-07,1.05188598165107e-07,55
"DDIT3+LPL",7.1054021364314e-05,1.1984671155485e-07,1.18798020642963e-07,56
"MAP3K5+RXRA",7.47082129082255e-05,1.28976141988701e-07,1.27678581152146e-07,57
"CACNA1D+POU5F1",5.65863118153764e-05,9.57501770093572e-08,9.49531732130637e-08,58
"F2+TOP2A",8.17849397855008e-05,1.37441957814843e-07,1.35778630672156e-07,59
"CRH+PRDX1",5.92469786305783e-05,9.98606292101911e-08,9.90008878209991e-08,60
"CYP2C9+SIRT3",8.79280837573493e-05,1.49864125442711e-07,1.48075709915929e-07,61
"CD163+SLC6A3",6.36725347750167e-05,1.09130662728774e-07,1.08121054220867e-07,62
"HDAC3+RAC1",5.5599462673861e-05,9.45399322160867e-08,9.37747750562323e-08,63
"BGLAP+CCNA2",5.94661221696713e-05,1.03296320719259e-07,1.02735517759633e-07,64
"CCNB1+DRD1",3.86404785549521e-05,6.70301757432767e-08,6.69096614780429e-08,65
"CYP2C9+HDAC4",0.000110254922864872,1.89246360027262e-07,1.86217939401878e-07,66
"AFP+GDNF",8.30780276185328e-05,1.42252600143777e-07,1.40541313031761e-07,67
"DRD1+POU5F1",6.44024980956948e-05,1.1083636997089e-07,1.09811971293894e-07,68
"BACE1+F2",0.000128156651822753,2.18578298127881e-07,2.14940757969906e-07,69
"HTR2A+NOS1",8.8444141747579e-05,1.52022244459538e-07,1.50202259185939e-07,70
"SLC6A3+SYP",7.35492791132941e-05,5.55544843905409e-07,5.54228839266813e-07,71
"CD163+PRDX1",6.46151201451062e-05,1.09804554226933e-07,1.08765674911027e-07,72
"POU5F1+RYR2",0.00010368604090083,1.80870926347332e-07,1.78703490005816e-07,73
"CCNB1+PTGS1",0.000140825314484561,2.45401217568997e-07,2.44930910331398e-07,74
"FURIN+HDAC4",0.000130604004455082,2.24228611678257e-07,2.20094334979493e-07,75
"BMP4+XDH",6.01113081096782e-05,1.0407874684315e-07,1.03198760870171e-07,76
"CYP2C9+DDIT3",7.67638227061607e-05,1.29413103788778e-07,1.282446953077e-07,77
"GDNF+TFAM",0.000102398389244973,1.7567139887209e-07,1.73104470979624e-07,78
"BGLAP+FOXM1",9.33799537585767e-05,1.5896049876396e-07,1.56788788951978e-07,79
"DPP4+VIM",6.33347792280414e-05,1.11427544524645e-07,1.1043539138722e-07,80
"PRKDC+TFAM",0.000105612365615571,1.77955508218197e-07,1.75202729768564e-07,81
"F2+TYR",0.000101322159734574,1.72245369078894e-07,1.69750297596138e-07,82
"ACE2+AFP",8.15797024963372e-05,1.41729491365261e-07,1.4007598525545e-07,83
"OPRM1+PTK2",5.3670372970549e-05,9.30387925590637e-08,9.24141403402245e-08,84
"HDAC6+TFAM",7.83563053990965e-05,1.34403065898958e-07,1.33224990039871e-07,85
"HTR2A+NOS2",9.51000422371173e-05,1.64002481817249e-07,1.6181371564894e-07,86
"MAPK9+NCF1",4.25049187643411e-05,-1.6421987214521e-06,-1.64267697178033e-06,87
"CDH5+NCF1",7.07574247406084e-05,1.20980635953671e-07,1.19997134007122e-07,88
"INSR+RXRA",7.64240024254681e-05,5.59564690916226e-07,5.58206807554917e-07,89
"NCF1+SYP",5.96804297627873e-05,1.02172784455234e-07,1.01400203900148e-07,90
"GRIN1+RXRA",8.11428276062953e-05,1.36895578872753e-07,1.35296372882898e-07,91
"PRKDC+PTK2B",9.61657265207139e-05,1.61298340572991e-07,1.58994202026363e-07,92
"BGLAP+NPPA",0.000116566594705159,2.00009918960298e-07,1.96736986146639e-07,93
"FURIN+HDAC6",9.64720427300003e-05,1.65014673148001e-07,1.63468384606347e-07,94
"HDAC6+PTK2B",6.8909445130716e-05,1.17781365216452e-07,1.1679528877373e-07,95
"MAP1LC3B+VTN",8.2349557384509e-05,1.39819984701361e-07,1.39133694454507e-07,96
"DDIT3+SIRT3",5.3237181258825e-05,8.98866486798156e-08,8.92115216144518e-08,97
"SYP+VTN",5.00198426365284e-05,8.50752938097443e-08,8.46933445597386e-08,98
"OPRM1+PTK2",5.3670372970549e-05,9.30387925590637e-08,9.24141403402245e-08,99
"FOXM1+POU5F1",7.44960609853074e-05,-2.98178600477428e-07,-2.99509139600751e-07,100
"UGT1A1+VIM",7.8570153726254e-05,1.3557713884893e-07,1.34144861663188e-07,101
"FOXM1+SYP",8.62999402968523e-05,1.48840107128123e-07,1.46991133820329e-07,102
"MAPK9+PROM1",0.000112490372843999,1.93084541022515e-07,1.90897438523407e-07,103
"RXRA+THBS1",7.9649124784531e-05,1.39560157763619e-07,1.38031185703547e-07,104
"CACNA1D+INSR",5.63673609900173e-05,9.33137367375991e-08,9.25226533166068e-08,105
"SIRT3+SLC6A4",7.01962515443633e-05,1.19259164987895e-07,1.18039794938518e-07,106
"CDH5+DNMT1",6.75418568401032e-05,1.18794348802354e-07,1.17976550195742e-07,107
"BACE1+SREBF2",9.38093070167456e-05,1.56957447150496e-07,1.56244566174024e-07,108
"AFP+CRH",6.44006455223778e-05,1.09320440477845e-07,1.08328404246905e-07,109
"CYP7A1+HDAC6",6.39706349889746e-05,1.08834312673167e-07,1.07948608163433e-07,110
