"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CYP7A1",4.35031253905871e-05,NA,NA,1
"SIRT3",3.21461998868955e-05,NA,NA,2
"ATF6",3.94325028519882e-05,NA,NA,3
"GDNF",4.43617653551609e-05,NA,NA,4
"PTK2B",4.84330888517182e-05,NA,NA,5
"ACACA",4.84337842884264e-05,NA,NA,6
"CYP2D6",7.21328416918299e-05,NA,NA,7
"RYR2",7.43591070004879e-05,NA,NA,8
"RYR2",7.43591070004879e-05,NA,NA,9
"RAC1",3.00029977275962e-05,NA,NA,10
"GRIN1",3.40734457203729e-05,NA,NA,11
"SCD",4.52177280759747e-05,NA,NA,12
"MAPK9",2.50741756256945e-05,NA,NA,13
"ADRB2",5.20800805603461e-05,NA,NA,14
"CACNA1D",2.73431282318271e-05,NA,NA,15
"CYP2C9",5.56338081605379e-05,NA,NA,16
"RXRA",4.69340855130396e-05,NA,NA,17
"MAP1LC3B",7.2780883846546e-05,NA,NA,18
"NCF1",1.9073420110427e-05,NA,NA,19
"SLC6A3",3.24894408255672e-05,NA,NA,20
"PARK7",0.000125159278041354,NA,NA,21
"RXRA",4.69340855130396e-05,NA,NA,22
"AFP",3.85757209503401e-05,NA,NA,23
"BGLAP",4.75758252550529e-05,NA,NA,24
"TFAM",5.78635194188326e-05,NA,NA,25
"MAPK9",2.50741756256945e-05,NA,NA,26
"XDH",3.45048671577253e-05,NA,NA,27
"SLC6A3",3.24894408255672e-05,NA,NA,28
"ADRB2",5.20800805603461e-05,NA,NA,29
"LPL",4.9933453493356e-05,NA,NA,30
"CYP7A1",4.35031253905871e-05,NA,NA,31
"RXRA",4.69340855130396e-05,NA,NA,32
"ADRB2",5.20800805603461e-05,NA,NA,33
"NR1I2",1.90731135452094e-05,NA,NA,34
"SIRT3",3.21461998868955e-05,NA,NA,35
"SYP",4.05056094484602e-05,NA,NA,36
"SIRT3",3.21461998868955e-05,NA,NA,37
"NR1I2",1.90731135452094e-05,NA,NA,38
"DPP4",3.42910215563874e-05,NA,NA,39
"SIRT3",3.21461998868955e-05,NA,NA,40
"PRDX1",3.34313815749665e-05,NA,NA,41
"NR1I2",1.90731135452094e-05,NA,NA,42
"NOS2",3.943477620727e-05,NA,NA,43
"ACE2",4.28639055607416e-05,NA,NA,44
"FOXM1",4.56473397145718e-05,NA,NA,45
"RYR2",7.43591070004879e-05,NA,NA,46
"SIRT3",3.21461998868955e-05,NA,NA,47
"RAC1",3.00029977275962e-05,NA,NA,48
"DPP4",3.42910215563874e-05,NA,NA,49
"CYP7A1",4.35031253905871e-05,NA,NA,50
"PROM1",8.72252997797807e-05,NA,NA,51
"ATF6",3.94325028519882e-05,NA,NA,52
"SIRT3",3.21461998868955e-05,NA,NA,53
"SCD",4.52177280759747e-05,NA,NA,54
"CYP2D6",7.21328416918299e-05,NA,NA,55
"HDAC4",5.44348967649322e-05,NA,NA,56
"GRIN1",3.40734457203729e-05,NA,NA,57
"BGLAP",4.75758252550529e-05,NA,NA,58
"FURIN",7.59490133551699e-05,NA,NA,59
"ACACA",4.84337842884264e-05,NA,NA,60
"HTR2A",5.55034523141984e-05,NA,NA,61
"NR1I2",1.90731135452094e-05,NA,NA,62
"PTGS1",0.00013715127039482,NA,NA,63
