"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"PRKAG2",0.00020377786877912,NA,NA,1
"TRPV1",0.00162431089425452,NA,NA,2
"ALDH2",8.25839603945111e-05,NA,NA,3
"KCNH2",0.000422534476057779,NA,NA,4
"GABRG2",0.00011218358623466,NA,NA,5
"DRD2",0.000239227026366362,NA,NA,6
"TYMS",0.000184902103974594,NA,NA,7
"PLA2G4A",0.000145033364728708,NA,NA,8
"MGLL",0.000288590927817967,NA,NA,9
"RARA",0.000184978605483055,NA,NA,10
"TRPV4",0.000143194338201758,NA,NA,11
"SCN1B",0.00123582115441734,NA,NA,12
"SREBF2",0.000243957241534809,NA,NA,13
"GABRG2",0.00011218358623466,NA,NA,14
"SCN1B",0.00123582115441734,NA,NA,15
"TFRC",0.000259913782701737,NA,NA,16
"SCN2A",0.000108366696406015,NA,NA,17
"GABRB3",0.000209443445582713,NA,NA,18
"TYMS",0.000184902103974594,NA,NA,19
"MGLL",0.000288590927817967,NA,NA,20
"SCN2A",0.000108366696406015,NA,NA,21
"GAD1",0.000696735600119291,NA,NA,22
"GABBR1",0.000510699360905531,NA,NA,23
"DPP4",0.0015210826080112,NA,NA,24
"XDH",0.000226880412117603,NA,NA,25
"NQO1",0.000527220227442338,NA,NA,26
"RARA",0.000184978605483055,NA,NA,27
"SREBF2",0.000243957241534809,NA,NA,28
"IDO1",0.000526138228844286,NA,NA,29
"SCN1B",0.00123582115441734,NA,NA,30
"GABBR1",0.000510699360905531,NA,NA,31
"GCK",0.000242096535880254,NA,NA,32
"GABRA1",0.000459514963564778,NA,NA,33
"GCK",0.000242096535880254,NA,NA,34
"TRPV4",0.000143194338201758,NA,NA,35
"SLC6A3",0.00028148662483185,NA,NA,36
"SCN2A",0.000108366696406015,NA,NA,37
"TAC1",0.00149607156135279,NA,NA,38
"IDO1",0.000526138228844286,NA,NA,39
"MT-CYB",0.00031852428292467,NA,NA,40
"SCN2A",0.000108366696406015,NA,NA,41
"TRPV4",0.000143194338201758,NA,NA,42
"NR1H4",0.000169010237943357,NA,NA,43
"GABRA1",0.000459514963564778,NA,NA,44
"GATM",0.000641349753781717,NA,NA,45
