"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"NR1H4+PPP3CA",0.000216253368585106,2.83053939509337e-07,2.75115864201148e-07,1
"ITGA5+PLA2G4A",0.00139747078843477,1.62458480090777e-06,1.44314889194419e-06,2
"GSR+RARA",0.000486373341802571,1.02884138009074e-06,9.73269836168633e-07,3
"ADCY1+NCOA2",0.000132109486193244,1.81973794366463e-07,1.77628282638231e-07,4
"BTK+HK2",0.000357574276742767,6.22441346798119e-07,5.94411811993822e-07,5
"NFATC1+TFRC",0.000328505917619126,3.18077574390507e-07,3.00327592461791e-07,6
"GLUD1+PLA2G4A",0.000300047532855285,6.08212490482707e-07,5.8581522688339e-07,7
"NCF2+SREBF2",0.000284306297128278,7.15003572016037e-07,7.05332198647213e-07,8
"DRD2+RYR2",0.00031961517290191,3.28971357488328e-07,3.09814456200819e-07,9
"GSR+NR1I2",0.00041783861203426,1.54621710057867e-06,1.51139652548871e-06,10
"ADH1B+TRPV1",0.0016276292298153,1.3828489907608e-06,1.37970004399079e-06,11
"NR1I2+PRKAG2",0.000318677893165642,-9.82105612390427e-07,-1.00572463890281e-06,12
"GABRG2+NCF2",0.000152009629382555,1.86767128096399e-07,1.82319753072591e-07,13
"GCLC+SDHA",0.000787256483862242,6.48542087366977e-07,6.06082390719465e-07,14
"CACNB4+MT-CYB",0.00038756011274077,5.62751710675435e-07,5.40934423254313e-07,15
"CAMP+CS",0.00144561967151213,1.73689365556839e-06,1.52521831908725e-06,16
"GATM+PARK7",0.000706348535134516,1.68822302659688e-06,1.64759275733672e-06,17
"ATF4+KCNQ2",0.000293980946233008,5.0929555484025e-07,4.92028047305304e-07,18
"GSR+NCOA2",0.00036949193122704,6.77222967704338e-07,6.56669995158232e-07,19
"CYP11B2+PTGS1",0.000270307416625037,4.36515160906481e-07,4.18432862692164e-07,20
"ACACA+ADRB2",0.00027184075729314,4.8777189387561e-07,4.69390000978898e-07,21
"GABRG2+RARA",0.000297582154350828,4.40714196470182e-07,4.19962633113613e-07,22
"ADRB2+SLC6A3",0.000423310820866218,8.19868945955982e-07,7.8016693827454e-07,23
"GAD1+NR1I2",0.000814017234468944,1.45664098583076e-06,1.3758853242285e-06,24
