"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"GABRG2+PROM1+PTGS1",0.00142231316755581,2.90539043157345e-06,2.61234683662792e-06,1
"ADRB2+CFTR+CS",0.00195685945026502,5.31904059897226e-06,4.79122026064704e-06,2
"ATF4+GATM+NOS2",0.000730041113215285,-3.37865331524467e-05,-3.38684840718306e-05,3
"ADRB2+BGLAP+PLA2G4A",0.000396927507335776,1.74896818250225e-06,1.69728816934445e-06,4
"APRT+MECP2+NR1I2",0.000728858684048483,2.12724445070034e-06,2.02201272370139e-06,5
"CAMP+KEAP1+NOS2",0.00141020789569268,2.49896587545262e-06,2.32997080074071e-06,6
"PRKAA1+SLC6A3+TRPV4",0.00043852730118632,-1.51184496044454e-06,-1.55869385431995e-06,7
"NOS2+TRPV4+TYMS",0.000370670682558916,1.48092216123441e-06,1.44095062992733e-06,8
"GOT1+GRM5+SCN1B",0.00149400742216765,2.82946044249943e-06,2.50178523297784e-06,9
"ABCG2+AURKB+GSTM1",0.001719791198596,4.12852302722477e-06,3.75033418709148e-06,10
"ADRB2+STAT4+TRPV4",0.000536102989981746,1.37667413835363e-06,1.28525822340464e-06,11
"CYP11B2+CYP17A1+GCLC",0.000258310398705497,-7.08955438111225e-06,-7.11053173940712e-06,12
"GCLC+PRKAA1+TYMS",0.000260765673494312,2.17773654731523e-06,2.16321132073816e-06,13
"EIF2AK2+GCK+TRPV4",0.000494969038637882,1.6941382252611e-06,1.61784046137647e-06,14
"ADRB2+BAX+TRPV1",0.00193304542937356,2.78460241498468e-06,2.26350358800698e-06,15
"ADCY1+GLUD1+SREBF2",0.000463615703199638,1.77502180642719e-06,1.71204560306393e-06,16
"HPRT1+NR1I2+PROM1",0.00172014096436801,2.35092486255972e-06,1.6695575499881e-06,17
"CYP17A1+EIF2S1+PCNA",0.000476997106605315,1.50695539880008e-06,1.44155844916671e-06,18
"BAX+GLUD1+PRKAG2",0.000524359916610706,8.17413353226826e-07,7.26692496955117e-07,19
"GLUD1+NOS2+STAT4",0.000448442963370765,2.3573105245589e-06,2.30195625794405e-06,20
"NCOA2+PRKAG2+PRKCZ",0.00152045600662498,3.46199223943966e-06,3.10914751711078e-06,21
"ATF4+GATM+GSTM1",0.000887424242177914,3.23415155467632e-06,3.06514888348541e-06,22
"AKR1D1+BAX+TAC1",0.00270971810441112,6.60952213116239e-06,4.62836453618554e-06,23
"CALR+PARK7+PTH",0.000465460004258622,1.30404371478932e-06,1.24797455192116e-06,24
"ALDH3A1+DLG1+HK2",0.000399714531170603,1.04883690599245e-06,1.00476487607803e-06,25
"BGLAP+PPP3CA+TAC1",0.00165597593767319,4.02222317186229e-06,3.78353620122951e-06,26
"AURKB+GABBR1+PRKAG2",0.00078877311105463,-1.20797247219473e-05,-1.22456168728524e-05,27
"COL1A2+SCD+SOD2",0.000484408727526309,1.43345522873872e-06,1.36622694657529e-06,28
"ABCG2+BAX+GOT1",0.00169659256499999,3.8225111187451e-06,3.48207269440515e-06,29
"CTSK+GABBR1+NR1I2",0.000828013285392837,-1.8322758549294e-06,-2.01892526618952e-06,30
"ALDH2+CS+STAT4",0.000499867986780589,1.2194577538871e-06,1.1436084726979e-06,31
"AGTR1+PROM1+SCN1A",0.00132130257504115,2.78522943231163e-06,2.62111507021157e-06,32
"ALDH2+GOT1+NOS2",0.000186648782347199,3.17541368022312e-06,3.16462273552975e-06,33
"CYP17A1+EIF2S1+SREBF2",0.000457916120752633,-9.52400312281831e-07,-1.01422344633839e-06,34
"AURKB+NQO1+NR1I2",0.000732136367183611,2.58565212551964e-06,2.46889247301763e-06,35
"CACNB4+GABRA1+NOS2",0.000556895121431644,-1.21948353613011e-05,-1.22480272786163e-05,36
"CTSK+MECP2+XBP1",0.00196703635491591,5.70918668296727e-06,4.68784137097611e-06,37
"NCF2+NR1I2+PRKAG2",0.00035901619358869,-2.74856071680318e-07,-3.11147610676521e-07,38
"GRM5+NCF2+SCN2A",0.000345069967399358,1.17526760556874e-06,1.14197454570419e-06,39
"CALR+GAD1+PLA2G4A",0.000948197552739671,3.6346389185038e-06,3.44691263809427e-06,40
"BGLAP+PLA2G4A+PRKAA1",0.000270761603891612,1.19012811838903e-06,1.17038181424167e-06,41
"ADRB2+CYP11B2+GAD1",0.000986678485754622,2.8739162364344e-06,2.65313852843008e-06,42
"ABCG2+GCLC+HSD3B2",0.00154554402451246,2.59314646766651e-06,2.48185816664748e-06,43
"AURKB+COL1A2+NR1H4",0.000299919943069216,1.07035720420257e-06,1.04466003114645e-06,44
"APRT+MT-CYB+NPPA",0.000477076141232824,1.74502728100823e-06,1.68915727249974e-06,45
"DRD2+GJA1+PRKAG2",0.000580727108952406,2.26553700699572e-06,2.15673827286267e-06,46
"ALDH3A1+BGLAP+DPP4",0.00169647632753356,3.29470849858016e-06,3.02563277088108e-06,47
"ACACA+PRKAG2+TAC1",0.00181951908418876,-1.01313207456766e-05,-1.06576841392148e-05,48
"NCF2+NOS2+PTH",0.00038010792565879,1.47743863398997e-06,1.45174665366898e-06,49
"ALDH3A1+PARK7+SCN2A",0.00023572959678031,8.14170284968441e-07,7.96450368989454e-07,50
"CTSK+RYR2+SCN1A",0.000356021921682492,8.33591161764069e-07,7.96969353733523e-07,51
"ALDH2+ALDH3A1+CALR",0.000269855528760243,2.10948663794674e-05,2.10746317023114e-05,52
"AGXT2+FKBP1A+GOT1",0.000480336035772022,3.24905364457173e-06,3.18231167539818e-06,53
"BGLAP+RYR2+TYMS",0.000375250355325263,1.1608223288162e-06,1.11709392969228e-06,54
"GABRA1+NPPA+TRPV4",0.000698508188264779,1.86420899594975e-06,1.7417261184427e-06,55
"CS+TYMS+XBP1",0.00156526141125757,4.45713757835087e-06,4.00222265672934e-06,56
"EIF2AK2+GOT1+PRKAG2",0.000371569954369377,5.50862278014819e-09,-3.51479687576983e-08,57
"ADRB2+RYR2+TAC1",0.00172101781590484,4.16598592578588e-06,3.82389337660882e-06,58
"CYP17A1+KEAP1+NQO1",0.000666658182175706,-9.56919559425007e-06,-9.65316690793028e-06,59
"DPP4+KEAP1+NCF2",0.00165262270016853,3.88310302013029e-06,3.68513336335141e-06,60
"CYP17A1+GFAP+KCNJ11",0.00252964081636653,5.37362463892688e-06,4.82093017573071e-06,61
"GABRB3+PRKAA1+PROM1",0.00140932157927431,8.68547874399717e-07,5.99132951584203e-07,62
"CYP11B2+DLG1+NCF2",0.000281896389521807,9.05748846924403e-07,8.82269000190838e-07,63
"AKR1D1+HK2+PROM1",0.00247157533883569,5.51096711076671e-06,3.74036824679624e-06,64
"CFTR+CYP17A1+XBP1",0.00292102874604294,6.0557688620344e-06,3.88968117204236e-06,65
"AGXT2+EIF2S1+SLC6A4",0.000472608620984638,1.73946646975232e-07,1.07888399991651e-07,66
"CFTR+NR1H4+SCN2A",0.0019274699391113,5.10455577429347e-06,4.62985730653731e-06,67
"CS+ITGA5+SCN1A",0.00149130492749205,3.33877544700378e-06,3.03007970370306e-06,68
"APRT+FKBP1A+IDO1",0.000758433472552555,2.81302567195496e-06,2.68174628126339e-06,69
"PRKAA1+PRKCZ+SCN1B",0.00249985631494665,5.05191788824355e-06,3.47493294206025e-06,70
"GFAP+NOS2+NQO1",0.000746827080249091,2.5776934697852e-06,2.45597076697912e-06,71
"AKR1D1+CS+IDO1",0.00173998418363785,5.50259361531413e-06,4.69372525346845e-06,72
"DPP4+NCF2+XBP1",0.00277595382330931,6.38141034325912e-06,4.43146072992562e-06,73
"ADCY1+BGLAP+ITGA5",0.00142624860824758,2.80637972538411e-06,2.58344492976015e-06,74
"NFATC1+PROM1+TRPV1",0.00288149959518103,7.13754894920982e-06,5.02292486859179e-06,75
"NR1H4+PARK7+XBP1",0.00144551383691771,2.64841553410111e-06,2.356379205537e-06,76
"NOS2+TRPV1+XBP1",0.0028810110512062,6.85408158729306e-06,4.7708360256804e-06,77
"GFAP+PRKAG2+SCD",0.000587723409637642,7.53052987190195e-07,6.38464327296084e-07,78
"CYP17A1+PARK7+TYMS",0.000310083465953293,9.77113828182219e-07,9.50287141088246e-07,79
"MECP2+NTRK2+PTGS1",0.000796198794045688,1.78047003518422e-06,1.63021320020995e-06,80
"ACLY+KCNJ11+PROM1",0.00359350151423221,9.03737249724479e-06,5.92711659941347e-06,81
"ACACA+GABRG2+PTGS1",0.000366854945498374,7.45358939235885e-07,7.00755316107582e-07,82
"DLG1+GABRA1+STAT4",0.000802994016434799,-2.04230919698123e-06,-2.22499070645643e-06,83
"ACACA+CYP17A1+RARA",0.000377568431517927,1.4259036882347e-06,1.3826015966556e-06,84
"GABBR1+NOS2+NTRK2",0.000677189215042007,2.64540011130077e-06,2.55663093340353e-06,85
"DLG1+MECP2+RYR2",0.000726882553077068,3.65780670597005e-06,3.5541602382283e-06,86
"GCLC+MT-CYB+RYR2",0.000458455136998048,1.60593787790209e-06,1.55719580208213e-06,87
"CS+GLUL+SOD2",0.000510219888444463,-2.30643083043436e-06,-2.39052531780803e-06,88
"EIF2AK2+PLA2G4A+RARA",0.000438079569455629,6.97615203382185e-08,7.2751493718215e-09,89
"ACACA+MGLL+NOS2",0.00046101859973835,1.02188519846003e-06,9.67043971678017e-07,90
"ACACA+ALDH3A1+MECP2",0.000742868654438955,1.31499296174287e-06,1.20067318953865e-06,91
"PPP3CA+PRKCZ+SCD",0.00150233514917741,3.24876847423994e-06,2.92245457556017e-06,92
"GJA1+KCNH2+NCF2",0.000611014638707164,1.3350367697007e-05,1.3270963720502e-05,93
"BGLAP+EIF2AK2+SREBF2",0.000461888833402813,7.83225364897611e-07,7.18442431879573e-07,94
"CTSD+GABBR1+PRKAG2",0.000821617733417046,2.58811724251906e-06,2.4092308047452e-06,95
"GJA1+GSR+PRKAA1",0.000453068367551768,1.72383607166537e-06,1.67639352732785e-06,96
"AKR1D1+ITGA5+SCD",0.00250478027044065,4.68623469451757e-06,2.90533529523351e-06,97
"ACE2+AGXT2+PROM1",0.00151708164004349,3.0912552110296e-06,2.67994225688906e-06,98
"ACE2+AGTR1+SCN1B",0.00137234869765479,-6.32749413664868e-06,-6.50929967183078e-06,99
"APRT+PPP3CA+TAC1",0.00160889559594068,3.2176536873818e-06,3.0504791544983e-06,100
"GCLC+NPPA+PRKAG2",0.00036217553859097,6.08171128069213e-06,6.04518324009984e-06,101
"CYP11B2+GLUL+KCNQ2",0.000474367970622724,1.51207624465854e-06,1.43999735335854e-06,102
"CYP17A1+KCNH2+PTGS1",0.000608167660880232,1.1955244294537e-06,1.11003282876609e-06,103
"BAX+DLG1+TAC1",0.00176096911357959,4.75138728506241e-06,4.34587067588144e-06,104
"IDO1+PTGS1+XBP1",0.00186460170147507,4.8759032430512e-06,4.02417570588565e-06,105
"CALR+CTSK+PTH",0.000625492232271818,2.13165062463716e-05,2.12042904325083e-05,106
"ALDH3A1+APRT+NQO1",0.000656151496122193,2.98087550554271e-06,2.91046661415884e-06,107
"CALR+GSR+PRKAA1",0.000420406357280023,1.63533540364913e-06,1.59818353606678e-06,108
"IDO1+RYR1+RYR2",0.000813486217537185,0.000106979965656562,0.00010687697791012,109
"AGXT2+NCF2+PARK7",0.000354526203570016,9.80752913881666e-07,9.5243371878162e-07,110
"ALDH2+ATF4+SOD2",0.000397666764651028,1.27162486107668e-06,1.22678101999174e-06,111
"ACACA+ITGA5+RYR1",0.00148475927070901,3.34667595836002e-06,3.04497899539236e-06,112
"AURKB+NQO1+PRKAG2",0.000818792176329741,1.4232700525918e-06,1.25258186545185e-06,113
"GLUD1+NCF2+PPP3CA",0.000241891396460581,8.66542396060765e-07,8.51305388516188e-07,114
"COL1A2+IDO1+RYR1",0.000671942414589455,2.16792186880088e-06,2.08796018985602e-06,115
"BAX+CYP11B2+GLUD1",0.000467627720838748,1.59896785278946e-06,1.52664749331066e-06,116
"AURKB+EIF2AK2+SREBF2",0.000437740829039357,-7.61410888117098e-07,-8.18234832777875e-07,117
"CTSD+GAD1+PROM1",0.00199056420518562,6.24508279245539e-06,5.22336340569307e-06,118
"CTSK+EIF2AK2+XDH",0.0005387108049828,4.35615848948245e-07,3.42968042632563e-07,119
"GATM+NCOA2+PLA2G4A",0.000857829243249286,3.17914019276611e-06,3.03232999032677e-06,120
"ACE2+MGLL+RARA",0.000555404597021303,1.97743275665019e-06,1.88619252761146e-06,121
"GLUL+SOD2+TFRC",0.000608933744335571,2.08743835250491e-06,1.97060132445248e-06,122
"CFTR+CTSD+GSTM1",0.0019166905295841,5.36842833542828e-06,4.91332344110251e-06,123
"CS+CYP17A1+GCLC",0.000287475860674458,2.76287398648378e-06,2.73959478747088e-06,124
"AURKB+NCOA2+SCD",0.000363382655959699,1.1759187320548e-06,1.13787872424442e-06,125
"ADCY1+AKR1D1+SLC6A3",0.00139107407475747,2.85611535078001e-06,2.47821067633769e-06,126
"ALDH2+RARA+XBP1",0.00148088085584341,2.86148025474553e-06,2.52225879249224e-06,127
"ACE2+ACLY+STAT4",0.000447642046650265,1.39408888177872e-06,1.33578975880511e-06,128
"MGLL+NCOA2+PROM1",0.00154424095687766,3.80463440252665e-06,3.36226557817731e-06,129
"GOT1+GRM5+SCD",0.000464131127975609,1.22186887929754e-06,1.15716121418252e-06,130
"GCLC+PROM1+SCN1A",0.00131642815548516,2.69743819336643e-06,2.53934103888742e-06,131
"ACACA+AKR1D1+XBP1",0.00238836755394156,5.21022814459204e-06,3.65300848492733e-06,132
"CALR+GOT1+SDHA",0.000878449432041406,-1.25295387850555e-05,-1.26542279562658e-05,133
"CS+ITGA5+TRPV4",0.00156286117038573,3.52143289183982e-06,3.1115039169638e-06,134
"GLUD1+ITGA5+MT-CYB",0.00172809593860668,4.78981665286149e-06,4.14902796819216e-06,135
"CACNB4+GSTM1+HPRT1",0.000650761832771352,2.09985713395255e-06,1.99246255894181e-06,136
"CTSK+NCOA2+SCN2A",0.000381629972105002,1.46575443393804e-06,1.42238022238228e-06,137
"BGLAP+CYP11B2+FKBP1A",0.0004240864405608,1.93850341689839e-06,1.87994043721051e-06,138
"CTSK+NPPA+SDHA",0.00102805442585163,2.45088347483602e-06,2.21508946418592e-06,139
"GFAP+MECP2+PRKAA1",0.000756995414396333,1.75550421279702e-05,1.74474084586596e-05,140
"AKR1D1+GSTM1+SLC6A3",0.00148962176437073,3.46899694592118e-06,2.96117769171822e-06,141
"ADRB2+CALR+GAD1",0.000942510373367678,1.9336051246821e-06,1.7490688987154e-06,142
"AGTR1+DRD2+PRKAG2",0.000507219621929456,1.20344944576356e-06,1.12675506735993e-06,143
