"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"GABRA1+NTRK2",0.000583887967843255,1.62949923498967e-06,1.57307082804259e-06,1
"GRM5+TRPV1",0.00182172112250667,1.81088624762182e-06,1.49265519933106e-06,2
"PRKAG2+TYMS",0.00039146043939875,2.81814560176841e-06,2.78046664503595e-06,3
"HPRT1+XBP1",0.00163134290615941,2.36213616178205e-06,1.85518592643596e-06,4
"AURKB+DRD2",0.000325163354915392,-5.84466628539282e-07,-6.05169693801422e-07,5
"DRD2+NOS2",0.000280671610852878,3.21134928427114e-07,3.11294733879031e-07,6
"PPP3CA+RARA",0.000232340606676984,4.026744943042e-07,3.93986416380443e-07,7
"CYP11B2+PLA2G4A",0.000291770574112116,5.12701881172362e-07,4.91491372600628e-07,8
"ABCG2+STAT4",0.00172064750568623,2.51939042339444e-06,2.15156081961876e-06,9
"GRM5+SLC6A3",0.000478552327481063,1.20327777275442e-06,1.14812959639554e-06,10
"AKR1D1+SLC6A3",0.00132637222240817,1.58817844697623e-06,1.29442148910641e-06,11
"CS+GATM",0.000807096234014648,2.91609320912656e-07,1.85426780041631e-07,12
"NQO1+PRKAA1",0.00054239756831953,-2.19569285309085e-07,-2.27691129839336e-07,13
"CYP11B2+SDHA",0.000877017834579275,2.52356009988741e-06,2.41704128889353e-06,14
"ADCY1+PRKCZ",0.00130974992319832,1.15575430237325e-06,1.07666445603449e-06,15
"GSR+NOS2",0.000342107416655746,5.65017743037188e-07,5.5266041976143e-07,16
"ABCG2+ADCY1",0.00153295050248892,1.60909813884391e-06,1.51585892071981e-06,17
"KCNH2+NTRK2",0.000549348041261055,4.06551895837381e-06,4.01363175284164e-06,18
"DLG1+MT-CYB",0.000414247978283155,6.29315762723515e-07,5.99016242497363e-07,19
"FKBP1A+KCNH2",0.000592872581027359,3.60063031101809e-06,3.53014819842734e-06,20
"GAD1+KEAP1",0.000783274800553846,-1.61057505654316e-06,-1.67203496459489e-06,21
"CALR+XDH",0.000329326364235993,-5.12358610316177e-07,-5.35723135186572e-07,22
"AGXT2+BGLAP",0.000360363600709457,6.59268897140741e-07,6.31917506876967e-07,23
"PLA2G4A+SREBF2",0.00038962686297328,6.7163864936326e-07,6.36256709762861e-07,24
"GLUD1+SCN1A",0.000227075865686377,9.39068792615849e-07,9.27993265342764e-07,25
"PRKCZ+TRPV4",0.00138841913080912,2.47896201344133e-07,6.9597027141377e-08,26
"DRD2+GRM5",0.000436125762880546,1.02803223978043e-06,9.81163461366563e-07,27
"PRKCZ+XDH",0.00147295877937903,1.20567300510022e-06,9.2317168121081e-07,28
"DPP4+ITGA5",0.00277215868415648,1.98466696532673e-06,8.18013311532084e-08,29
"GLUD1+PRKCZ",0.00140092974255912,1.53848134520906e-06,1.34619407921033e-06,30
"CTSK+SDHA",0.000932418910035371,7.8490118904373e-07,6.36734027725794e-07,31
"ALDH3A1+SREBF2",0.000307685535527291,5.28454403458944e-07,5.13032582638573e-07,32
"EIF2S1+KCNH2",0.000574908364333271,-1.65421845010894e-06,-1.71932814652109e-06,33
"AGXT2+BAX",0.000417160701357111,1.19629357053785e-06,1.15484106122388e-06,34
"GCLC+SCN1B",0.00129541859090376,1.37415289180876e-06,1.30211029447658e-06,35
"DLG1+SCN1B",0.00133135905958592,5.30783143326552e-07,4.1322605259797e-07,36
"NR1H4+PLA2G4A",0.00031458991684663,5.70826298007532e-07,5.4631417456541e-07,37
"AURKB+GABRA1",0.000549902966301974,3.8862716077448e-06,3.84650449436474e-06,38
"CYP17A1+KCNH2",0.000483171291077,-2.17347372100107e-07,-2.43071222927327e-07,39
"ADCY1+SREBF2",0.000308021193144548,5.61384139174947e-07,5.45888447667231e-07,40
"GABRB3+RYR2",0.000289998891827459,4.93886047170378e-07,4.77114165398085e-07,41
"GRM5+TFRC",0.000457112111736491,1.33167765947739e-06,1.28075598193611e-06,42
"AKR1D1+ALDH2",0.00112695308450461,8.64131915245814e-07,7.77948022889774e-07,43
"GSR+PPP3CA",0.000347718009573339,3.42638512340621e-07,3.28528312443233e-07,44
"NR1H4+STAT4",0.000420324415463469,7.77163537635239e-07,7.34813059621864e-07,45
"GCLC+SCN1A",0.000130303387787745,2.92722987293992e-07,2.88542074455833e-07,46
"ACLY+TRPV1",0.00174218085125311,2.27999526147826e-06,2.09193576028444e-06,47
"NTRK2+STAT4",0.000373981558350223,6.33031568608722e-07,6.02260439297453e-07,48
"KCNJ11+XBP1",0.00350024699268947,4.29876122542971e-06,1.52855385460171e-06,49
"PTH+RARA",0.00048408807285294,1.28540278487854e-06,1.23030151222281e-06,50
"NCF2+SCD",0.000247339348940612,4.14359028644284e-07,4.06141301700913e-07,51
"NPPA+SREBF2",0.000338603198283272,6.1174229404326e-07,5.88796368661271e-07,52
"PLA2G4A+PRKAG2",0.000349444096941154,6.62418023322786e-07,6.32863433325248e-07,53
"COL1A2+HK2",0.000284189204490359,5.06245543152595e-07,4.95831869784524e-07,54
"KCNQ2+RYR1",0.000311918499413033,-5.15254214517036e-07,-5.36543723339555e-07,55
"ADCY1+STAT4",0.000314471530522553,3.9001921592341e-07,3.74102899991513e-07,56
"MGLL+PRKCZ",0.00153541796883316,2.03118592811968e-06,1.67184543498067e-06,57
"PTGS1+RARA",0.000309157407057281,5.58407181605602e-07,5.35535822687727e-07,58
"BGLAP+PLA2G4A",0.000254814111592894,6.43752324114288e-07,6.27921522555752e-07,59
"CFTR+RARA",0.00183268257480218,2.54519734210756e-06,2.24082186373042e-06,60
"ACACA+GABBR1",0.000642087788911616,1.12764789839126e-06,1.06108981001718e-06,61
"DLG1+KCNJ11",0.00238592258698656,3.09313809387923e-06,2.87550020905414e-06,62
"NR1I2+XDH",0.000343566799115624,8.06934716712782e-07,7.80637972597198e-07,63
"CALR+RARA",0.000288716082363583,7.74851033669144e-07,7.55801626950436e-07,64
"GJA1+SREBF2",0.000380142272165873,6.52627276442885e-07,6.19555097003399e-07,65
"RARA+TYMS",0.000370518671300113,6.72164775838979e-07,6.37961842464563e-07,66
"ADCY1+TRPV4",0.000206944221246785,2.4091530992365e-07,2.31819882956508e-07,67
"PRKAG2+STAT4",0.000455157554632102,8.5138392136308e-07,8.00321392491199e-07,68
"BGLAP+CAMP",0.00138916282517176,1.61615562288553e-06,1.47660008997796e-06,69
"CS+XDH",0.000392750284476606,3.46381466176382e-07,3.08818906114006e-07,70
"COL1A2+GATM",0.00068581672053436,1.17120544684823e-06,1.14341990076205e-06,71
"NR1I2+PCNA",0.00037718618528737,7.28193773502639e-07,6.97990769960022e-07,72
"GABRA1+NR1H4",0.00062950302815612,1.05548938134081e-06,9.77826647985403e-07,73
"CS+GABRG2",0.000278152532555143,4.2646610032282e-07,4.0789286759324e-07,74
"ACLY+CS",0.000351747339726982,7.04274333669375e-05,7.04082650357929e-05,75
"CYP11B2+PTH",0.000444706726582478,6.25406266552275e-07,5.81842714009184e-07,76
"AURKB+PLA2G4A",0.000232004000020991,4.41688454144717e-07,4.29137049451356e-07,77
"NQO1+NTRK2",0.000651198063736702,1.24264545275921e-06,1.1779028439296e-06,78
"KEAP1+PCNA",0.000349082302723347,3.11608131631225e-07,2.88621832211788e-07,79
"NPPA+TAC1",0.00159052238497315,5.34379483330127e-07,3.93663240561004e-07,80
"SCN1B+XBP1",0.00244817842602785,3.05756778617994e-06,1.56124043715344e-06,81
"BAX+CFTR",0.00181299686776648,2.37892191223832e-06,2.10671787614913e-06,82
"COL1A2+RARA",0.000228699953021883,4.05814616244449e-07,3.97800686946503e-07,83
"GABBR1+GLUD1",0.000666316213922324,1.26736657823923e-06,1.1885001170997e-06,84
"ADRB2+SCN2A",0.000250157686625507,7.62245598862066e-07,7.46961123399004e-07,85
"AKR1D1+PTH",0.00134273721101208,1.57773313624876e-06,1.26686906720685e-06,86
"AURKB+SCN1A",0.000158540482139147,2.8567108967259e-07,2.79464374974836e-07,87
"ADCY1+NR1H4",0.000232929123792247,4.11557889767877e-07,4.00822686819069e-07,88
"IDO1+XBP1",0.00173850190632574,2.20469238743082e-06,1.56764630809825e-06,89
"RYR1+TRPV1",0.0017247334689301,1.92964893841463e-07,2.98959721423131e-08,90
"RARA+SLC6A3",0.000467195252216168,7.82090904594135e-07,7.30021901262923e-07,91
"ADCY1+SCN2A",0.00017117753987228,-7.00336453163253e-07,-7.07219695805783e-07,92
