"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"NCOA2",6.84137947485342e-05,NA,NA,1
"CALR",0.000102981675253577,NA,NA,2
"KEAP1",8.82112353991493e-05,NA,NA,3
"CACNB4",6.84948953928455e-05,NA,NA,4
"CYP17A1",6.08798862421489e-05,NA,NA,5
"NCF2",3.96437233948221e-05,NA,NA,6
"GFAP",0.000176017592287137,NA,NA,7
"SCN2A",0.000108366696406015,NA,NA,8
"TRPV4",0.000143194338201758,NA,NA,9
"NFATC1",6.82918073249272e-05,NA,NA,10
"XBP1",0.00121079603117336,NA,NA,11
"ITGA5",0.00125099427481412,NA,NA,12
"DLG1",9.51246791159877e-05,NA,NA,13
"PTGS1",0.000123643265751539,NA,NA,14
"CALR",0.000102981675253577,NA,NA,15
"SCN2A",0.000108366696406015,NA,NA,16
"AGTR1",6.30879717166133e-05,NA,NA,17
"ACE2",7.99488711926699e-05,NA,NA,18
"PRKAA1",1.5405032007032e-05,NA,NA,19
"CTSK",0.000203427100728071,NA,NA,20
"AKR1D1",0.00104359117608721,NA,NA,21
"XBP1",0.00121079603117336,NA,NA,22
"AGTR1",6.30879717166133e-05,NA,NA,23
"GOT1",5.97669094645203e-05,NA,NA,24
"AURKB",8.65414982428314e-05,NA,NA,25
"ITGA5",0.00125099427481412,NA,NA,26
"TRPV4",0.000143194338201758,NA,NA,27
"RARA",0.000184978605483055,NA,NA,28
"PPP3CA",4.69680147775486e-05,NA,NA,29
"TRPV4",0.000143194338201758,NA,NA,30
"PARK7",6.33511885954618e-05,NA,NA,31
"ALDH3A1",6.32152614098436e-05,NA,NA,32
"CYP17A1",6.08798862421489e-05,NA,NA,33
"DLG1",9.51246791159877e-05,NA,NA,34
"AGTR1",6.30879717166133e-05,NA,NA,35
"PARK7",6.33511885954618e-05,NA,NA,36
"PROM1",0.00118387396873298,NA,NA,37
"CALR",0.000102981675253577,NA,NA,38
"HSD3B2",1.6850259747736e-05,NA,NA,39
"GLUL",0.000114619890825618,NA,NA,40
"HSD3B2",1.6850259747736e-05,NA,NA,41
"GLUD1",0.000154428352899694,NA,NA,42
"PPP3CA",4.69680147775486e-05,NA,NA,43
"SCN2A",0.000108366696406015,NA,NA,44
"ACLY",0.0001157780212383,NA,NA,45
"RYR1",0.000100392678703431,NA,NA,46
"NCF2",3.96437233948221e-05,NA,NA,47
"BGLAP",0.00010915282534163,NA,NA,48
"ATF4",8.14265537527614e-05,NA,NA,49
"RARA",0.000184978605483055,NA,NA,50
"BTK",0.000116610039162079,NA,NA,51
"NR1I2",0.000115905749025424,NA,NA,52
"ADRB2",0.000141044029096093,NA,NA,53
"CACNB4",6.84948953928455e-05,NA,NA,54
"APRT",6.28055406558525e-05,NA,NA,55
"AKR1D1",0.00104359117608721,NA,NA,56
"COL1A2",4.33235468518811e-05,NA,NA,57
"GLUD1",0.000154428352899694,NA,NA,58
"NPPA",9.40571603798013e-05,NA,NA,59
"CTSK",0.000203427100728071,NA,NA,60
"CYP17A1",6.08798862421489e-05,NA,NA,61
"SLC6A4",6.78286583016829e-05,NA,NA,62
"BAX",0.000165427002434937,NA,NA,63
"ACE2",7.99488711926699e-05,NA,NA,64
"SCN2A",0.000108366696406015,NA,NA,65
"RYR2",8.00783320793474e-05,NA,NA,66
"NOS2",4.11332897526373e-05,NA,NA,67
"GCLC",5.82953261919483e-05,NA,NA,68
"ATF4",8.14265537527614e-05,NA,NA,69
"ATF4",8.14265537527614e-05,NA,NA,70
"EIF2AK2",0.000108060324094494,NA,NA,71
"SCN2A",0.000108366696406015,NA,NA,72
"SCN2A",0.000108366696406015,NA,NA,73
"BGLAP",0.00010915282534163,NA,NA,74
"BGLAP",0.00010915282534163,NA,NA,75
"AURKB",8.65414982428314e-05,NA,NA,76
"ACE2",7.99488711926699e-05,NA,NA,77
"GLUL",0.000114619890825618,NA,NA,78
"CTSD",0.00010473127292765,NA,NA,79
"KEAP1",8.82112353991493e-05,NA,NA,80
"GOT1",5.97669094645203e-05,NA,NA,81
