"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"BAX+PTGS1",0.000289522037837942,4.72223586345244e-07,4.51769651466094e-07,1
"NR1H4+PTGS1",0.000293277635688427,6.45028971346662e-07,6.2413199353184e-07,2
"CYP17A1+RYR2",0.000141172700318992,2.19357157216216e-07,2.14481997495852e-07,3
"AKR1D1+GFAP",0.0012209916579442,1.56657997596454e-06,1.38288956985644e-06,4
"AKR1D1+PROM1",0.00222857871590387,2.34905151108578e-06,1.11357108367738e-06,5
"ITGA5+SLC6A4",0.00131807960505526,-6.58474797354813e-07,-7.43328060548443e-07,6
"PARK7+TRPV4",0.000206872481059772,3.36025794078765e-07,3.26954262552803e-07,7
"NCOA2+NR1H4",0.000228780197339518,-8.63227272063227e-06,-8.64383535237323e-06,8
"ADRB2+GLUL",0.000256037799005071,3.90045534537364e-07,3.73879083359618e-07,9
"ADRB2+CS",0.000307130036230063,5.48305079117739e-07,5.24953681080298e-07,10
"PRKAA1+PTGS1",0.00013930305751142,2.566644813351e-07,2.54759752849054e-07,11
"PTGS1+RYR2",0.000204073780075142,3.62083390714751e-07,3.52182244256483e-07,12
"ACLY+PRKAA1",0.000131196918476184,1.56487949265482e-08,1.3865230852339e-08,13
"APRT+EIF2S1",0.000217186658013957,2.97578843899693e-07,2.87900936091212e-07,14
"CALR+GSTM1",0.000265071448209087,5.2362726155053e-07,5.0698719555875e-07,15
"AKR1D1+GOT1",0.00110421944111094,9.23727778601169e-07,8.61355559211852e-07,16
"CYP17A1+PRKCZ",0.00130733065906141,1.37138214573174e-06,1.29557723904661e-06,17
"COL1A2+NCF2",8.29040465040176e-05,-6.15062359932139e-08,-6.32237426856364e-08,18
"BAX+NR1I2",0.000281800100548346,4.86523028642161e-07,4.67349087984736e-07,19
"GFAP+STAT4",0.000427073538687206,5.20688316019147e-07,4.76581939579113e-07,20
"RYR1+XBP1",0.00131247984631211,1.41269149223078e-06,1.29113643532186e-06,21
"FKBP1A+PARK7",0.000230578218694544,4.296408102622e-07,4.19073327928565e-07,22
"GCLC+GLUD1",0.000210976571604959,-1.73810503545369e-06,-1.74710748668261e-06,23
"BGLAP+NCOA2",0.000177600143977608,4.09914464594152e-08,3.35238874438204e-08,24
"ADCY1+BGLAP",0.000172956949241132,2.92993913464379e-07,2.86060737431093e-07,25
