"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"CYP17A1",6.08798862421489e-05,NA,NA,1
"ACACA",0.000130327338196068,NA,NA,2
"CALR",0.000102981675253577,NA,NA,3
"GJA1",0.000135565475534061,NA,NA,4
"AURKB",8.65414982428314e-05,NA,NA,5
"SCN2A",0.000108366696406015,NA,NA,6
"EIF2S1",0.000154093216422013,NA,NA,7
"GRM5",0.000195917573052817,NA,NA,8
"GRM5",0.000195917573052817,NA,NA,9
"ADCY1",6.35180631620713e-05,NA,NA,10
"TRPV4",0.000143194338201758,NA,NA,11
"GFAP",0.000176017592287137,NA,NA,12
"CS",0.00016556105345289,NA,NA,13
"NTRK2",0.000122799933450435,NA,NA,14
"STAT4",0.00025057936446049,NA,NA,15
"GLUD1",0.000154428352899694,NA,NA,16
"BAX",0.000165427002434937,NA,NA,17
"ALDH3A1",6.32152614098436e-05,NA,NA,18
"TYMS",0.000184902103974594,NA,NA,19
"BGLAP",0.00010915282534163,NA,NA,20
"GSTM1",0.000161582785759951,NA,NA,21
"BAX",0.000165427002434937,NA,NA,22
"CYP11B2",0.000146245718010807,NA,NA,23
"RYR1",0.000100392678703431,NA,NA,24
"ADRB2",0.000141044029096093,NA,NA,25
"CS",0.00016556105345289,NA,NA,26
"ITGA5",0.00125099427481412,NA,NA,27
"BGLAP",0.00010915282534163,NA,NA,28
"NTRK2",0.000122799933450435,NA,NA,29
"NCF2",3.96437233948221e-05,NA,NA,30
"CYP17A1",6.08798862421489e-05,NA,NA,31
"BAX",0.000165427002434937,NA,NA,32
"NTRK2",0.000122799933450435,NA,NA,33
"GCLC",5.82953261919483e-05,NA,NA,34
"ACACA",0.000130327338196068,NA,NA,35
"PRKCZ",0.00124515519558022,NA,NA,36
"ACACA",0.000130327338196068,NA,NA,37
"GCLC",5.82953261919483e-05,NA,NA,38
"PRKAA1",1.5405032007032e-05,NA,NA,39
"ACACA",0.000130327338196068,NA,NA,40
"FKBP1A",0.000166807956771153,NA,NA,41
"GCLC",5.82953261919483e-05,NA,NA,42
"SOD2",0.000232429469483764,NA,NA,43
"DLG1",9.51246791159877e-05,NA,NA,44
"EIF2AK2",0.000108060324094494,NA,NA,45
"GRM5",0.000195917573052817,NA,NA,46
"ACACA",0.000130327338196068,NA,NA,47
"ADCY1",6.35180631620713e-05,NA,NA,48
"PRKAA1",1.5405032007032e-05,NA,NA,49
"CYP17A1",6.08798862421489e-05,NA,NA,50
"CTSK",0.000203427100728071,NA,NA,51
"CALR",0.000102981675253577,NA,NA,52
"ACACA",0.000130327338196068,NA,NA,53
"GFAP",0.000176017592287137,NA,NA,54
"EIF2S1",0.000154093216422013,NA,NA,55
