anchor,rank,gene
ARG1,1,GATM
ARG1,2,NR1H4
ARG1,3,HK2
ARG1,4,TFRC
ARG1,5,PTGS1
ARG1,6,GABBR1
ARG1,7,GABRA1
ARG1,8,CS
ARG1,9,DRD2
ARG1,10,CAMP
ARG1,11,GRM5
ARG1,12,DGAT1
ARG1,13,MT-CYB
ARG1,14,CYP19A1
ARG1,15,NR1I2
ARG1,16,IDO1
ARG1,17,GABRG2
ARG1,18,HPRT1
ARG1,19,KCNJ11
ARG1,20,GLUL
ARG1,21,SOD2
ARG1,22,COMT
ARG1,23,ITGA5
ARG1,24,TYMS
ARG1,25,GSR
ARG1,26,STAT4
ARG1,27,CYP7A1
ARG1,28,ACLY
ARG1,29,TRPV1
ARG1,30,NPY
ARG1,31,F2
ARG1,32,RARA
ARG1,33,MPO
ARG1,34,RXRA
ARG1,35,NOS1
ARG1,36,NPPA
ARG1,37,GCK
ARG1,38,FKBP1A
ARG1,39,DUOX2
ARG1,40,CYP11B2
ARG1,41,COL1A1
ARG1,42,KCNH2
ARG1,43,PLA2G2A
ARG1,44,PLD2
ARG1,45,TRPV4
ARG1,46,PRKCZ
ARG1,47,DRD1
ARG1,48,EIF2AK2
ARG1,49,CNR1
ARG1,50,ABCG2
ARG1,51,HNF4A
ARG1,52,PLG
ARG1,53,MAOB
ARG1,54,TJP1
ARG1,55,GSTP1
ARG1,56,ALDH3A1
ARG1,57,ITPR1
ARG1,58,CALM1
ARG1,59,ITPR3
ARG1,60,CDK5
ARG1,61,SOX9
ARG1,62,GOT1
ARG1,63,YWHAZ
ARG1,64,GRIN2A
ARG1,65,OPRM1
ARG1,66,GJA1
ARG1,67,MGLL
ARG1,68,NTRK2
ARG1,69,FURIN
ARG1,70,MAOA
ARG1,71,TH
ARG1,72,CFTR
ARG1,73,ALDH1A1
ARG1,74,GRIN2B
ARG1,75,BGLAP
ARG1,76,CHAT
ARG1,77,PLA2G4A
ARG1,78,SPP1
ARG1,79,MDH2
ARG1,80,FASN
ARG1,81,TNFSF11
ARG1,82,CEBPA
ARG1,83,CTSK
ARG1,84,HCRT
ARG1,85,BTK
ARG1,86,SOX2
ARG1,87,THBS1
ARG1,88,ACACA
ARG1,89,ALDH2
ARG1,90,APOB
ARG1,91,C3
ARG1,92,NRP1
ARG1,93,NQO1
ARG1,94,RRM1
ARG1,95,KEAP1
ARG1,96,LPL
ARG1,97,SLC6A3
ARG1,98,TAC1
ARG1,99,HDAC6
ARG1,100,SCN5A
LCN2,1,ALDH3A1
LCN2,2,EIF2AK2
LCN2,3,GOT1
LCN2,4,VIM
LCN2,5,BTK
LCN2,6,C3
LCN2,7,ITGA5
LCN2,8,PRKCZ
LCN2,9,ATF4
LCN2,10,RASA1
LCN2,11,NRP1
LCN2,12,NPPA
LCN2,13,POU5F1
LCN2,14,TNFSF11
LCN2,15,NR1I2
LCN2,16,CYP11B2
LCN2,17,ITPR3
LCN2,18,FURIN
LCN2,19,HTR3A
LCN2,20,RAC2
LCN2,21,THBS1
LCN2,22,SOX9
LCN2,23,OPRM1
LCN2,24,PTGS1
LCN2,25,TPH1
LCN2,26,ACLY
LCN2,27,MT-CYB
LCN2,28,GRM5
LCN2,29,FABP4
LCN2,30,EPOR
LCN2,31,NCOA2
LCN2,32,SQLE
LCN2,33,ACE2
LCN2,34,ADIPOQ
LCN2,35,ACACA
LCN2,36,PLA2G7
LCN2,37,NTRK1
LCN2,38,NR1H4
LCN2,39,ALDH1B1
LCN2,40,GLUL
LCN2,41,RARA
LCN2,42,NOS2
LCN2,43,BGLAP
LCN2,44,ABCG5
LCN2,45,SIRT3
LCN2,46,SYK
LCN2,47,PRKCG
LCN2,48,KEAP1
LCN2,49,CTSK
LCN2,50,DLG1
LCN2,51,NANOG
LCN2,52,NTRK2
LCN2,53,HTR2A
LCN2,54,HNF4A
LCN2,55,MDH2
LCN2,56,AGTR1
LCN2,57,COL1A2
LCN2,58,ESRRA
LCN2,59,PYGM
LCN2,60,XIAP
LCN2,61,F2
LCN2,62,GJA1
LCN2,63,EGR1
LCN2,64,CRH
LCN2,65,TFRC
LCN2,66,STAT4
LCN2,67,NCF2
LCN2,68,NFATC1
LCN2,69,ALAS2
LCN2,70,PLD2
LCN2,71,CAMP
LCN2,72,ALDH2
LCN2,73,MAP3K5
LCN2,74,RXRA
LCN2,75,MGLL
LCN2,76,RRM1
LCN2,77,GABRG2
LCN2,78,CEBPA
LCN2,79,SOD2
LCN2,80,PLA2G2A
LCN2,81,MB
LCN2,82,MPO
LCN2,83,FGF23
LCN2,84,PRDX1
LCN2,85,AKR1B1
LCN2,86,CANX
LCN2,87,AKR1B10
LCN2,88,CS
LCN2,89,CYP51A1
LCN2,90,PNP
LCN2,91,DRD2
LCN2,92,CALR
LCN2,93,GSR
LCN2,94,BAX
LCN2,95,ACTG1
LCN2,96,COMT
LCN2,97,CALM1
LCN2,98,VWF
LCN2,99,CD274
LCN2,100,DUOX2
LTF,1,ALDH3A1
LTF,2,EIF2AK2
LTF,3,ITGA5
LTF,4,GOT1
LTF,5,C3
LTF,6,VIM
LTF,7,BTK
LTF,8,NPPA
LTF,9,PRKCZ
LTF,10,ATF4
LTF,11,NR1I2
LTF,12,PTGS1
LTF,13,THBS1
LTF,14,TNFSF11
LTF,15,RASA1
LTF,16,MT-CYB
LTF,17,ITPR3
LTF,18,POU5F1
LTF,19,FURIN
LTF,20,CYP11B2
LTF,21,GRM5
LTF,22,OPRM1
LTF,23,NRP1
LTF,24,NR1H4
LTF,25,ACLY
LTF,26,RAC2
LTF,27,ACACA
LTF,28,ADIPOQ
LTF,29,SOX9
LTF,30,HTR3A
LTF,31,FABP4
LTF,32,GLUL
LTF,33,HNF4A
LTF,34,RARA
LTF,35,F2
LTF,36,DLG1
LTF,37,NANOG
LTF,38,RXRA
LTF,39,TPH1
LTF,40,NTRK2
LTF,41,PRKCG
LTF,42,GABRG2
LTF,43,BGLAP
LTF,44,TFRC
LTF,45,CEBPA
LTF,46,CS
LTF,47,NTRK1
LTF,48,EPOR
LTF,49,SOD2
LTF,50,NCOA2
LTF,51,SYK
LTF,52,DRD2
LTF,53,SQLE
LTF,54,ACE2
LTF,55,MPO
LTF,56,ABCG5
LTF,57,PLA2G7
LTF,58,STAT4
LTF,59,COL1A2
LTF,60,HTR2A
LTF,61,EGR1
LTF,62,KEAP1
LTF,63,CAMP
LTF,64,COMT
LTF,65,XIAP
LTF,66,MDH2
LTF,67,GJA1
LTF,68,CALM1
LTF,69,CTSK
LTF,70,NOS2
LTF,71,ALDH1B1
LTF,72,SIRT3
LTF,73,PLA2G2A
LTF,74,GSR
LTF,75,SPP1
LTF,76,BAX
LTF,77,RRM1
LTF,78,PLD2
LTF,79,VWF
LTF,80,ALDH2
LTF,81,ALAS2
LTF,82,TJP1
LTF,83,MAP3K5
LTF,84,MGLL
