"protein_a","protein_b","string_id_a","string_id_b","combined_score","nscore","fscore","pscore","ascore","escore","dscore","tscore","key"
"AADAT","BCAT2","9606.ENSP00000423190","9606.ENSP00000322991",0.894,0.115,0,0,0.101,0.071,0.792,0.417,"AADAT|BCAT2"
"AADAT","KYNU","9606.ENSP00000423190","9606.ENSP00000264170",0.98,0,0,0,0.109,0,0.9,0.795,"AADAT|KYNU"
"AADAT","QPRT","9606.ENSP00000423190","9606.ENSP00000378782",0.706,0.089,0,0,0,0,0,0.69,"AADAT|QPRT"
"AANAT","DDC","9606.ENSP00000250615","9606.ENSP00000403644",0.967,0,0,0,0,0.046,0.913,0.633,"AANAT|DDC"
"AANAT","IDO1","9606.ENSP00000250615","9606.ENSP00000430950",0.931,0,0,0,0,0,0.9,0.341,"AANAT|IDO1"
"AANAT","MAOA","9606.ENSP00000250615","9606.ENSP00000340684",0.943,0,0,0,0,0,0.9,0.461,"AANAT|MAOA"
"AANAT","MAOB","9606.ENSP00000250615","9606.ENSP00000367309",0.937,0,0,0,0,0,0.9,0.398,"AANAT|MAOB"
"AANAT","YWHAZ","9606.ENSP00000250615","9606.ENSP00000379287",0.972,0,0,0,0,0.634,0,0.929,"AANAT|YWHAZ"
"AASS","ODC1","9606.ENSP00000403768","9606.ENSP00000234111",0.813,0.115,0,0,0.087,0,0.673,0.378,"AASS|ODC1"
"AASS","SOD2","9606.ENSP00000403768","9606.ENSP00000446252",0.794,0,0,0,0,0,0.792,0.052,"AASS|SOD2"
"ABAT","ACSS2","9606.ENSP00000379845","9606.ENSP00000253382",0.829,0,0,0,0.101,0,0.8,0.127,"ABAT|ACSS2"
"ABAT","AGXT2","9606.ENSP00000379845","9606.ENSP00000231420",0.939,0,0,0,0.209,0.109,0.9,0.236,"ABAT|AGXT2"
"ABAT","ALDH1B1","9606.ENSP00000379845","9606.ENSP00000366927",0.949,0.055,0,0,0.139,0.099,0.918,0.288,"ABAT|ALDH1B1"
"ABAT","ALDH2","9606.ENSP00000379845","9606.ENSP00000261733",0.945,0.055,0,0,0.156,0.099,0.918,0.208,"ABAT|ALDH2"
"ABAT","ALDH3A1","9606.ENSP00000379845","9606.ENSP00000411821",0.942,0.055,0,0,0.139,0.099,0.918,0.183,"ABAT|ALDH3A1"
"ABAT","AOX1","9606.ENSP00000379845","9606.ENSP00000363832",0.905,0,0,0,0.067,0,0.9,0.07,"ABAT|AOX1"
"ABAT","GAD1","9606.ENSP00000379845","9606.ENSP00000350928",0.975,0.057,0,0,0.124,0.092,0.922,0.642,"ABAT|GAD1"
"ABAT","GATM","9606.ENSP00000379845","9606.ENSP00000379895",0.814,0,0,0,0.072,0.048,0.8,0.075,"ABAT|GATM"
"ABAT","GLUD1","9606.ENSP00000379845","9606.ENSP00000277865",0.729,0.088,0,0,0.101,0,0.414,0.502,"ABAT|GLUD1"
"ABCA1","APOA1","9606.ENSP00000363868","9606.ENSP00000236850",0.999,0,0,0,0.055,0.697,0.9,0.999,"ABCA1|APOA1"
"ABCA1","APOB","9606.ENSP00000363868","9606.ENSP00000233242",0.861,0,0,0,0.042,0,0,0.861,"ABCA1|APOB"
"ABCA1","APOE","9606.ENSP00000363868","9606.ENSP00000252486",0.98,0,0,0,0.084,0,0,0.979,"ABCA1|APOE"
"ABCA1","CD36","9606.ENSP00000363868","9606.ENSP00000415743",0.831,0,0,0,0.087,0,0,0.823,"ABCA1|CD36"
"ABCA1","CYP7A1","9606.ENSP00000363868","9606.ENSP00000301645",0.862,0,0,0,0.051,0.066,0,0.857,"ABCA1|CYP7A1"
"ABCA1","HMGCR","9606.ENSP00000363868","9606.ENSP00000287936",0.866,0,0,0,0,0,0,0.866,"ABCA1|HMGCR"
"ABCA1","INS","9606.ENSP00000363868","9606.ENSP00000380432",0.742,0,0,0,0.056,0,0,0.738,"ABCA1|INS"
"ABCA1","NR1H2","9606.ENSP00000363868","9606.ENSP00000499121",0.991,0,0,0,0,0.628,0.8,0.9,"ABCA1|NR1H2"
"ABCA1","NR1H3","9606.ENSP00000363868","9606.ENSP00000477707",0.967,0,0,0,0.061,0.049,0.5,0.935,"ABCA1|NR1H3"
"ABCA1","NR1H4","9606.ENSP00000363868","9606.ENSP00000447149",0.754,0,0,0,0.044,0.049,0,0.751,"ABCA1|NR1H4"
"ABCA1","PPARA","9606.ENSP00000363868","9606.ENSP00000385523",0.877,0,0,0,0,0.049,0.5,0.762,"ABCA1|PPARA"
"ABCA1","PPARG","9606.ENSP00000363868","9606.ENSP00000287820",0.82,0,0,0,0.044,0.049,0,0.818,"ABCA1|PPARG"
"ABCA1","RXRA","9606.ENSP00000363868","9606.ENSP00000419692",0.916,0,0,0,0.056,0.049,0.8,0.588,"ABCA1|RXRA"
"ABCA1","SCARB1","9606.ENSP00000363868","9606.ENSP00000261693",0.934,0,0,0,0.064,0,0,0.932,"ABCA1|SCARB1"
"ABCA1","SREBF1","9606.ENSP00000363868","9606.ENSP00000348069",0.905,0,0,0,0,0.06,0,0.903,"ABCA1|SREBF1"
"ABCA1","SREBF2","9606.ENSP00000363868","9606.ENSP00000354476",0.94,0,0,0,0,0.06,0,0.939,"ABCA1|SREBF2"
"ABCA1","STAT3","9606.ENSP00000363868","9606.ENSP00000264657",0.815,0,0,0,0.05,0,0,0.813,"ABCA1|STAT3"
"ABCA7","APOA1","9606.ENSP00000263094","9606.ENSP00000236850",0.992,0,0,0,0,0,0.9,0.925,"ABCA7|APOA1"
"ABCA7","APOE","9606.ENSP00000263094","9606.ENSP00000252486",0.774,0,0,0,0.047,0,0,0.773,"ABCA7|APOE"
"ABCB1","CYP2C19","9606.ENSP00000478255","9606.ENSP00000360372",0.858,0,0,0,0.067,0.069,0,0.85,"ABCB1|CYP2C19"
"ABCB1","CYP2C8","9606.ENSP00000478255","9606.ENSP00000360317",0.722,0,0,0,0.08,0.069,0,0.701,"ABCB1|CYP2C8"
"ABCB1","CYP2C9","9606.ENSP00000478255","9606.ENSP00000260682",0.742,0,0,0,0.067,0.069,0,0.727,"ABCB1|CYP2C9"
"ABCB1","CYP2D6","9606.ENSP00000478255","9606.ENSP00000496150",0.779,0,0,0,0.067,0.069,0,0.766,"ABCB1|CYP2D6"
"ABCB1","CYP3A4","9606.ENSP00000478255","9606.ENSP00000498939",0.886,0,0,0,0.11,0.05,0,0.876,"ABCB1|CYP3A4"
"ABCB1","CYP3A5","9606.ENSP00000478255","9606.ENSP00000222982",0.92,0,0,0,0.106,0.05,0,0.913,"ABCB1|CYP3A5"
"ABCB1","NR1I2","9606.ENSP00000478255","9606.ENSP00000336528",0.842,0,0,0,0.094,0,0,0.832,"ABCB1|NR1I2"
"ABCB1","SLCO1A2","9606.ENSP00000478255","9606.ENSP00000305974",0.713,0,0,0,0.086,0,0,0.699,"ABCB1|SLCO1A2"
"ABCB1","SLCO1B1","9606.ENSP00000478255","9606.ENSP00000256958",0.883,0,0,0,0.088,0,0,0.877,"ABCB1|SLCO1B1"
"ABCB1","STAT3","9606.ENSP00000478255","9606.ENSP00000264657",0.8,0,0,0,0,0,0,0.8,"ABCB1|STAT3"
"ABCB11","CYP7A1","9606.ENSP00000497931","9606.ENSP00000301645",0.934,0,0,0,0.156,0.05,0,0.924,"ABCB11|CYP7A1"
"ABCB11","NR1H4","9606.ENSP00000497931","9606.ENSP00000447149",0.964,0,0,0,0.168,0.292,0,0.944,"ABCB11|NR1H4"
"ABCB11","NR1I2","9606.ENSP00000497931","9606.ENSP00000336528",0.839,0,0,0,0.142,0,0,0.82,"ABCB11|NR1I2"
"ABCB11","SLC10A1","9606.ENSP00000497931","9606.ENSP00000216540",0.918,0,0,0,0.286,0,0,0.89,"ABCB11|SLC10A1"
"ABCB11","SLCO1A2","9606.ENSP00000497931","9606.ENSP00000305974",0.784,0,0,0,0.087,0,0,0.773,"ABCB11|SLCO1A2"
"ABCB11","SLCO1B1","9606.ENSP00000497931","9606.ENSP00000256958",0.862,0,0,0,0.342,0,0,0.799,"ABCB11|SLCO1B1"
"ABCC1","ABCG2","9606.ENSP00000382342","9606.ENSP00000498246",0.971,0,0,0,0.057,0.1,0,0.968,"ABCC1|ABCG2"
"ABCC2","ABCG2","9606.ENSP00000497274","9606.ENSP00000498246",0.979,0,0,0,0.087,0.1,0.8,0.889,"ABCC2|ABCG2"
"ABCC2","CYP3A4","9606.ENSP00000497274","9606.ENSP00000498939",0.754,0,0,0,0.128,0.05,0,0.727,"ABCC2|CYP3A4"
"ABCC2","CYP3A5","9606.ENSP00000497274","9606.ENSP00000222982",0.708,0,0,0,0.127,0.05,0,0.676,"ABCC2|CYP3A5"
"ABCC2","DPP4","9606.ENSP00000497274","9606.ENSP00000353731",0.708,0,0,0,0.054,0,0,0.704,"ABCC2|DPP4"
"ABCC2","NR1H4","9606.ENSP00000497274","9606.ENSP00000447149",0.72,0,0,0,0.269,0,0,0.633,"ABCC2|NR1H4"
"ABCC2","NR1I2","9606.ENSP00000497274","9606.ENSP00000336528",0.73,0,0,0,0.137,0,0,0.7,"ABCC2|NR1I2"
"ABCC2","SLC10A1","9606.ENSP00000497274","9606.ENSP00000216540",0.792,0,0,0,0.135,0,0,0.769,"ABCC2|SLC10A1"
"ABCC2","SLC15A1","9606.ENSP00000497274","9606.ENSP00000365686",0.717,0,0,0,0.062,0.07,0,0.701,"ABCC2|SLC15A1"
"ABCC2","SLCO1A2","9606.ENSP00000497274","9606.ENSP00000305974",0.752,0,0,0,0.087,0,0,0.739,"ABCC2|SLCO1A2"
"ABCC2","SLCO1B1","9606.ENSP00000497274","9606.ENSP00000256958",0.842,0,0,0,0.124,0,0,0.827,"ABCC2|SLCO1B1"
"ABCC2","SLCO2B1","9606.ENSP00000497274","9606.ENSP00000289575",0.719,0,0,0,0,0,0,0.719,"ABCC2|SLCO2B1"
"ABCC2","UGT1A1","9606.ENSP00000497274","9606.ENSP00000304845",0.75,0,0,0,0.129,0,0,0.724,"ABCC2|UGT1A1"
"ABCC8","ABCC9","9606.ENSP00000494321","9606.ENSP00000261200",0.898,0,0,0.053,0,0.378,0.72,0.454,"ABCC8|ABCC9"
"ABCC8","ABCG5","9606.ENSP00000494321","9606.ENSP00000384513",0.737,0,0,0,0.084,0.1,0.54,0.389,"ABCC8|ABCG5"
"ABCC8","GCG","9606.ENSP00000494321","9606.ENSP00000387662",0.822,0,0,0,0.072,0,0,0.816,"ABCC8|GCG"
"ABCC8","GCK","9606.ENSP00000494321","9606.ENSP00000223366",0.949,0,0.004,0,0.117,0.054,0,0.944,"ABCC8|GCK"
"ABCC8","HNF1A","9606.ENSP00000494321","9606.ENSP00000438804",0.835,0,0,0,0.13,0,0,0.819,"ABCC8|HNF1A"
"ABCC8","INS","9606.ENSP00000494321","9606.ENSP00000380432",0.909,0,0,0,0.109,0.096,0,0.897,"ABCC8|INS"
"ABCC8","KCNJ11","9606.ENSP00000494321","9606.ENSP00000345708",0.999,0,0.036,0,0.227,0.992,0.72,0.999,"ABCC8|KCNJ11"
"ABCC8","KCNJ8","9606.ENSP00000494321","9606.ENSP00000499300",0.999,0,0.009,0,0.137,0.602,0.7,0.998,"ABCC8|KCNJ8"
"ABCC8","PRKACA","9606.ENSP00000494321","9606.ENSP00000309591",0.935,0,0.008,0,0.069,0,0.9,0.361,"ABCC8|PRKACA"
"ABCC8","RAPGEF4","9606.ENSP00000494321","9606.ENSP00000380271",0.99,0,0,0,0.137,0.292,0.9,0.867,"ABCC8|RAPGEF4"
"ABCC8","SLC2A2","9606.ENSP00000494321","9606.ENSP00000323568",0.809,0,0,0,0.057,0.066,0,0.801,"ABCC8|SLC2A2"
"ABCC8","TRPM4","9606.ENSP00000494321","9606.ENSP00000252826",0.992,0,0,0,0.044,0,0,0.992,"ABCC8|TRPM4"
"ABCC9","KCNJ11","9606.ENSP00000261200","9606.ENSP00000345708",0.999,0,0.024,0,0.106,0.868,0.9,0.977,"ABCC9|KCNJ11"
