gene1,gene2,gene3
ABCG2,ABL1,NANOG
ABCG2,ABL1,NTRK1
ABCG2,ABL1,NTRK2
ABCG2,ABL1,POU5F1
ABCG2,ACE2,ITGA5
ABCG2,ADIPOQ,CALR
ABCG2,ADIPOQ,NR1I2
ABCG2,ADIPOQ,POU5F1
ABCG2,ADIPOQ,RXRA
ABCG2,C3,F2
ABCG2,C3,MPO
ABCG2,C3,NR1I2
ABCG2,CALR,THBS1
ABCG2,CALR,VWF
ABCG2,CD274,NANOG
ABCG2,CD274,POU5F1
ABCG2,COL1A1,COL1A2
ABCG2,COL1A1,ITGA5
ABCG2,COL1A1,NANOG
ABCG2,COL1A1,POU5F1
ABCG2,COL1A1,THBS1
ABCG2,COL1A1,VIM
ABCG2,COL1A1,VWF
ABCG2,COL1A2,ITGA5
ABCG2,COL1A2,NANOG
ABCG2,COL1A2,POU5F1
ABCG2,CYP7A1,HNF4A
ABCG2,CYP7A1,NANOG
ABCG2,CYP7A1,NR1H4
ABCG2,CYP7A1,RXRA
ABCG2,F2,NANOG
ABCG2,F2,NR1I2
ABCG2,F2,POU5F1
ABCG2,F2,VWF
ABCG2,HNF4A,NR1H4
ABCG2,HNF4A,POU5F1
ABCG2,ITGA5,NANOG
ABCG2,ITGA5,POU5F1
ABCG2,ITGA5,SPP1
ABCG2,ITGA5,THBS1
ABCG2,ITGA5,VWF
ABCG2,MAOB,NR1I2
ABCG2,MDH2,NANOG
ABCG2,MDH2,POU5F1
ABCG2,MPO,POU5F1
ABCG2,NANOG,NR1H4
ABCG2,NANOG,NTRK1
ABCG2,NANOG,NTRK2
ABCG2,NANOG,RXRA
ABCG2,NANOG,SPP1
ABCG2,NANOG,THBS1
ABCG2,NANOG,TJP1
ABCG2,NANOG,VIM
ABCG2,NR1H4,NR1I2
ABCG2,NR1H4,RXRA
ABCG2,NR1I2,VWF
ABCG2,NTRK1,NTRK2
ABCG2,NTRK1,POU5F1
ABCG2,NTRK2,POU5F1
ABCG2,POU5F1,RASA1
ABCG2,POU5F1,RXRA
ABCG2,POU5F1,SPP1
ABCG2,POU5F1,TFRC
ABCG2,POU5F1,THBS1
ABCG2,POU5F1,TJP1
ABCG2,POU5F1,VIM
ABCG2,SPP1,THBS1
ABCG2,SPP1,VWF
ABCG2,THBS1,VWF
ABCG5,ACACA,ACLY
ABCG5,ACACA,ADIPOQ
ABCG5,ACACA,APOB
ABCG5,ACACA,CYP7A1
ABCG5,ACACA,DGAT1
ABCG5,ACACA,FASN
ABCG5,ACACA,NR1H4
ABCG5,ACLY,APOB
ABCG5,ACLY,CYP7A1
ABCG5,ACLY,FASN
ABCG5,ACLY,NR1H4
ABCG5,ADIPOQ,CEBPA
ABCG5,ADIPOQ,CYP7A1
ABCG5,ADIPOQ,FASN
ABCG5,ADIPOQ,LPL
ABCG5,ADIPOQ,NR1H4
ABCG5,ADIPOQ,RXRA
ABCG5,APOB,CEBPA
ABCG5,APOB,COL1A2
ABCG5,APOB,CYP11B2
ABCG5,APOB,CYP51A1
ABCG5,APOB,DGAT1
ABCG5,APOB,FABP4
ABCG5,APOB,HNF4A
ABCG5,APOB,NCOA2
ABCG5,APOB,NR1I2
ABCG5,APOB,RXRA
ABCG5,APOB,SQLE
ABCG5,APOB,THBS1
ABCG5,C3,CYP7A1
ABCG5,C3,F2
ABCG5,C3,MPO
ABCG5,C3,PLG
ABCG5,CALR,CYP7A1
ABCG5,CALR,THBS1
ABCG5,CANX,CYP7A1
ABCG5,CEBPA,CYP7A1
ABCG5,CEBPA,FABP4
ABCG5,CEBPA,HNF4A
ABCG5,CEBPA,LPL
ABCG5,CEBPA,NR1H4
ABCG5,CEBPA,RXRA
ABCG5,COL1A2,CYP7A1
ABCG5,CYP11B2,CYP7A1
ABCG5,CYP51A1,CYP7A1
ABCG5,CYP51A1,NR1H4
ABCG5,CYP7A1,DGAT1
ABCG5,CYP7A1,F2
ABCG5,CYP7A1,FABP4
ABCG5,CYP7A1,FASN
ABCG5,CYP7A1,GCK
ABCG5,CYP7A1,LPL
ABCG5,CYP7A1,MPO
ABCG5,CYP7A1,NCOA2
ABCG5,CYP7A1,PLA2G7
ABCG5,CYP7A1,PLG
ABCG5,CYP7A1,TFRC
ABCG5,CYP7A1,THBS1
ABCG5,DGAT1,FASN
ABCG5,DGAT1,LPL
ABCG5,DGAT1,NR1H4
ABCG5,F2,PLG
ABCG5,FABP4,FASN
ABCG5,FABP4,LPL
ABCG5,FABP4,NR1H4
ABCG5,FABP4,RXRA
ABCG5,FASN,NR1H4
ABCG5,FASN,SQLE
ABCG5,GCK,HNF4A
ABCG5,GCK,NR1H4
ABCG5,HNF4A,NCOA2
ABCG5,HNF4A,NR1I2
ABCG5,KCNJ11,NR1H4
ABCG5,LPL,NR1H4
ABCG5,NCOA2,RXRA
ABCG5,NR1H4,NR1I2
ABCG5,NR1H4,SQLE
ABCG5,NR1I2,RXRA
ABCG5,PLG,THBS1
ABL1,ACACA,CDK5
ABL1,ACACA,RARA
ABL1,ACTG1,CDK5
ABL1,ACTG1,ITGA5
ABL1,ACTG1,RARA
ABL1,ACTG1,TJP1
ABL1,ACTG1,YWHAZ
ABL1,ALDH1A1,NANOG
ABL1,ALDH1A1,NTRK1
ABL1,ALDH1A1,POU5F1
ABL1,ALDH1A1,RARA
ABL1,APOB,CALR
ABL1,APOB,CANX
ABL1,APOB,F2
ABL1,APOB,NTRK1
ABL1,APOB,NTRK2
ABL1,APOB,TFRC
ABL1,ATF4,BGLAP
ABL1,ATF4,CDK5
ABL1,ATF4,EIF2AK2
ABL1,ATF4,NTRK2
ABL1,ATF4,RARA
ABL1,ATF4,YWHAZ
ABL1,BAX,CDK5
ABL1,BAX,HK2
ABL1,BAX,RARA
ABL1,BAX,YWHAZ
ABL1,BGLAP,CDK5
ABL1,BGLAP,COL1A1
ABL1,BGLAP,COL1A2
ABL1,BGLAP,CTSK
ABL1,BGLAP,FGF23
ABL1,BGLAP,NTRK1
ABL1,BGLAP,NTRK2
ABL1,BGLAP,RARA
ABL1,BGLAP,SOX9
ABL1,BGLAP,SPP1
ABL1,BGLAP,TNFSF11
ABL1,BGLAP,YWHAZ
ABL1,BTK,NTRK1
ABL1,BTK,NTRK2
ABL1,BTK,PRDX1
ABL1,BTK,RAC2
ABL1,BTK,SYK
ABL1,BTK,YWHAZ
ABL1,CALM1,CDK5
ABL1,CALM1,DLG1
ABL1,CALM1,ITPR1
ABL1,CALM1,NOS1
ABL1,CALM1,NOS2
ABL1,CALM1,NTRK1
ABL1,CALM1,NTRK2
ABL1,CALM1,PRDX1
ABL1,CALM1,RAC2
ABL1,CALM1,RARA
ABL1,CALM1,YWHAZ
ABL1,CALR,CDK5
ABL1,CALR,ITPR1
ABL1,CALR,ITPR3
ABL1,CALR,NTRK2
ABL1,CALR,THBS1
ABL1,CALR,YWHAZ
ABL1,CAMP,CDK5
ABL1,CAMP,RAC2
ABL1,CAMP,RARA
ABL1,CANX,CFTR
ABL1,CANX,ITPR1
ABL1,CANX,ITPR3
ABL1,CANX,YWHAZ
ABL1,CD274,CDK5
ABL1,CD274,IDO1
ABL1,CD274,NTRK2
ABL1,CD274,RARA
ABL1,CD274,YWHAZ
ABL1,CDK5,CEBPA
ABL1,CDK5,DLG1
ABL1,CDK5,EGR1
ABL1,CDK5,EIF2AK2
ABL1,CDK5,ESRRA
ABL1,CDK5,FABP4
ABL1,CDK5,GJA1
ABL1,CDK5,GSR
ABL1,CDK5,HNF4A
ABL1,CDK5,ITPR3
ABL1,CDK5,KEAP1
ABL1,CDK5,MAP3K5
ABL1,CDK5,NANOG
ABL1,CDK5,NCOA2
ABL1,CDK5,NFATC1
ABL1,CDK5,NOS2
ABL1,CDK5,NRP1
ABL1,CDK5,POU5F1
ABL1,CDK5,PRKCZ
ABL1,CDK5,RASA1
ABL1,CDK5,RXRA
ABL1,CDK5,SIRT3
ABL1,CDK5,SOD2
ABL1,CDK5,SOX9
ABL1,CDK5,STAT4
ABL1,CDK5,THBS1
ABL1,CDK5,TNFSF11
ABL1,CDK5,VIM
ABL1,CDK5,XIAP
ABL1,CEBPA,FABP4
ABL1,CEBPA,HNF4A
ABL1,CEBPA,NTRK1
ABL1,CEBPA,NTRK2
ABL1,CEBPA,PRDX1
ABL1,CEBPA,RXRA
ABL1,CEBPA,YWHAZ
ABL1,CFTR,PRDX1
ABL1,CNR1,NTRK1
ABL1,COL1A1,COL1A2
ABL1,COL1A1,ITGA5
ABL1,COL1A1,NTRK1
ABL1,COL1A1,NTRK2
ABL1,COL1A1,SOX9
ABL1,COL1A1,THBS1
ABL1,COL1A1,VIM
ABL1,COL1A1,VWF
ABL1,COL1A2,ITGA5
ABL1,CTSK,NFATC1
ABL1,CTSK,NTRK1
ABL1,CTSK,RARA
ABL1,CTSK,SPP1
ABL1,CTSK,TNFSF11
ABL1,CYP19A1,NTRK1
ABL1,CYP19A1,NTRK2
ABL1,CYP19A1,RAC2
ABL1,CYP19A1,RARA
ABL1,DLG1,GRIN2A
ABL1,DLG1,GRIN2B
ABL1,DLG1,NTRK2
ABL1,DLG1,RARA
ABL1,DLG1,YWHAZ
ABL1,DUOX2,NCF2
ABL1,EGR1,NTRK2
ABL1,EGR1,RARA
ABL1,EGR1,YWHAZ
ABL1,EIF2AK2,NTRK1
ABL1,EIF2AK2,PRDX1
ABL1,EIF2AK2,RARA
ABL1,EIF2AK2,YWHAZ
