gene1,gene2,gene3
ABCG2,C3,NR1I2
ABCG2,COL1A1,COL1A2
ABCG2,COL1A2,ITGA5
ABCG2,CYP7A1,NR1H4
ABCG2,ITGA5,THBS1
ABCG2,NR1H4,NR1I2
ABCG5,ACACA,ACLY
ABCG5,ACLY,CYP7A1
ABCG5,ACLY,FASN
ABCG5,ACLY,NR1H4
ABCG5,CANX,CYP7A1
ABCG5,CYP11B2,CYP7A1
ABCG5,NR1H4,NR1I2
ACACA,ACLY,CYP51A1
ACACA,ACLY,FABP4
ACACA,ACLY,KEAP1
ACACA,ACLY,LPL
ACACA,ACLY,MGLL
ACACA,ACLY,NR1H4
ACACA,ACLY,RARA
ACACA,ACLY,SIRT3
ACACA,ACLY,SQLE
ACACA,ALDH1B1,ALDH2
ACACA,ALDH1B1,FASN
ACACA,CS,ESRRA
ACACA,CS,FABP4
ACACA,CS,MGLL
ACACA,CS,SIRT3
ACACA,CS,SQLE
ACACA,CYP51A1,DGAT1
ACACA,DGAT1,MGLL
ACACA,DGAT1,SQLE
ACACA,ESRRA,FASN
ACACA,ESRRA,NCOA2
ACACA,FASN,GOT1
ACACA,FASN,MDH2
ACACA,FASN,PLA2G2A
ACACA,FASN,SIRT3
ACACA,GOT1,MDH2
ACACA,MGLL,TRPV1
ACACA,PLA2G2A,PLA2G4A
ACACA,PLA2G2A,PTGS1
ACACA,PLA2G4A,PTGS1
ACE2,AGTR1,CAMP
ACE2,AGTR1,STAT4
ACE2,BGLAP,FGF23
ACE2,COL1A2,NRP1
ACE2,CRH,TAC1
ACE2,CYP11B2,FURIN
ACE2,EIF2AK2,EIF2S1
ACE2,EIF2AK2,NRP1
ACE2,EPOR,TFRC
ACE2,FGF23,FURIN
ACE2,FGF23,NRP1
ACE2,FURIN,GRM5
ACE2,FURIN,NPPA
ACE2,FURIN,NQO1
ACE2,FURIN,TFRC
ACE2,NOS2,NRP1
ACE2,NRP1,STAT4
ACLY,ADIPOQ,FABP4
ACLY,ALDH1B1,ALDH2
ACLY,ALDH1B1,CS
ACLY,ALDH1B1,GATM
ACLY,ALDH1B1,GLUL
ACLY,ALDH1B1,GOT1
ACLY,ALDH1B1,MDH2
ACLY,ALDH2,CS
ACLY,ALDH2,GATM
ACLY,ALDH2,GLUL
ACLY,ALDH2,GOT1
ACLY,ALDH3A1,CS
ACLY,ALDH3A1,GOT1
ACLY,BAX,CS
ACLY,CS,DGAT1
ACLY,CS,FABP4
ACLY,CS,HPRT1
ACLY,CS,ITPR3
ACLY,CS,LPL
ACLY,CS,MGLL
ACLY,CS,NR1H4
ACLY,CS,RARA
ACLY,CS,SQLE
ACLY,CYP51A1,FASN
ACLY,CYP51A1,SQLE
ACLY,FABP4,GOT1
ACLY,FABP4,LPL
ACLY,FABP4,MDH2
ACLY,FASN,MGLL
ACLY,FASN,NR1H4
ACLY,FASN,SIRT3
ACLY,GATM,NOS2
ACLY,GOT1,HPRT1
ACLY,HK2,MDH2
ACLY,HPRT1,MDH2
ACLY,HPRT1,PNP
ACLY,ITPR1,ITPR3
ACLY,LPL,MGLL
ACLY,MAP3K5,MDH2
ACLY,MDH2,MGLL
ACLY,MDH2,PNP
ACLY,MDH2,POU5F1
ACLY,PNP,SIRT3
ACTG1,BAX,HK2
ACTG1,COL1A1,COL1A2
ACTG1,GCK,HK2
ACTG1,GCK,PYGM
ACTG1,ITPR1,ITPR3
ACTG1,PLA2G4A,PLD2
ACTG1,PLD2,TJP1
ACTG1,RASA1,TJP1
ADIPOQ,CRH,HCRT
ADIPOQ,FABP4,HCRT
AGTR1,CRH,CYP11B2
AGTR1,CYP11B2,DRD1
AGTR1,CYP11B2,HCRT
AGTR1,CYP11B2,OPRM1
AGTR1,DUOX2,NCF2
AGTR1,DUOX2,RAC2
AGTR1,FGF23,NPPA
AGTR1,FURIN,NPPA
AGTR1,GRM5,HTR2A
AGTR1,GRM5,NPPA
AGTR1,NPPA,TRPV1
AGTR1,OPRM1,TRPV1
AKR1B1,ALDH1B1,ALDH3A1
AKR1B1,ALDH2,ALDH3A1
AKR1B1,ALDH3A1,GCK
AKR1B1,ALDH3A1,HK2
AKR1B1,ALDH3A1,MGLL
AKR1B1,BAX,GCK
AKR1B1,CNR1,DRD2
AKR1B1,CNR1,HTR2A
AKR1B1,CNR1,TPH1
AKR1B1,COMT,HTR2A
AKR1B1,COMT,SLC6A3
AKR1B1,COMT,TPH1
AKR1B1,CS,GOT1
AKR1B1,CS,MDH2
AKR1B1,CS,MGLL
AKR1B1,CYP11B2,CYP19A1
AKR1B1,CYP19A1,HK2
AKR1B1,DRD2,HTR2A
AKR1B1,DRD2,MGLL
AKR1B1,DRD2,SLC6A3
AKR1B1,DRD2,TPH1
AKR1B1,GATM,GLUL
AKR1B1,GCK,MDH2
AKR1B1,GOT1,MDH2
AKR1B1,HCRT,MGLL
AKR1B1,HK2,MDH2
AKR1B1,HK2,TYMS
AKR1B1,HTR2A,MAOA
AKR1B1,HTR2A,MGLL
AKR1B1,HTR2A,SLC6A3
AKR1B1,HTR2A,TH
AKR1B1,MAOA,MAOB
AKR1B1,MAOB,SLC6A3
AKR1B1,MDH2,MGLL
AKR1B1,MGLL,TAC1
AKR1B1,NPY,TPH1
AKR1B1,SLC6A3,TPH1
AKR1B10,BAX,GCK
AKR1B10,CNR1,DRD2
AKR1B10,CNR1,HTR2A
AKR1B10,CNR1,TPH1
AKR1B10,COMT,HTR2A
