"gene","degree","log1p_degree","betweenness","betweenness_percentile","participation","community"
"AADAT",3,1.38629436111989,2.49003910760581e-05,0.191680261011419,0,1
"AANAT",5,1.79175946922805,3.37940744856912e-05,0.207177814029364,0.56,2
"AASS",2,1.09861228866811,1.94323726169957e-05,0.18189233278956,0,1
"ABAT",9,2.30258509299405,0.000249485053377662,0.416802610114193,0.493827160493827,1
"ABCA1",17,2.89037175789616,0.000211485827559374,0.395595432300163,0.110726643598616,3
"ABCA7",2,1.09861228866811,0,0.0436378466557912,0,3
"ABCB1",10,2.39789527279837,0.000443255900831923,0.50815660685155,0.18,4
"ABCB11",6,1.94591014905531,1.59625200839182e-05,0.17373572593801,0.444444444444444,4
"ABCC1",1,0.693147180559945,0,0.0436378466557912,0,4
"ABCC2",12,2.56494935746154,0.000733384536774249,0.608482871125612,0.375,4
"ABCC8",12,2.56494935746154,0.00112988696200512,0.692495921696574,0.444444444444444,3
"ABCC9",4,1.6094379124341,2.99101443146302e-05,0.203099510603589,0.5,3
"ABCG2",16,2.83321334405622,0.00519522733599352,0.918433931484502,0.625,4
"ABCG4",1,0.693147180559945,0,0.0436378466557912,0,3
"ABCG5",18,2.94443897916644,0.000834177898485482,0.632137030995106,0.438271604938272,3
"ABCG8",13,2.63905732961526,0.000288933165456914,0.438009787928222,0.461538461538462,3
"ABL1",45,3.8286413964891,0.00185601626232253,0.789559543230016,0.554074074074074,5
"ACAA2",7,2.07944154167984,0.000176746772725852,0.364600326264274,0.489795918367347,1
"ACACA",24,3.2188758248682,0.00123227358621424,0.705546492659054,0.413194444444444,3
"ACACB",17,2.89037175789616,0.000444206033015658,0.50978792822186,0.290657439446367,3
"ACADM",8,2.19722457733622,0.00245401423624862,0.83442088091354,0.53125,3
"ACE",34,3.55534806148941,0.00464128652332111,0.907830342577488,0.754325259515571,2
"ACE2",24,3.2188758248682,0.000995259990726428,0.666394779771615,0.642361111111111,6
"ACHE",13,2.63905732961526,0.0015044074483202,0.743882544861338,0.662721893491124,2
"ACLY",20,3.04452243772342,0.00224771864369513,0.820554649265905,0.585,1
"ACP1",1,0.693147180559945,0,0.0436378466557912,0,5
"ACPP",1,0.693147180559945,0,0.0436378466557912,0,3
"ACSL1",21,3.09104245335832,0.00137815697473858,0.721859706362153,0.253968253968254,3
"ACSL4",10,2.39789527279837,0.0001711131853743,0.359706362153344,0.18,3
"ACSS2",13,2.63905732961526,0.000965503297758046,0.661500815660685,0.63905325443787,1
"ACTA1",11,2.484906649788,0.000617135202292097,0.570962479608483,0.611570247933884,2
"ACTA2",11,2.484906649788,0.000544998651026253,0.549755301794454,0.677685950413223,6
"ACTB",124,4.8283137373023,0.0291478860417173,0.99510603588907,0.668314255983351,5
"ACTC1",9,2.30258509299405,0.000449983656352243,0.512234910277325,0.518518518518519,2
"ACTG1",22,3.13549421592915,0.000947383397375934,0.658238172920065,0.694214876033058,5
"ACTG2",4,1.6094379124341,5.42240790893146e-06,0.125611745513866,0.625,2
