"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","in_strict","in_relax1"
"ABCG2+ABL1+NANOG",3,1223,262043.916668235,261603.891668232,0.00167920326332394,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ABL1+NTRK1",3,1223,262040.183334902,261592.475001565,0.00170854838994183,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ABL1+NTRK2",3,1223,262038.716668235,261554.284525374,0.00184870445490282,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ABL1+POU5F1",3,1223,262039.916668236,261600.141668232,0.00167827484299254,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ACE2+ITGA5",3,1223,262103.766668235,261350.932144417,0.00287227663069523,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+ADIPOQ+CALR",3,1223,262038.450001568,261616.091668231,0.00161181816383926,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ADIPOQ+NR1I2",3,1223,262089.016668235,261642.298811089,0.00170445088781368,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ADIPOQ+POU5F1",3,1223,262038.100001569,261625.615477756,0.00157413950036533,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ADIPOQ+RXRA",3,1223,262054.916668235,261605.632144421,0.00171446706486722,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+C3+F2",3,1223,262113.233334901,261657.182144421,0.00173990143373381,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+C3+MPO",3,1223,262114.150001568,261627.967858706,0.00185484890021748,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+C3+NR1I2",3,1223,262143.783334902,261691.898811089,0.0017238040821137,1222,0.000817661488143884,2,0.00163532297628777,TRUE,TRUE
"ABCG2+CALR+THBS1",3,1223,262057.133334903,261622.125001565,0.0016599751657268,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CALR+VWF",3,1223,262064.683334902,261635.191668231,0.00163887655980688,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CD274+NANOG",3,1223,262055.733334902,261644.182144422,0.00157047199556348,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CD274+POU5F1",3,1223,262051.733334903,261640.515477756,0.00156922395403936,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A1+COL1A2",3,1223,262122.033334902,261654.865477756,0.00178225329325543,1222,0.000817661488143884,2,0.00163532297628777,TRUE,TRUE
"ABCG2+COL1A1+ITGA5",3,1223,262104.416668235,261317.815477751,0.00300109857164477,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+COL1A1+NANOG",3,1223,262084.216668235,261631.665477756,0.00172673958101055,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A1+POU5F1",3,1223,262080.216668236,261627.99881109,0.00172549406016065,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A1+THBS1",3,1223,262080.516668236,261602.498811089,0.00182393511438317,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A1+VIM",3,1223,262076.95000157,261612.74881109,0.00177124005173823,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A1+VWF",3,1223,262088.066668236,261622.715477756,0.00177555276131358,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
